MSigDBID	MSigDBName	Entrez_Gene_ID
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	300438
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	316742
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	313806
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	679937
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24390
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	295549
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116630
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24626
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29140
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	364206
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24918
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	308942
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	58919
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	297989
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	170897
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25408
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	307428
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114121
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60670
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	316019
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	313722
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	498545
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	362275
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	59329
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	365395
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	83619
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	100360880
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	287422
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	307820
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29598
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	64546
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25205
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	303772
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	313210
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29577
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	303836
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29376
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25551
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25695
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	155140
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25631
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24811
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	312897
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	499801
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	690369
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	305451
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	680611
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	315435
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	366140
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24323
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	287703
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29373
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60587
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	64353
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	360518
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	306330
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116640
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	288937
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	362391
M5891	HALLMARK_HYPOXIA	24644
M5891	HALLMARK_HYPOXIA	116551
M5891	HALLMARK_HYPOXIA	288333
M5891	HALLMARK_HYPOXIA	25741
M5891	HALLMARK_HYPOXIA	24189
M5891	HALLMARK_HYPOXIA	100911625
M5891	HALLMARK_HYPOXIA	24645
M5891	HALLMARK_HYPOXIA	299923
M5891	HALLMARK_HYPOXIA	25059
M5891	HALLMARK_HYPOXIA	24191
M5891	HALLMARK_HYPOXIA	292804
M5891	HALLMARK_HYPOXIA	25701
M5891	HALLMARK_HYPOXIA	24778
M5891	HALLMARK_HYPOXIA	64475
M5891	HALLMARK_HYPOXIA	25026
M5891	HALLMARK_HYPOXIA	360526
M5891	HALLMARK_HYPOXIA	24333
M5891	HALLMARK_HYPOXIA	60416
M5891	HALLMARK_HYPOXIA	29223
M5891	HALLMARK_HYPOXIA	360721
M5891	HALLMARK_HYPOXIA	117276
M5891	HALLMARK_HYPOXIA	83785
M5891	HALLMARK_HYPOXIA	140923
M5891	HALLMARK_HYPOXIA	100911515
M5891	HALLMARK_HYPOXIA	171562
M5891	HALLMARK_HYPOXIA	312440
M5891	HALLMARK_HYPOXIA	29157
M5891	HALLMARK_HYPOXIA	24533
M5891	HALLMARK_HYPOXIA	690987
M5891	HALLMARK_HYPOXIA	24383
M5891	HALLMARK_HYPOXIA	79431
M5891	HALLMARK_HYPOXIA	362850
M5891	HALLMARK_HYPOXIA	24516
M5891	HALLMARK_HYPOXIA	24617
M5891	HALLMARK_HYPOXIA	24914
M5891	HALLMARK_HYPOXIA	24385
M5891	HALLMARK_HYPOXIA	366960
M5891	HALLMARK_HYPOXIA	140942
M5891	HALLMARK_HYPOXIA	25551
M5891	HALLMARK_HYPOXIA	24484
M5891	HALLMARK_HYPOXIA	114519
M5891	HALLMARK_HYPOXIA	314322
M5891	HALLMARK_HYPOXIA	679028
M5891	HALLMARK_HYPOXIA	25058
M5891	HALLMARK_HYPOXIA	114490
M5891	HALLMARK_HYPOXIA	293052
M5891	HALLMARK_HYPOXIA	287835
M5891	HALLMARK_HYPOXIA	303336
M5891	HALLMARK_HYPOXIA	24701
M5891	HALLMARK_HYPOXIA	81801
M5891	HALLMARK_HYPOXIA	50552
M5891	HALLMARK_HYPOXIA	29618
M5891	HALLMARK_HYPOXIA	298199
M5891	HALLMARK_HYPOXIA	29317
M5891	HALLMARK_HYPOXIA	25696
M5891	HALLMARK_HYPOXIA	360665
M5891	HALLMARK_HYPOXIA	299907
M5891	HALLMARK_HYPOXIA	25584
M5891	HALLMARK_HYPOXIA	296849
M5891	HALLMARK_HYPOXIA	363255
M5891	HALLMARK_HYPOXIA	289827
M5891	HALLMARK_HYPOXIA	24190
M5891	HALLMARK_HYPOXIA	63878
M5891	HALLMARK_HYPOXIA	313729
M5891	HALLMARK_HYPOXIA	25438
M5891	HALLMARK_HYPOXIA	286988
M5891	HALLMARK_HYPOXIA	24451
M5891	HALLMARK_HYPOXIA	94203
M5891	HALLMARK_HYPOXIA	66020
M5891	HALLMARK_HYPOXIA	367145
M5891	HALLMARK_HYPOXIA	680866
M5891	HALLMARK_HYPOXIA	25393
M5891	HALLMARK_HYPOXIA	25389
M5891	HALLMARK_HYPOXIA	25404
M5891	HALLMARK_HYPOXIA	25095
M5891	HALLMARK_HYPOXIA	25236
M5891	HALLMARK_HYPOXIA	29633
M5891	HALLMARK_HYPOXIA	29376
M5891	HALLMARK_HYPOXIA	680122
M5891	HALLMARK_HYPOXIA	367562
M5891	HALLMARK_HYPOXIA	24771
M5891	HALLMARK_HYPOXIA	305234
M5891	HALLMARK_HYPOXIA	294235
M5891	HALLMARK_HYPOXIA	24651
M5891	HALLMARK_HYPOXIA	25685
M5891	HALLMARK_HYPOXIA	50692
M5891	HALLMARK_HYPOXIA	85332
M5891	HALLMARK_HYPOXIA	29576
M5891	HALLMARK_HYPOXIA	361368
M5891	HALLMARK_HYPOXIA	310395
M5891	HALLMARK_HYPOXIA	24615
M5891	HALLMARK_HYPOXIA	297960
M5891	HALLMARK_HYPOXIA	79426
M5891	HALLMARK_HYPOXIA	24329
M5891	HALLMARK_HYPOXIA	24324
M5891	HALLMARK_HYPOXIA	363513
M5891	HALLMARK_HYPOXIA	114851
M5891	HALLMARK_HYPOXIA	300807
M5891	HALLMARK_HYPOXIA	114856
M5891	HALLMARK_HYPOXIA	81683
M5891	HALLMARK_HYPOXIA	25417
M5891	HALLMARK_HYPOXIA	315131
M5891	HALLMARK_HYPOXIA	307548
M5891	HALLMARK_HYPOXIA	29316
M5891	HALLMARK_HYPOXIA	84406
M5891	HALLMARK_HYPOXIA	287710
M5891	HALLMARK_HYPOXIA	24413
M5891	HALLMARK_HYPOXIA	58954
M5891	HALLMARK_HYPOXIA	317322
M5891	HALLMARK_HYPOXIA	83476
M5891	HALLMARK_HYPOXIA	683206
M5891	HALLMARK_HYPOXIA	363085
M5891	HALLMARK_HYPOXIA	300757
M5891	HALLMARK_HYPOXIA	25181
M5891	HALLMARK_HYPOXIA	171071
M5891	HALLMARK_HYPOXIA	289632
M5891	HALLMARK_HYPOXIA	24649
M5891	HALLMARK_HYPOXIA	113898
M5891	HALLMARK_HYPOXIA	297393
M5891	HALLMARK_HYPOXIA	83571
M5891	HALLMARK_HYPOXIA	260319
M5891	HALLMARK_HYPOXIA	689374
M5891	HALLMARK_HYPOXIA	24941
M5891	HALLMARK_HYPOXIA	689415
M5891	HALLMARK_HYPOXIA	116673
