Probe_ID	Entrez_Gene_ID
ESR2_33268	25149
SERPINE1_9813	24617
PGAM1_9465	24642
CEBPA_8279	24252
BDH1_8139	117099
PTPN12_9617	117255
RAB21_9637	299799
G6PD_8674	24377
PHGDH_9470	58835
FGR_8641	79113
ISG15_8918	298693
CEBPZ_8284	362686
LSM6_32830	498934
SLC2A2_9863	25351
MAN2B1_9177	361378
COL18A1_8351	85251
NDUFAF4_9292	362495
SYNGR3_9978	302975
DDX10_8452	300710
BUB1B_8164	171576
IKBKB_8889	84351
LOC679794_32681;CYCS_8414	100363502
CYP4A8_32747	103692442
SOCS2_9914	84607
FABP7_8592	80841
NPDC1_9352	296562
GPX2_8745	29326
ALDOC_8034	24191
ATP2A1_33179	116601
CAT_8206	24248
MET_9220	24553
PRR7_9580	498704
PLK3_32627	58936
CAV1_32536	25404
UBE2C_10118	296368
GATA2_8689	25159
CIDEC_32477	500292
DYNLL1_32638	58945
GDPD3_32552	293490
CLDN4_8328	304407
PAFAH1B3_9414	114113
NPC1_9351	266732
LY86_9165	291359
SULT2A2_33196	361510
MCL1_9205	60430
MTNR1B_33301	192646
DAXX_8438	140926
MAFF_9172	366960
SLC6A18_32647	29323
PPP2R1B_9546	315648
FKBP5_8650	361810
C8B_8181	313421
ASPDH_32567	292875
SEC11C_9799	266758
HSD17B8_32395	361802
EPN2_8568	60443
IL6_8897	24498
LOC290595_32588	290595
LPAR2_9151	498609
ARID5B_8084	309728
ANXA7_8051	155423
ARHGAP1_8078	311193
LOC100360908_33068	100360908
S100B_32286	25742
FMO5_33281	246248
CYP2D3_8420	24303
ABHD4_7950	364380
NFKBIB_9308	81525
LOC100912163_9101	100912163
MYBL1_32391	297783
CYP2B1_32451;CYP2B2_32473	24300
UCP1_32389	24860
RAB1A_33291	81754
SKIV2L_9830	294260
SLC39A10_9874	252893
TNFRSF21_10050	316256
RAD21_33184	314949
DTL_33248	305073
ACACA_32532	60581
MYL3_33076	24585
SLC2A1_9862	24778
ABCB1A_7938	170913
AASS_7936	296925
INHBC_32348	64549
MSN_9253	81521
CYBA_32388	79129
HDAC2_8785	84577
FABP1_33091	24360
CDK1_8264	54237
MBNL1_9201	282635
LILRB4_9000	292594
HDAC6_8786	103689963
RPA2_9722;POLR1B_32822	83582
HGF_32812	24446
GNGT2_33125	690825
HOOK2_8821	304669
SLC35A1_9868	313139
FUT1_8668	81919
CMA1_8338	25627
BHLHE40_8141	79431
LOC102549061_32836	102549061
PRMT1_32372	100361025
SGK2_32380	171497
IER3_8864	294235
SDHA_9796	157074
AQP9_32709	65054
LGMN_8994	63865
APOE_8064	25728
SPC25_9925	295661
AMPD1_32743	25028
C7_8179	117517
ESR1_33192	24890
ZMIZ1_10210	361103
DNAJA3_8477	360481
TUBA1C_32945	64158
BBOX1_8133	64564
SLC1A4_9843	305540
SNAP25_9907	25012
CD36_8243	29184
ARHGAP11A_8079	296060
SPINK1_32461;SPINK3_9928	266602
CMPK2_33290	314004
NMT1_9325	259274
RIOK3_9709	361293
RAMP2_32728	58966
RIPK1_9710	306886
CDH3_8263	116777
AKAP8_8008	116633
ACOT3_7970	314304
IL2RG_8894	140924
PLTP_32412	296371
ASPN_8093	306805
COL5A2_32669	85250
GADD45G_33229	291005
CRIP1_32865	691657
FGL2_32918	84586
LYPD8_32327	691259
TALDO1_32399	83688
CLPX_8334	300786
LOC100910792_33137	100910792
MAG_33007	29409
CRISPLD2_32789	171547
TNF_10048	103694380
FAM198B_32975	310540
HIST1H2BCL1_32672	680403
EIF4EBP1_8550	116636
RAD18_9649	362412
BANF1_8131	114087
RTN2_9765	308410
HSD3B5_8836	24470
SMOX_9906	308652
AP3M1_32866	171126
MUG1_33047	497794
RPLP0_9739	64205
CCR7_32868	287673
GPS1_32610	117039
OXCT1_9403	690163
PLA2G2A_32641	29692
MCCC2_9204	361884
NFE2L2_9301	83619
MYOZ2_33236	295426
TSEN2_10093	312649
NOTCH1_9347	25496
FGF21_8635	170580
DHRS3_8468	313689
GBP4_8692	310917
HMGCS2_8812	24450
GGT7_33026	156275
IGF1R_8877	25718
SOCS1_33260	252971
RAE1_9652	362281
NRAP_32376	307982
SLC22A6_33307	29509
FANCD2_32782	312641
ACP5_32623	25732
CASP3_8201	25402
FCER1G_8623	25441
SMARCC1_9895	301020
NUCB2_9374	59295
GPC1_8742	58920
CML1_33145	59300
IMPDH2_8901	301005
ERO1LB_32533	364755
UROC1_33128	685999
GPLD1_8743	291132
NIT2_9320	288174
TNFRSF17_33028	287034
POLG2_9521	303612
SREBF1_32750	78968
IGFBP7_32929	289560
IER2_32643	494344
SEC11A_32884	65166
CENPQ_8290	363198
ARHGAP9_32400	362893
SCAND1_9782	362252
MYCBP_9272	100361133
TOMM70A_10058	304017
ZWINT_10214	257644
TFAM_33077	83474
SLC25A13_9850	362322
CSNK2B_32771	81650
CCND1_8224	58919
PVALB_32631	25269
ZFP110_10199	308362
TATDN2_9984	500295
EHD2_32703	361512
CYBB_32987	66021
CSNK1A1_8393	113927
MYBPC2_33202	292879
SNX13_9912	362731
COIL_32558	50998
GRIN2B_32742	24410
PPP1R15A_9544	171071
PSEN1_9584	29192
FASLG_8610	25385
MAD2L1_9171	297176
APBB1IP_33101	307171
BTK_8162	367901
AKT1_8016	24185
AMY2A3_8042	497039
CCL24_33270	288593
UBE2G2_10121	294331
SIX4_32716	299138
BCL2L1_8137	24888
MYF6_32679	25714
TIMELESS_10016	83508
GSTA3_33275	494500
HYOU1_8857	192235
VWF_32396	116669
IL4_8895	287287
CML3_32841	113892
PNPLA2_32913	100911615
KCTD5_8949	287109
CYR61_32555	83476
RPN1_9740	25596
KDM5A_8953;KDM5A_8954	312678
CHP1_33118	500462
TTN_32883	84015
PVR_9625	25066
CCL6_32398	287910
RNF167_9717	360554
HAUS8_33304	290626
ENO2_32652	24334
FGL1_8640	246186
CLEC4A_32636	474143
RGN_9699	25106
SCARB1_9783	25073
MCM5_9209	291885
DECR1_8458	117543
ANXA4_32944	79124
ME2_9216	307270
SCCPDH_9785	305021
COPB2_8360	60384
CHMP6_8311	287873
GDPD5_8703	499211
RPS19_33100	100910336
TMEM43_32474	362401
LYPLA1_9168	25514
DPYD_8493	81656
OASL_9389	304545
NOX4_9349	85431
ALDH6A1_8027	500693
CYB561_8412	303601
MYL2_32406	363925
CDK7_8270	171150
CAMK2B_33102	24245
GALNT11_32432	311952
SMARCD2_9896	83833
CCL17_32810	117518
SULT2A6_32471;SULT2A6_9972	24902
GPX4_32827	29328
MYBL2_9270	296344
SERPINF1_32761	287526
ITIH2_32512	498793
CD8A_32613	24930
SCD_9786	83792
SLC1A2_33059	29482
ITGAE_8923	83577
CD4_8246	24932
CD300A_32694	501736
TCTA_9995	306587
LOC100911727_32894;LIG1_8999	81513
KRT18_8977	294853
TRAK2_10073	171086
MYH1_33199;MYH2_32333	691644
KIF5C_8965	311024
C3_8175	24232
BEX1_32763	501625
MBTPS1_9203	89842
GNPDA1_8737	683570
PDE1B_32328	29691
KAT3_32958	541589
FETUB_33027	83928
GLI2_8713	304729
HTR5A_8855	25689
NR4A3_32375	58853
LOC100911204_32805	311327
PDE6G_33323	688297
RAN_9657	84509
SLC39A1_32758	361986
LAPTM5_32639	89783
ACSS2_7977	311569
TUSC3_10108	290783
ELOVL5_8556	171400
GLB1_8712	316033
LOXL1_9149	315714
ANKRD10_8048	361183
ABCC5_7942	116721
IDE_8862	25700
SGOL1_33030	363174
CLIC4_8332	83718
TICAM1_10015	363328
CDK19_8265	309804
TCEA2_9990	29575
DHFR_32436	24312
PRKAA2_9559	78975
MOK_9240	362787
CDK2_8266	362817
COPS7A_8361	312710
SPTAN1_9932	64159
SEPT5_32632;GP1BB_32425	116728
UBR7_10129	314399
ITIH3_32422	50693
SLC11A2_9834	25715
BACE2_8127	288227
CHIC2_8307	83835
TGFB1_33273	59086
GRIN2A_33105	24409
CNN3_32615	54321
BIRC5_8148	64041
CAMSAP2_8192	289400
DDC_8447	24311
MTERFD1_9258	299514
FGF9_32781	25444
TRIM13_10080	364398
HPD_33114	29531
CNN2_32878	690976
PPIC_9541	291463
GLUL_32832	24957
RBM34_9666	307956
E2F7_32903	314818
PPP2R3C_9548	362739
NAT2_33165	116632
TUBB2A_10104	498736
RPL3L_32300	287122
DDB2_8446	100362121
NIPSNAP1_9317	360971
SLC25A30_9856	361074
SLC25A4_9857	85333
SGK3_33138	171498
NEB_32342	311029
NR1H2_9359	58851
CDK6_8269	114483
CLEC10A_32620;MGLL_9227	64195
KCNQ2_8947	170848
PPRC1_9551	294007
PDK2_32491	81530
ACAT2_7961	308100
ZFP451_10207	316312
LOC100911882_32291	293669
GCLC_8699	25283
CD44_8248	25406
NR2F2_32621	113984
PRCP_9557	293118
SERPING1_32597	295703
RGS10_32464	54290
SPP1_9929	81536
AARS_7935	292023
ATP5C1_8109	116550
ACAA2_7955	170465
INSIG1_8906	64194
ALDH4A1_8025	100270683
DYNLT3_8507	363448
COL5A3_32780	60379
PROC_9575	25268
MTNR1A_32955	114211
VPS28_10158	300052
BST1_32671	81506
BRCA1_8158	497672
ACTG2_32972	25365
GTPBP8_8770	360714
B3GAT2_32427	64544
RGR_9700	306307
GAS5_8688	81714
ID2_8861	25587
ENG_32663	497010
MYL12B_32708	50685
MYH6_32981	29556
SPRED2_9931	305539
STAMBP_9954	171565
NR5A1_33081	83826
PTPRK_9622	360302
ELOVL6_8557	102549542
HSPA5_8844	25617
SRL_32568	302948
INA_32322	24503
CANT1_8193	246272
SIRT3_9828	293615
FOXO3_8662	294515
RCN3_32684	494125
IARS2_8858	364070
ANKRD23_32357	316330
CGA_8298	116700
ABHD6_7951	305795
PSAT1_9583	293820
GTF2H1_8768	102552634
ADK_32788	25368
SLPI_9890	84386
SLC7A12_32838	294881
DFFA_8463	114214
NNT_9326	310378
TBXA2R_9988	24816
IFNGR1_32668	116465
GCAT_32974	366959
CTSC_32456	25423
HPRT1_8824	103689983
AKT2_32310	25233
HBB_8782	24440
SGCB_9821	680229
FAH_8595	29383
H2AFX_32900	500987
BECN1_8140	114558
DRD2_32515	24318
FZD8_32801	100909849
DAB2_33094	79128
NT5DC2_9371	290558
AZGP1_33120	25294
ZMYM2_10211	305913
OXA1L_9402	691393
AGL_8002	362029
RAB4A_9643	25532
TXNRD2_33001	50551
TRPC3_10090	60395
CCL4_8219	116637
SQRDL_9936	691966
PPP2R5E_9550	299147
COASY_8346	287711
INS2_32569	24506
NFKB2_9306	309452
EXOSC8_8581	295050
FIS1_8645	288584
KCNK3_33037	29553
HECTD2_32315	309514
MAP7_9184	293016
CHPT1_33298	362866
NRIP1_9365	304157
IVD_8932	24513
AURKA_8116	261730
PHKB_9472	361377
LIG4_32329	290907
PELI1_32584	305549
HIBADH_32345	63938
RHOC_9707	295342
CENPF_8287	257649
SESN2_9817	502988
CHCHD4_8302	312559
IPO13_8908	116458
CTSZ_8405	252929
PRKAB2_33204	64562
PRKACB_9562	293508
CCR1_32800	57301
ACTA2_33040	81633
ACTN1_7980	81634
MAP2K5_9180	29568
CEP57_8291	315423
CFLAR_8297	117279
KEAP1_8957	117519
DPYSL2_8495	25416
LSP1_32853	361680
TNIP1_10051	363599
HEXA_8797	300757
SRSF1_32864	689890
PEMT_32410	25511
HSD17B2_32476	79243
MMRN2_32997	306288
PRMT5_9573	364382
FCN1_32819	83517
BUB1_8163	296137
ADCY2_32834	81636
MTF2_9259	360905
DSG2_8499	307562
PSMD6_9600	289924
SRPX_33152	64316
L1CAM_33172	50687
PPARGC1A_33189	83516
LOC100912247_9104	100912247
EIF1A_8536	317163
PLA2G2D_9493	298579
ZWILCH_10213	103695356
PSMD9_9602	161475
SLC13A2_32360	65202
IGJ_32511	360922
IL36G_32760	499744
STK3_33031	65189
PLD4_32807	362792
KDR_8956	25589
NOSIP_9346	292894
ARFIP2_8077;POR_9531	293344
CRK_8382	54245
LRG1_32379	367455
STXBP2_9969	81804
TM7SF3_32966	297725
SOD2_32976	24787
HMGCR_8810	25675
IGF2R_8879	25151
ORC1_9397	313479
CPT2_8374	25413
CDC25A_8256	171102
HMOX1_8815	24451
PTPRC_9619	24699
IRGM2_8916	100362733
ITPKA_8930	81677
TDO2_9997	64206
IKBKAP_8888	140934
CEACAM1_8277	81613
TCEB1_33163	64525
MTHFD2_9261	680308
MAPK13_9187	29513
RALB_9655	116546
CENPN_8289	361416
ANLN_32599	363031
PARP2_9428	290027
LOC501110_33182	501110
KNG2_8975	25087
TNFAIP3_32414	683206
CCNA2_8221	114494
COL12A1_32305	25683
LOC100361706_33302	100361706
COL1A1_8352	29393
FCNB_8627	114091
PXMP2_9629	29533
NPAS2_9350	316351
ADCY8_32323	29241
GPR56_8744	260326
PAPSS2_33237	294103
IFRD2_8875	689621
GPX1_33050	24404
BZW2_8165	171439
WDR12_10166	367268
NCAM2_32618	288280
LOC299282_9119	299282
S100A10_32340	81778
LOC100912469_9108	100912469
HDC_8788	24443
SOS1_9918	313845
PSME3_32547;PSME3_32872	287716
DCTD_8442	290741
ENTPD5_32499	314312
PPP1R3A_32479	500036
SERPINA3M_33119;SERPINA3M_9809	299276
NDUFV3_32394	64539
LHCGR_8997	25477
TIMM22_10019	79463
CDH22_32502	29182
PTGDR_33049	498475
ARG1_33267	29221
ADHFE1_7993	362474
ZFP367_10205	306695
SLC10A2_9833	29500
SMC2_9898	362519
TBXAS1_32570	24886
CD40_8247	171369
VKORC1L1_10156	399684
SLC17A3_9840	266730
GAMT_8681	25257
SUOX_9974	81805
HDGFRP3_8789	252941
OTC_9401	25611
FKBP14_8647	362366
OSGIN1_33191	171493
ORM1_9400	24614
HRC_32693	292905
GALE_8680	114860
APP_8067	54226
STX1A_9966	116470
LAMB1_32926	298941
RARS_9660	287191
TMEM2_10042	309400
TMC7_33312	499254
POLB_9518	29240
GNB5_8733	83579
UBE3B_10126	687633
