Category ID ID	Category Name	Category Component
272	cluster_272	317409
272	cluster_272	360650
272	cluster_272	360650
272	cluster_272	361088
272	cluster_272	361605
272	cluster_272	361605
272	cluster_272	361685
272	cluster_272	362366
272	cluster_272	362377
272	cluster_272	362377
272	cluster_272	362750
272	cluster_272	362750
272	cluster_272	367235
272	cluster_272	367235
272	cluster_272	497935
272	cluster_272	497935
272	cluster_272	499016
272	cluster_272	500323
272	cluster_272	54355
272	cluster_272	59116
272	cluster_272	683962
272	cluster_272	688478
272	cluster_272	688478
272	cluster_272	691984
272	cluster_272	691984
272	cluster_272	81504
272	cluster_272	81504
272	cluster_272	81504
272	cluster_272	81717
272	cluster_272	81717
272	cluster_272	84424
273	cluster_273	191595
273	cluster_273	24452
273	cluster_273	25049
273	cluster_273	25117
273	cluster_273	25296
273	cluster_273	259242
273	cluster_273	259242
273	cluster_273	287451
273	cluster_273	287451
273	cluster_273	288025
273	cluster_273	288025
273	cluster_273	288124
273	cluster_273	288124
273	cluster_273	288124
273	cluster_273	288124
273	cluster_273	288124
273	cluster_273	290230
273	cluster_273	290230
273	cluster_273	290363
273	cluster_273	290363
273	cluster_273	290363
273	cluster_273	291819
273	cluster_273	29487
273	cluster_273	29487
273	cluster_273	29758
273	cluster_273	298884
273	cluster_273	300228
273	cluster_273	300228
273	cluster_273	301250
273	cluster_273	301250
273	cluster_273	301624
273	cluster_273	303856
273	cluster_273	304301
273	cluster_273	305443
273	cluster_273	308016
273	cluster_273	309135
273	cluster_273	309486
273	cluster_273	310250
273	cluster_273	310250
273	cluster_273	310250
273	cluster_273	310250
273	cluster_273	311430
273	cluster_273	311430
273	cluster_273	312654
273	cluster_273	312654
273	cluster_273	312654
273	cluster_273	312654
273	cluster_273	313018
273	cluster_273	313255
273	cluster_273	313278
273	cluster_273	313278
273	cluster_273	313278
273	cluster_273	313278
273	cluster_273	313772
273	cluster_273	313772
273	cluster_273	314596
273	cluster_273	315655
273	cluster_273	315655
273	cluster_273	315655
273	cluster_273	315655
273	cluster_273	315655
273	cluster_273	315655
273	cluster_273	360718
273	cluster_273	360718
273	cluster_273	361165
273	cluster_273	361165
273	cluster_273	361602
273	cluster_273	361822
273	cluster_273	361822
273	cluster_273	362505
273	cluster_273	497988
273	cluster_273	498278
273	cluster_273	500585
273	cluster_273	502776
273	cluster_273	54232
273	cluster_273	54232
273	cluster_273	54232
273	cluster_273	64014
273	cluster_273	64039
273	cluster_273	64039
273	cluster_273	681647
273	cluster_273	681647
273	cluster_273	685474
273	cluster_273	685664
273	cluster_273	685664
273	cluster_273	685664
273	cluster_273	689770
273	cluster_273	79429
273	cluster_273	81678
273	cluster_273	81678
273	cluster_273	84399
274	cluster_274	100365872
274	cluster_274	114768
274	cluster_274	170566
274	cluster_274	170573
274	cluster_274	192267
274	cluster_274	24309
274	cluster_274	24399
274	cluster_274	24399
274	cluster_274	24401
274	cluster_274	24638
274	cluster_274	25044
274	cluster_274	25262
274	cluster_274	25331
274	cluster_274	25368
274	cluster_274	25368
274	cluster_274	25584
274	cluster_274	25623
274	cluster_274	289264
274	cluster_274	289264
274	cluster_274	290843
274	cluster_274	290843
274	cluster_274	290843
274	cluster_274	29221
274	cluster_274	293488
274	cluster_274	293488
274	cluster_274	29362
274	cluster_274	29362
274	cluster_274	294508
274	cluster_274	294508
274	cluster_274	297504
274	cluster_274	297504
274	cluster_274	297504
274	cluster_274	297504
274	cluster_274	297508
274	cluster_274	297508
274	cluster_274	299511
274	cluster_274	300691
274	cluster_274	301418
274	cluster_274	302913
274	cluster_274	302913
274	cluster_274	303016
274	cluster_274	303493
274	cluster_274	303493
274	cluster_274	303902
274	cluster_274	306574
274	cluster_274	306574
274	cluster_274	306860
274	cluster_274	309912
274	cluster_274	310538
274	cluster_274	310538
274	cluster_274	311088
274	cluster_274	316415
274	cluster_274	316415
274	cluster_274	316415
274	cluster_274	316415
274	cluster_274	316775
274	cluster_274	316775
274	cluster_274	316775
274	cluster_274	360816
274	cluster_274	360816
274	cluster_274	360833
274	cluster_274	362051
274	cluster_274	362051
274	cluster_274	362051
274	cluster_274	362453
274	cluster_274	362453
274	cluster_274	362521
274	cluster_274	362521
274	cluster_274	364154
274	cluster_274	497840
274	cluster_274	501925
274	cluster_274	64206
274	cluster_274	64554
274	cluster_274	78962
274	cluster_274	78962
274	cluster_274	81816
274	cluster_274	81816
274	cluster_274	81816
274	cluster_274	83783
274	cluster_274	84493
274	cluster_274	85491
275	cluster_275	116645
275	cluster_275	117548
275	cluster_275	140639
275	cluster_275	140639
275	cluster_275	140639
275	cluster_275	170913
275	cluster_275	170913
275	cluster_275	24703
275	cluster_275	25303
275	cluster_275	289990
275	cluster_275	289990
275	cluster_275	289990
275	cluster_275	290232
275	cluster_275	291394
275	cluster_275	299295
275	cluster_275	299295
275	cluster_275	300802
275	cluster_275	302864
275	cluster_275	302864
275	cluster_275	303245
275	cluster_275	303245
275	cluster_275	303260
275	cluster_275	304330
275	cluster_275	304733
275	cluster_275	305234
275	cluster_275	306000
275	cluster_275	306764
275	cluster_275	306764
275	cluster_275	311412
275	cluster_275	311412
275	cluster_275	311412
275	cluster_275	311412
275	cluster_275	313196
275	cluster_275	313196
275	cluster_275	313196
275	cluster_275	313196
275	cluster_275	313196
275	cluster_275	313618
275	cluster_275	313865
275	cluster_275	313865
275	cluster_275	315000
275	cluster_275	315463
275	cluster_275	315463
275	cluster_275	317396
275	cluster_275	317396
275	cluster_275	317396
275	cluster_275	317418
275	cluster_275	317418
275	cluster_275	361255
275	cluster_275	362145
275	cluster_275	363869
275	cluster_275	363869
275	cluster_275	501664
275	cluster_275	54252
275	cluster_275	54252
275	cluster_275	54252
275	cluster_275	680039
275	cluster_275	84478
275	cluster_275	84478
276	cluster_276	100126191
276	cluster_276	100126191
276	cluster_276	100126191
276	cluster_276	100126191
276	cluster_276	100361081
276	cluster_276	100363805
276	cluster_276	100363805
276	cluster_276	116674
276	cluster_276	116674
276	cluster_276	116839
276	cluster_276	117052
276	cluster_276	117057
276	cluster_276	117057
276	cluster_276	117057
276	cluster_276	117535
276	cluster_276	117535
276	cluster_276	117535
276	cluster_276	170579
276	cluster_276	171041
276	cluster_276	171041
276	cluster_276	171041
276	cluster_276	171041
276	cluster_276	171104
276	cluster_276	171107
276	cluster_276	171137
276	cluster_276	171137
276	cluster_276	171137
276	cluster_276	171409
276	cluster_276	171549
276	cluster_276	171549
276	cluster_276	191571
276	cluster_276	24560
276	cluster_276	24560
276	cluster_276	245922
276	cluster_276	245922
276	cluster_276	245922
276	cluster_276	245922
276	cluster_276	245922
276	cluster_276	245922
276	cluster_276	245978
276	cluster_276	245978
276	cluster_276	245978
276	cluster_276	245985
276	cluster_276	246073
276	cluster_276	246264
276	cluster_276	246776
276	cluster_276	246776
276	cluster_276	24829
276	cluster_276	25030
276	cluster_276	25030
276	cluster_276	25030
276	cluster_276	25030
276	cluster_276	25245
276	cluster_276	25245
276	cluster_276	25245
276	cluster_276	25285
276	cluster_276	25285
276	cluster_276	25285
276	cluster_276	25285
276	cluster_276	25285
276	cluster_276	25378
276	cluster_276	25466
276	cluster_276	25466
276	cluster_276	25505
276	cluster_276	25505
276	cluster_276	25651
276	cluster_276	25651
276	cluster_276	25744
276	cluster_276	25744
276	cluster_276	25744
276	cluster_276	25744
276	cluster_276	257652
276	cluster_276	259171
276	cluster_276	266729
276	cluster_276	266729
276	cluster_276	266729
276	cluster_276	26759
276	cluster_276	26759
276	cluster_276	286895
276	cluster_276	286895
276	cluster_276	287094
276	cluster_276	287094
276	cluster_276	287094
276	cluster_276	287094
276	cluster_276	287094
276	cluster_276	287285
276	cluster_276	287285
276	cluster_276	287346
276	cluster_276	287346
276	cluster_276	287953
276	cluster_276	287953
276	cluster_276	288280
276	cluster_276	288478
276	cluster_276	288906
276	cluster_276	288906
276	cluster_276	289236
276	cluster_276	290519
276	cluster_276	290519
276	cluster_276	290519
276	cluster_276	290561
276	cluster_276	291793
276	cluster_276	291793
276	cluster_276	292746
276	cluster_276	293498
276	cluster_276	29355
276	cluster_276	29355
276	cluster_276	294324
276	cluster_276	294324
276	cluster_276	294324
276	cluster_276	294324
