ID	S4P1_C10	S4P1_D10	S4P1_B10	S4P1_A11	S4P1_F10	S4P1_G10	S4P1_H10	S4P1_E11	S4P1_C11	S4P1_D11	S4P1_B11	S4P1_G11	S4P1_A12	S4P1_F11	S4P1_H11	S4P1_D12	S4P1_B12	S4P1_C12	S4P1_E12	S4P2_D01	S4P1_H12	S4P1_F12	S4P1_G12	S4P2_F01	S4P2_H01	S4P2_G01	S4P2_E01	S4P2_G02	S4P2_F02	S4P2_D02	S4P2_E02	S4P2_B03	S4P2_H02	S4P2_C03	S4P2_A03
CYP4A1_33111	8.55611432718063	8.63724062673927	8.45323436668941	7.99107174911474	8.25529115154056	8.35565646264931	8.11473208682805	8.33495775075591	8.43850280216982	8.50339899693782	8.20061669806087	8.45474620193983	8.90333839301016	8.69429107863136	8.92947150736122	7.95021313911	8.49251670607875	8.39916831683657	8.14169842076771	7.91769983328642	8.19173298061303	8.65497091487318	8.46355163136757	8.09609231104612	7.74979620139288	8.50786296303172	8.27501718466527	8.33574823060236	7.88476689267143	8.26966593112504	8.04941236450878	8.36896170101235	8.4709234268381	7.74848073394154	7.65713466143547
KIF5C_8965	0.605386056266809	0	0	0	0.343739881873561	0	0	0.732832016422839	0	0	0	0	0.264359302788946	0	0	0	0.432663471335466	0	0	0	0	0	0	0.451465249537323	0.411541692415686	0.475003763857558	0	0	0	0	0	0	0.684268381756399	0	0.455497521588004
PIR_9487	3.48117276971531	3.63453440455576	3.74370308629311	3.48311643228665	3.71225378064296	3.74430824900026	2.98836045306365	3.42059562755623	3.35126549635688	3.53316524714099	3.67353069468677	3.41825071284072	3.51819913482691	3.17530884952794	3.68243116892692	3.49876984005448	3.64856467058402	3.87343643283374	3.64772968044065	3.40850215833169	3.9242277739682	3.48042140980575	3.49730484891674	3.24044443039369	3.9564919095939	3.07185104612584	3.86646647639219	3.60913880804301	3.28327175762744	3.20754319854878	3.67547346463007	3.65467856082686	3.64741248322381	3.17587333575896	3.51034890244305
MAPK13_9187	0.605386056266809	0	0.426883351278297	0.294274788891953	0	0	0	0.287629186287187	0.312953495655495	0	0	0.415924618063461	0	0	0	0	0	0	0	0.426013826409418	0	0.367729187667851	0	0	0.411541692415686	0.256963440712113	0.497416060995729	0.765682575434371	0	0	0	0.499859415645754	0.382327988228898	0	0.455497521588004
PDE6B_9445	0	0	0	0	0	0.460269707557057	0	0	0	0	0	0	0.264359302788946	0	0	0	0	0	0.36551355615929	0	0	0	0	0.451465249537323	0	0	0	0	0	0	0	0	0	0	0
DUSP4_8505	0	0	0	0	0	0	0	0	0.569973668691935	0.27188976654706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411541692415686	0	0	0	0	0	0	0	0	0	0
TNFSF10_32297	0.605386056266809	0.542782753850089	0	0	0	0.460269707557057	0.319275894067856	0.527336093244573	0.312953495655495	0	0.341721149657739	0.415924618063461	0.681051214084138	0	0.259799447700094	0.316533764211639	0	0.325262143818666	0	0	0.618375043185958	0	0	0.451465249537323	0	0.475003763857558	0	0	0.82439259759587	0	0	0.499859415645754	0.382327988228898	0	0.801167943532742
GRIN2C_33254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329904055835976	0	0.254672678053699	0	0.382327988228898	0	0
MYH4_32551	0	0	0	0.538574722908977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367729187667851	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT1_32366	6.77410506281765	6.79253686699063	6.57509150284509	6.07730519260366	6.58857805125165	6.10105791884139	6.79416427475727	6.37634903693799	6.97728096364934	7.04741640659781	6.9157104848624	6.70395087793138	6.35479091084229	5.94847166486102	6.23623847868456	6.70440156059692	6.90575831251133	6.71687479374936	6.16855537324031	6.83310340607538	6.87850019461924	6.37782883524586	6.80277962945366	7.0542708980325	6.91681858890112	6.14559615737874	6.48400636072328	6.71391392345789	7.14245081957125	7.07187461544966	7.2255455524356	6.08036341096551	7.1133242029386	6.47550674779803	6.33663965883454
