ID	S1P2_C05	S1P2_H04	S1P2_A05	S1P2_B05	S1P2_D05	S1P2_G05	S1P2_F05	S1P2_E05	S1P2_H05	S1P2_A06	S1P2_C06	S1P2_B06	S1P2_F06	S1P2_G06	S1P2_D06	S1P2_E06	S1P2_H06	S1P2_A07	S1P2_C07	S1P2_B07	S1P2_E07	S1P2_D07	S1P2_F07	S1P2_G07	S1P2_H07	S1P2_C08	S1P2_B08	S1P2_A08	S1P2_D08	S1P2_G08	S1P2_F08	S1P2_E08	S1P2_H08	S1P2_C09	S1P2_A09	S1P2_B09
BIRC5_8148	1.70873226360203	2.35832490290152	3.06823087830728	2.4635626791366	1.72610947273207	1.94400848836162	2.66784892093242	2.68041521777212	2.565611311031	1.93409016529373	2.21967235196066	1.64835862780454	2.50283526074991	1.9996304604252	1.94304286862724	2.72935517779819	2.55126746410072	1.07473302136918	1.62204518409609	1.3634818529254	0.755134262105146	2.72827727516052	1.22152053849259	1.35556071558814	1.9071314742488	2.04401770988482	1.12421630499346	1.72366262925525	2.61207849005094	1.08959720898488	1.45630546102404	2.11722568198831	3.22814713510549	2.46446623673846	1.99224272000612	1.30725176755533
CLTB_8336	0.812494020394015	0	0.783017425689577	0.776539085477631	0	0	0	0	0.29117799468887	0.304644457226296	0.573099972428587	0	0.277605152581708	0.262952294108029	0.775083835404874	0	0	0	0.375037181494963	0.335912755345857	0.544510877614013	0	0	0.831457960986354	0	0	0	0.298979453303827	0.301525856450823	0.293522601928056	0	0	0.587113613295769	0	0.581519969125001	0
CDC6_32573	1.00599383776543	1.06091138780793	1.48636175767154	1.12985068937822	0.547616547042633	0.307208213932736	1.40470356683356	0.797247380921514	0.740640072076554	0.304644457226296	1.15009958350371	0.512938402960317	0.510315882651185	0.262952294108029	0.30695803934737	1.33124531338494	1.14754931021525	0.288377994294971	0	0.335912755345857	0.544510877614013	1.12733977738461	0.340715759140006	0.333226310078221	0.755021328595463	1.1384928677781	0.55771142531675	0.546509422959107	0.763276979563879	1.48801814889187	0.904598742598405	0.53121435683145	1.87915832619585	1.70470092226523	0.581519969125001	0.576827424521911
S100A11_9770	4.59642889947048	4.8806720545099	5.47909878645492	5.02726023904687	3.86979567477908	4.37133694677595	5.85407956255032	5.13684409331502	5.536013008791	4.45451579649728	4.50483645470841	4.49576907092764	4.57987704230054	3.29233929610787	4.24939480770427	4.38730535883017	4.2032277402838	3.30022009338505	3.98583272900713	3.64797420776291	4.07203195652983	4.55499121748899	4.35375271349364	4.46244728387303	4.4195710765361	4.6176264468771	3.8292516078278	4.51576373831467	4.27525516608944	5.24804871954642	4.13491511964511	4.84907696690184	4.25403282523455	4.64976169118881	4.55994066078961	3.90781549431694
KMO_8974	7.15653692308674	6.75917455261825	6.8302759395661	6.49388855448195	5.43438484762168	6.07059926843999	5.97237710242698	6.25738264825067	6.99018789678575	5.94625051701518	6.41161532969936	5.53160227496722	5.9167318213717	5.62010368670711	5.91346688124988	6.52312069729753	6.21975007703788	4.53148408006027	5.7899314777021	5.24666551271292	5.36982476902262	6.72564797586926	5.69709218330156	6.13696991913891	5.76574666482227	6.03123842245337	5.55500042024219	5.80232687783291	5.71708089302593	5.60979618680016	5.13860694413314	5.60379029120416	6.013838334085	5.23480604279849	5.61921415834179	5.77031766574968
TNFAIP8L2_33086	1.32911771774083	1.33385227657391	0.926688373450551	0.561051736257574	0.299636729590402	0.775626336395435	1.79553865239285	1.4443978434009	1.08283540971289	0.556040322213813	0.314822289024294	0.279146514213847	1.04327805614116	0.262952294108029	0.30695803934737	1.66265979548955	0.490697628849128	0.288377994294971	1.31287708302186	1.03471071647512	0.755134262105146	1.47344056722556	0.847318820995255	1.62228413666767	0	0.971742075973571	0.305639296105803	1.91199288808611	1.9219567050824	2.27372378973927	0.904598742598405	1.68962368084416	2.50780903876433	2.52864513221614	1.69328063508349	0.796887087925601
ACOT12_32718	9.10205343647873	8.98453325635403	9.11180424744896	8.79910991153415	8.62245845932739	8.3120217808843	8.75578267804051	9.18213833852579	9.05020203263861	8.52913367981611	8.76023707331819	8.56955679441496	8.76316526241235	8.34646566249655	7.91820756394154	8.77582342875742	8.61748610684791	8.08067792414601	8.62552782356463	8.10039562306394	8.14462433697773	9.03255582105537	8.85376094243625	8.77060068852844	8.46385190379528	9.07295044633987	7.82989747592339	8.65484398831158	8.56589860415898	8.28918703809678	8.72842914434158	9.0847131686578	8.77240565130532	8.60045976314347	8.62810964870377	8.4482163665218
C5AR1_33023	1.46705582681374	1.45312163979465	1.39046606901273	1.53673799425977	1.62176356962338	2.46176682133209	1.61331579284808	1.68407677004029	1.96617461424799	0.770061637965012	1.43669967283021	1.31865670063006	1.64238280390444	0.999753650801082	1.41125022688956	1.05866172984575	1.49725916629039	1.77986102739686	1.12927768157604	0.608195520739894	1.61511773062777	1.98600631234186	2.15801426754011	2.13019242103305	1.81615211339638	1.42336994982856	1.74831611858067	1.2519571376423	2.00784628149044	1.79988366055429	1.45630546102404	2.04124849217171	2.1204364924878	2.09216893544094	2.07955304000576	1.44386100017672
CXCL2_32508	0	0	0	0	0.299636729590402	0.307208213932736	0.497646532827707	0	0.533342068444692	0.304644457226296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310691255834262	0	0	0	0.293522601928056	0	0	0	0	0	0
JUN_8938	3.09802345821729	2.29586891883765	2.3115011529825	2.63895146934217	2.42917527097985	2.52261342041785	2.57116740923312	1.56920890886369	3.21329175130371	3.09147217345972	2.92299272753074	2.96924394401998	3.77935017768132	2.26264433350695	2.18790943195959	2.15885237336665	2.27759193558688	1.95474120870415	4.27844013634724	1.50346572986676	2.48162384945596	2.09001591706946	2.8332642921653	3.54262098630902	2.79902305329448	2.27644586917468	2.97140926880804	2.80469779480796	2.90852894737328	1.08959720898488	2.6893323696391	2.18940103930498	2.17493928391765	2.00461573699853	1.57806920337302	2.43938121035044
