ID	S5P3_D01	S5P3_E01	S5P3_F01	S5P3_G01	S5P3_E02	S5P3_D02	S5P3_F02	S5P3_H01	S5P3_B03	S5P3_H02	S5P3_A03	S5P3_G02	S5P3_C03	S5P3_D03	S5P3_F03	S5P3_E03	S5P3_H03	S5P3_A04	S5P3_G03	S5P3_B04	S5P3_D04	S5P3_F04	S5P3_E04	S5P3_C04	S5P3_A05	S5P3_H04	S5P3_G04	S5P3_B05	S5P3_D05	S5P3_F05	S5P3_C05	S5P3_E05	S5P3_A06	S5P3_H05	S5P3_G05
PIP4K2B_9486	5.21853146025427	4.9696519564777	4.86156600462376	5.23402233518295	4.79467002856536	4.99237209639583	5.11397853310884	4.30123991732799	5.02814527303554	5.17982907026364	5.01531486778633	4.85379450803817	4.95014527509592	5.1484064244898	5.05135804533633	5.05441174109126	5.12379581411173	5.29259905903681	4.76276186853399	5.10148606038921	4.66418899805428	5.11348351629921	5.23809404951038	5.06666841058139	4.68566335442459	4.67758951196568	4.73143150897182	5.22500838040837	5.12445772804992	5.09825529550219	4.99974629202907	5.04397382738835	5.05902026712237	4.9437463408303	5.12043548451556
HAAO_8774	7.52395423052545	7.81887476357564	7.50894227842165	7.41027426538829	7.48951836542924	7.91458072260527	7.82938363800416	7.62937560348586	7.48385758841057	7.78985921034819	7.47113007611255	7.8019642608947	7.28764137506157	7.72470699183006	7.91388761120718	7.57966870769532	7.48783770250612	7.60410599545925	7.85179794512407	7.75144226969057	7.14994629736613	7.81458429893619	7.9644460620667	8.13405386082342	7.62339130681452	7.45458776457218	7.66184201209141	7.75878782374129	7.52123271015854	7.50314976523166	7.64473685507721	7.66578769296439	7.94765204235054	7.29452166389066	8.07680796794445
BCL2A1_8136	5.20018217418049	4.35757716405397	5.05786001469825	5.0419600866081	5.64531632933055	5.28054151898055	5.43130349583492	4.93311893016112	5.05029063396981	5.21448190468272	5.10991285754553	5.01816520059027	4.75397297960087	5.11000753696155	4.43397277913562	5.5273804994039	4.56747855563884	4.8498522014485	5.44549173702853	4.59619247038033	4.94508646626835	5.22575149358227	4.72839334678407	5.01792093027203	5.51924663304519	5.0838387716593	5.30367980418601	4.65920490368565	5.04925899095037	5.05570029617002	5.05884721964603	4.75628026630494	5.09809253378573	5.66001234175454	4.93826124048643
ABCF3_7946	7.80766479268071	7.63059681520551	7.76925560532983	7.6665111017771	7.78256769158526	7.68950874905673	7.72928511896848	7.6436587536422	7.69302806588335	7.75202690067211	7.64391095413012	7.61773763431203	7.60003000402516	7.68476797712806	7.70170522492067	7.70703584837544	7.66397264291648	7.78295775784581	7.68985706550636	7.84897778415133	7.36642654659315	7.80944556284755	7.70607391304414	7.80395146291835	7.63927194537463	7.48841618346162	7.75918696835314	7.79406584778549	7.75068500975043	7.690038514069	7.60728265279912	7.67729828286652	7.84611302014218	7.59754057870937	7.74168557400936
ORC6_9399	2.83134087754062	2.55461079929507	2.97922462859893	3.1766322818846	2.44867586253598	3.006759197578	1.69690406613792	2.98095592917748	2.55560984714523	2.54759753297065	2.24059309149923	2.7688886593142	3.28299491942777	2.76033924811233	2.66901455090221	2.45527209095931	2.67330709870471	3.13232710055928	2.71226758439356	3.14172650056234	2.52826598041827	2.88822297668117	3.04522703805876	2.32438085104025	2.4873606877453	1.79041513822337	2.46241749728957	2.53531712827385	2.97548528898033	2.9205613261555	2.61554938455505	2.90814414382553	2.88874126191519	3.0861201640725	2.68169182352939
NUP88_9383	7.42471495690482	7.38624806323149	7.36339843208761	7.49131724634665	7.48123358402834	7.52862629212444	7.61513600402176	7.3092679202843	7.44538137535112	7.53956165864077	7.377255681724	7.48352799782258	7.59515097445045	7.5070438097904	7.42195976128533	7.59647940823714	7.47173638072576	7.50989041049058	7.48894772958984	7.41657605810719	7.25502251028773	7.45036345297224	7.49395859808797	7.68877258639915	7.34864323798514	7.33798036739935	7.36293669337446	7.44974504619858	7.44076572459177	7.38092937998518	7.39625204432316	7.29273570254702	7.44015005342323	7.42281488660955	7.45193839178079
FITM1_32465	4.12679099561314	4.53659632661859	4.91319960181716	4.35294826787655	4.15441783264938	4.88192875721872	4.65615795509723	4.43864373800183	4.02772601719173	4.18454967141304	4.5320866989441	4.96542871337917	4.30579187760105	4.12061118290975	5.23630187810593	4.36584814619579	4.55530585673489	4.65355367066905	4.23400367911657	4.63036086090034	4.31504463196078	4.79779065997644	4.93012734498598	4.28419391963289	5.35799531298718	4.80995899126097	4.52076512843448	4.52418662807336	4.57350867767289	4.81158200819511	4.99974629202907	4.49234428487585	4.97755029162116	4.22293244378102	4.53481684896785
CPT2_8374	6.3058592437641	6.52358811821495	6.63687640466442	6.9499968369957	6.56441036657977	6.23643821631373	6.64527487408767	6.35351858168069	6.47289169839079	6.22921831569467	6.22613754469317	6.30253982787064	6.94058653999685	6.51642190017633	6.46947095339321	6.54234553254348	6.61792423629017	6.52456321566963	6.33271322196165	6.80000276248598	6.42603748316915	6.53995683141816	6.64374697706617	6.49666441584357	6.51495428177685	6.5498357646136	6.70266534065313	6.45333564630636	6.69397799625139	6.64628505679486	6.82788831453658	6.61552787091231	6.55992103450315	6.36549129438022	6.56014753566034
SULT1E1_32446	2.25233244767776	1.05890744293289	1.64092305963789	2.12128340898937	1.6126206758608	3.22928923252355	2.19763639769495	2.78870202921516	2.47057993607861	2.31190959686655	2.42852489803046	2.99620651255772	1.20793137834262	2.2406699633006	2.10380927582239	2.37959465051738	1.99576539431713	2.08299800814934	2.55073333224893	1.96289811036636	1.43463374403973	2.00060506129805	2.56426055626043	2.25876401294121	2.42358111425549	1.32959407152027	3.14073794690128	3.51609364650102	2.60728128570493	2.84260467499482	2.04325189828349	2.26167213747565	2.39802921264918	2.38579238343609	2.73854890698711
UBE2A_10117	4.04689842072765	3.69118630650698	3.32254477894167	3.37604901692673	4.03874458263865	3.81452692108975	3.85322414089435	4.14935867384162	3.88715902175319	4.18454967141304	3.77736066004151	3.51960330789167	3.46516558168233	3.97437799650816	3.94772452338196	3.7667769737914	3.93957702272766	3.99001003496422	3.93984385865879	3.62104711186021	4.2519640316278	4.20239672282054	4.01895482441252	3.37200274695511	3.74066111856285	3.60415806967785	3.83121095380559	3.99598067224945	4.12001351478767	3.95761263188612	4.07310540711607	3.73227923541481	3.8804559993357	4.36420153254683	4.38259497758413
HIST2H3C2_32796	8.92666292016306	9.10680742012812	8.70865162840014	9.07988547484601	9.08287284026312	9.03099973722412	8.9673058171432	8.96409994088243	8.75785570884469	9.22403260499623	8.84187554203983	8.83592664823855	8.96490921561213	9.09410550856427	9.027755461265	8.83334170707918	9.05181198771392	8.97421452598704	8.88018683158347	8.89673965324398	8.73563350724638	8.92561753622797	9.13191097979157	9.21007443323615	9.0581171319147	8.8230966062778	9.05648142688874	9.19534567199302	9.03730935484852	8.7842617516318	9.08617078375341	8.9916656364957	8.95806271024209	8.78939399777892	9.16249472395529
TP53INP2_32755	2.83134087754062	3.27304220790959	3.59966634182628	3.40676115046345	3.31009233967039	3.55138244641677	3.38081096226594	3.43964045883178	3.47181333694755	2.92770648674613	3.18734656278537	2.7688886593142	3.28299491942777	3.79236280156584	3.14302885450935	3.09879499986119	3.4278344769253	3.58560549439109	3.42205005792919	3.78169018693382	2.68930655849789	3.00070588018115	3.52745944024061	3.77543072896944	3.28244305077446	3.16106975316436	3.48875000583814	3.58556115013625	3.30134408060771	3.45373834657431	3.68009908589568	3.3272321657877	3.15890814086786	3.53178967747778	2.79324993652024
ACTA1_7978	0.956897703880769	0.624500158083862	0.613214094262171	0.532839998150958	1.44098248629403	0	0.534469024223522	0	0.589514811947952	1.21524345747944	0.285900913836985	2.16655350552173	0.726858104355445	0	0.498050204305821	1.08477275194902	0.262094455913589	1.05585910646915	0.548725051404324	0.367196946252459	0.422907967178171	0.485657356635238	1.26552567946109	1.07961663654839	0.788687234074327	0.648460662135923	0.379354420036733	0.645570682538683	0.288604715039747	0.675726152153523	1.08059320528118	0.784878000543002	1.3364520392716	0.253511249947277	0.600095604076255
NFIL3_9304	1.74537857838502	2.41505898965766	1.37238927237947	1.78962882247411	1.76599285654585	1.88008937188497	1.22972753014198	0.989148475194009	1.67229376261643	2.43456115936009	2.48609610703345	0	1.76628974127361	1.92395681251641	1.61424704811355	2.12536149990409	2.06608740593193	2.3505063425076	1.91714700453114	2.06636048016432	1.68440401493954	2.13812691627805	2.31568771014235	2.8988181057387	2.21335011922921	1.21670600492101	1.32411834327843	1.70373501321824	0.528988090291546	1.67376844026875	1.7877634747356	1.39321292549138	1.7826066302585	1.44834306954806	1.73169442038424
MOK_9240	0.556371189622004	0.624500158083862	0	0.290881100088043	0.425471550953296	0.740059442954357	0	0	0.742426646437737	1.67942350062858	0	0	0.726858104355445	0.949752467117159	0	0.642027474914357	0	0.281895441170548	0.300295030633539	0.367196946252459	0.226895087722421	0.263168885831659	0.303371222115303	0.290064428054168	0.570464112520466	0.462921203986517	0.679441199974605	0	0.288604715039747	0.483639932867113	0.532029840659222	0.239687228247465	0.687166490595551	0.253511249947277	0.82678277257743
KIRREL3_33279	1.27004862853207	0	0	0.290881100088043	0	0	0	0	0	0.526669677118178	0.285900913836985	0	0.726858104355445	1.08260004827646	0.270411459010584	0	0.483815109313503	0	0	0	0	0	0.767293738919217	0.290064428054168	0	0	0.927728838270765	0.358597669428798	0.288604715039747	0.261992319808971	0	0.445168697615267	0.384115072705026	0.469062723391297	1.02264054149742
IRGM2_8916	4.79816677326458	4.53659632661859	4.6031921209517	4.6765265627443	4.66413062270556	4.74439897304041	4.77905636713117	4.56409152892514	4.62777074114755	4.91071305886014	4.84973722597302	4.60070428699772	4.82237079802058	4.73933711485047	4.83917041628556	4.5838408403054	4.62684751497863	4.69019268833645	4.64761416292394	4.80506136080432	4.98442693760732	4.8883047170128	4.43256995289614	4.70953996492121	4.84021492393049	4.76047438359955	4.98538590237248	4.64300265946343	4.89673638153736	4.67205326042884	5.01971682492933	4.28059549666866	4.48246966565037	4.75136559248182	4.86354339922691
GBP2_8691	7.0372359740727	5.32195388330352	6.92164531592149	5.52745250561399	6.88642697642173	5.17743326990563	6.69607251201015	6.6222903885777	6.65973746439346	6.87969308623654	0	4.79456158094812	6.54134455064919	6.50166628881087	5.97373828716035	6.72543261452645	6.26868587825703	5.51313607156796	5.8092162769548	5.75599609033738	5.850859584633	5.42705269156395	4.80285678904238	6.71422502898514	5.55689273044253	6.5410706416658	6.85286566711675	6.06064630144368	6.37398924392436	5.40666503898439	6.52668342920742	5.84272334529937	6.29994163158559	5.95180383838249	5.16259871426372
