ID	S2P3_D01	S2P3_F01	S2P3_E01	S2P3_H01	S2P3_D02	S2P3_E02	S2P3_G01	S2P3_H02	S2P3_F02	S2P3_G02	S2P3_A03	S2P3_D03	S2P3_B03	S2P3_E03	S2P3_C03	S2P3_H03	S2P3_F03	S2P3_G03	S2P3_A04	S2P3_D04	S2P3_C04	S2P3_B04	S2P3_E04	S2P3_F04	S2P3_G04	S2P3_H04	S2P3_A05	S2P3_B05	S2P3_C05	S2P3_D05	S2P3_E05
C1QA_8167	1.6071302099674	0	1.69354585523265	0	1.13554135061011	1.10873637418179	0.739418796672302	0.925204326954209	1.41527498583315	0.965466207938866	0.598006580869034	1.6678763028755	1.0015984171618	2.08056582865843	1.09964985582301	1.42934576566893	1.71641283105045	1.60776612735677	0.792541025801392	1.38744050469526	1.58471162228397	2.10931899685966	1.03468113288645	1.43927789887448	0.335322896004644	1.18992697164167	1.11750083568303	1.32417374314136	0.914268198610214	0.720137467750151	1.047181508214
CENPQ_8290	1.01665763298064	1.53328390945932	1.69354585523265	1.95011656652638	1.76299495522569	1.88700103309519	2.50754651279966	1.48434766805499	1.80762633207146	2.11584245704743	1.83516352375441	1.93760981510811	2.43556332744886	2.8568156454601	2.61908906821655	1.51731102110629	2.21967744593309	2.55176563499128	1.59136206423702	2.64442379917668	1.22217738534714	2.03832940156548	1.72554649575652	0.892138788945248	1.50162679641689	1.99637471906399	1.22453984243212	1.44293633488068	1.95419326390727	1.32795038981047	1.99500269374674
FBXO22_32888	8.1310376877655	8.45726296873466	8.24686268048379	8.35030687819484	8.65247684890934	8.31766521048263	8.25244981728173	8.21604201372324	8.10672341062806	7.72482398190413	8.48782282210008	8.76549016294453	8.5251793396384	8.46457011943257	8.32578657828004	7.28790272144617	8.36223869869642	8.22254510934217	7.30748638927738	8.06645176728475	8.30593975985879	7.78400224250517	7.87044134775806	7.35990578066939	7.15540445720132	8.28223248320039	6.88636715270015	6.86789488345103	8.13205067470543	7.94451575843324	7.72613760180078
HIBADH_32345	8.76436710250969	9.03825972555251	8.83554338838719	8.90132544331635	9.14462933340987	8.74718846398415	9.14310545791601	8.85785936226677	8.63276840691991	8.56326109553827	8.87211699959007	9.25789332945113	9.12575853179629	8.9554775780231	8.87541444748969	8.37443171537145	8.93869864477823	8.88027243201948	7.97795555731927	8.48204634563525	8.89073305897727	8.51671593084177	8.61680590248065	7.88626656850669	8.25536832926747	8.77113826089805	7.7053331334091	7.75813384712043	8.71605685887708	8.54887815035677	8.15754499768504
ACLY_7965	9.10184242098614	8.98890691501535	8.90947427550169	8.86101652764308	8.62649480753366	8.97868775486767	8.74645386467543	9.35697471900058	9.39412735332791	9.29432882106257	8.7620696610942	9.07194671828713	8.88644253780901	9.00710350465286	8.93502778682455	9.20683549012331	9.17671782584948	8.88886733849532	9.13486766740913	9.05117717005435	8.8893819052866	8.84972835855096	9.20439484037644	9.3247032070564	9.0059466760312	10.4925205093135	9.22493390962147	9.16756364432007	8.95659544730965	8.93333014887373	9.0791023367891
MYBPC2_33202	3.48957660299071	5.08052754778861	4.76847324693174	4.71169896696091	4.30401116796696	4.47272974938922	4.09322845659812	4.2911884209617	4.30414147183931	3.69026962553171	4.29731329964687	4.84065494741951	5.0905640350036	4.34896778022076	4.5994096757162	3.86254703903525	5.13192390325053	4.5872269510664	4.0007673777365	4.23093732714708	4.63061375472993	3.95443653621735	4.68641059068842	3.91865056387622	4.08417017057142	6.80531997350643	3.48454663142467	5.04489536486324	6.32105677526486	6.0620525673475	4.9576816825681
IGH-6_32666	1.6071302099674	1.81799936808243	1.92339026510197	0.653345777336004	1.37629769634218	1.10873637418179	1.22589572069811	1.32092090483233	1.17013610253216	0.56203206387089	1.01952215854844	1.33584085902691	1.0015984171618	1.44494427174216	0.965339017197076	1.33566674693962	1.24592750075557	0.822055710783759	0.93745981577899	1.38744050469526	0	0.870833347436851	0.274687663194849	0.513958338755685	0.607218572769936	1.91700873748465	0.876177553748429	1.55266163141764	1.68326174676228	0.281881793493449	0
MAPK12_9186	4.45786592667258	3.62838119090038	4.00745768887851	3.88239616104274	3.60550525167728	4.44746028401957	4.1487371401396	3.94328849284227	4.52914316677679	4.45675868619768	4.02125788904788	4.16866034063176	4.00299558092166	3.92702557771752	4.51778039928416	4.87170570639255	4.1996716335777	3.78646276795509	5.05369321751895	4.13466855593879	3.98959368957117	4.59718132372189	4.79938350538891	4.72594741688296	5.08615232665445	4.4963622809914	4.86987589130509	5.08197167638688	4.18982067774734	4.52415934703107	4.67407875246449
DEPTOR_32826	5.57157951383752	5.93051449070662	5.47809451515021	5.58407687009645	5.62291272884409	5.36086689036618	5.75196568302869	5.56821193576215	4.83325664366278	4.42511888953135	5.65271234497273	6.09346876241358	6.05190616602749	5.74246314025979	5.72813049987749	4.68489641843657	5.4053087085525	5.55690144322257	4.29786091989893	5.23132482355341	5.5336103613382	5.11116139840347	5.43149473095456	4.67851466217066	4.21188468064531	5.9209043495692	4.06242450295499	4.26765379821408	5.47790989137888	5.22753944751842	4.77867753105603
RAD51C_9650	5.00936506515595	4.84725081827008	4.28056168013799	4.67981192840066	5.05828473483606	4.99284908739484	5.40970299811527	4.9100683544135	4.62972122983565	4.48771945451274	5.09652889349562	4.85157685422662	4.85108115062151	5.19937213930773	4.94996440283677	4.67536772063268	4.63088904933564	5.02169542936866	4.59960890460463	5.10152048276959	4.81270562829455	5.02198240952755	4.86315096429312	4.88066213773204	5.23390207951185	4.6758382608584	4.54791564170358	4.92758184423458	4.08091613189243	4.51056614540736	5.11690718065144
