ID	S4P3_D06	S4P3_A06	S4P3_C06	S4P3_B06	S4P3_F06	S4P3_H06	S4P3_E06	S4P3_G06	S4P3_A07	S4P3_C07	S4P3_B07	S4P3_D07	S4P3_G07	S4P3_F07	S4P3_E07	S4P3_H07	S4P3_B08	S4P3_A08	S4P3_D08	S4P3_G08	S4P3_H08	S4P3_E08	S4P3_F08	S4P3_A09	S4P3_D09	S4P3_B09	S4P3_C09	S4P3_E09	S4P3_G09	S4P3_H09	S4P3_F09	S4P3_A10
TBP_9986	2.21011235823733	2.03763312165665	2.52496475085023	1.5518609404264	2.41708433357262	2.6796536116368	2.13235812398203	2.79642367713543	2.4521467737254	2.62500020343316	2.66645532641475	2.51303957272432	2.69834099845803	2.55768258367135	2.42583421539294	2.08720086080109	2.24283589019707	1.75207229969421	2.08125726243035	1.90982342175482	2.14528948281529	2.23191419273586	2.34278134027486	2.18770660712779	2.29534266256454	2.52937208195082	2.26864898690647	2.73801314757077	2.80456480603003	2.4770546732894	1.90041628213936	1.7380670386201
CDT1_8276	1.94481144190893	2.53057556803596	2.66676633955652	2.20864458267928	2.08938935387977	2.32091595760112	2.23963290871113	2.94308807456771	2.67055881501507	2.89937968475383	3.12529776047577	2.74403569800032	3.17387125810164	2.89356963652301	2.42583421539294	2.58467700687951	2.52864229402611	2.39592846106588	2.36600543416412	2.46270339553971	1.6108352119478	2.3108288418628	2.19963909760946	1.72282282700249	1.85032088916376	2.96695867361008	2.26864898690647	2.07232385431431	1.13572861980621	1.84063846568697	2.81004403381712	2.43621948008231
PECR_9456	9.11004023692695	9.09510411404678	9.21783464949789	9.1156820540392	9.00192669779037	9.1939281253606	9.13213335164192	9.10814766638578	9.03720904272243	9.14322447953407	9.20952279512946	9.06676101571754	9.14707546338168	9.01338320144311	9.11364133332476	9.23147914914669	8.97119808848714	8.99561813885649	9.12714532615531	8.98484353663627	9.0300840689007	9.05563303504628	9.1328053535853	9.207148048945	9.1014624177108	8.99346807675537	9.10640316353169	8.71323296626969	9.04469234113358	8.87246609882218	8.91792312535064	8.78947223674884
C1QA_8167	1.02596289351716	0.779640652958932	0	0.312077128446816	1.23666584805871	0.555988578814918	1.01099503108823	0.801899652774624	0.291149574902024	1.49010565164911	1.13000451350647	0.58072585832576	0.883386355081748	0.330263215047385	0.629169633940882	0.807208103709597	1.51935712431674	0.961525722896922	1.10715181532855	1.17214738672327	1.24459731746277	1.21447310641331	0.781341941465955	0	1.06056733379916	1.2410911486413	1.97727053959285	1.44684456016225	0.377760968828558	0.482520280952998	1.24281862992602	0.332899380639088
TRAP1_10074	8.30041406908301	8.20616516697726	8.57758723115842	8.35747585977718	8.26352807799431	8.43899686467394	8.33472148494977	8.59967934469713	8.03072977267353	8.24004530268444	8.36996764177033	8.31147306084201	8.58681683478735	8.27827757150314	8.38337936977114	8.2475860411585	8.23614761114947	8.1329390892001	8.21960868191479	8.51178150421255	8.23981471858634	8.51154071279759	8.33320617766165	8.27680388216062	8.29322540714469	8.39343646250227	8.42173673181708	8.56800013060407	8.69996362684997	8.30271650552231	8.29691195587913	8.27907083412916
SQSTM1_9937	10.7361847072256	10.5759016321983	10.7413193646651	10.5730575918865	10.6274458691113	10.5400030400384	10.7341343229132	10.7510809724931	10.5764352630513	10.6452374477865	10.6491657910964	10.6225252717172	10.6609079427053	10.5829976034319	10.6784565441943	10.6387721786443	10.6775695319671	10.5413511303501	10.5763441740491	10.7278696902083	10.6421359428736	10.6671837162854	10.7207717946055	10.4361533888255	10.51948920036	10.715442912915	10.5442274364227	10.5521734350821	10.5938678725178	10.4942301814363	10.5003514302729	10.6527568603587
PRKCQ_9569	6.11140508924544	5.94115260994196	5.88163521042348	6.14550884633412	5.99258313979901	6.44753358283922	6.2048294997657	6.05351928952045	6.38394437405902	5.75437051750134	5.69522562313991	6.25888132985442	6.21895385943816	6.18017730497406	5.97836859846855	5.74785662488425	6.26509430934707	5.76260033157854	6.43313902576176	5.77871197098289	5.80759235201204	6.11696804499298	5.80382029929413	6.37491296229746	5.71923204708812	6.57137795268251	6.10550331114091	6.18989387492746	6.14450403209176	6.18371292163985	6.13237506350039	6.16179619579958
PSMD9_9602	5.65775962440057	5.51331705808341	5.87434386502959	5.60927581457178	5.48156892702817	5.45239737609892	5.50254676003879	5.68792499455674	5.20953127774112	5.50627377333095	5.61001842807043	5.4304903737329	5.34698909477637	5.21999034828632	5.6807197560168	5.53882358030277	5.40873662903755	5.43155232646012	5.60833190083032	5.53529296988707	5.57869942512246	5.70702042862773	5.66766126901701	5.3184871729832	5.21128295543226	5.62684564192529	5.54011573046317	5.62442617939008	5.19454130505948	5.36855899612935	5.30517700372848	5.23248580097434
HERC6_8794	2.68721069108792	2.64519983982362	2.36769101802006	2.60202235665718	2.62171787798756	3.47362815429073	2.68143496766668	3.769530417671	2.81508396536576	2.79580243241242	3.35213779459542	3.57328166451043	3.68097719737971	2.49322952783569	3.28492751440961	2.906593680838	2.11051637333847	1.53343202612935	3.32232557989657	3.81106756164552	2.64381978180438	3.9809642929154	2.53394341124266	1.81146336869116	3.2431910897921	3.16274807483103	3.06068486077948	4.55086676597585	3.73034372228188	2.42465485642735	3.24381345400408	2.04071907810333
ALDH6A1_8027	10.9500417060778	11.0584749885155	10.9254423740331	11.0643117078969	11.1191729553582	11.1247184565657	10.936031574049	10.9425319024483	11.0781603853733	10.8945537043771	10.9162270589776	10.874099032859	10.8105619045491	11.050661271845	10.6975791127323	11.0481444363775	10.9055669983041	10.9309898948502	10.9404726049355	10.8155709989439	11.0072049011693	10.6765264393081	11.0749351832364	11.1340625948853	11.0005123670138	11.1440488380933	11.0827186197657	10.8189916085206	10.9351494241369	11.0057788161815	11.096012615956	11.2206514399218
BMF_8152	4.40655037551574	4.10812906599171	3.84550081576065	4.23806424348498	4.15550707390265	4.04577477526468	4.45830841379992	4.14782703982818	3.80422541163807	4.08944873799577	3.548109607122	4.0324224707502	3.42143231081181	3.99277554829019	3.92728375924087	4.02204629902713	4.20335045460385	3.92699792076959	4.21286744170925	3.4298911622567	3.83174884141498	3.90669224153233	4.33386034519429	4.16529889837451	3.91788716417724	3.93730771453177	3.63878633132293	3.78895109450086	3.31899833131354	3.71304254313388	3.40138902303685	3.50864228410115
LOC691496_33185	0.602322906683414	0	0	0	0	0.304613660858286	0.420545489179342	0	0.291149574902024	0	0	0	0	0	0	0.32185958151764	0	0.306661287343922	0	0	0	0.338124330634831	0.309847048637285	0	0	0	0	0	0.377760968828558	0	0.348596051415884	0
B4GALNT1_8123	2.36324737304713	2.53057556803596	2.85633174321909	3.27705919533865	2.74360939617386	2.83031294741977	2.23963290871113	2.11944863120704	2.4521467737254	2.84852039080613	2.4481684352231	2.68966077313992	2.69834099845803	2.79005945197667	2.49741653300274	2.32165402188417	2.85242027322303	2.79099124848786	2.42920293281583	2.81078231293862	2.6955699120829	2.14843190224753	2.40935643723552	2.94359949646183	2.41765171666737	3.26861784731082	2.78134896468057	2.62721796785885	2.67532542617129	2.4770546732894	2.91832929286664	2.6301357859983
IFRD2_8875	5.37213035442605	4.98090899995737	5.42319725921247	5.46686856841992	5.35339628701302	5.19901868607505	5.21771104377028	5.19703855242159	5.01373404201765	4.94114641590677	5.55636893415137	5.33629489156167	5.06699143294797	4.92246769162627	5.25451345777387	4.97694820153138	5.04177572584735	5.01181549272486	5.23662814879223	5.33481551908732	5.38741314428725	5.86572860533255	5.28882466251469	5.28017261895159	4.95264776703691	5.20604434744658	5.16815843138212	5.32938875991652	5.44307532295475	5.22273429816344	5.26472270153234	4.51105929998972
CRISPLD2_32789	6.21566889477934	5.65000686715786	5.72019859510015	5.90507411554379	5.38183667619698	5.72026004110674	6.26320552699971	5.94454715085025	5.36634604012375	5.60149942118318	5.87398100534393	6.03729436815336	6.04531002785095	5.81524719111927	6.24071640648061	5.67914418575976	5.80101796765305	5.3584774399724	6.58308567099679	5.52747299626944	5.36361636918009	5.7571971404457	6.18255935190571	5.70723357074353	5.53556826526122	5.69805649256705	4.88232520928696	5.75532241387757	5.50143652174769	5.88236468389708	5.18024320787344	4.46093337994813
EED_8526	6.67300523638813	6.77427428702107	6.63058195191713	6.82393587077216	6.62057270378336	6.85453020103326	6.82906768973917	6.79953016501363	6.64474171591903	6.97530444658768	6.68123571742091	6.85772671558649	6.80291340035279	6.55645807158749	6.81054934412821	6.57330818536979	6.57544332846971	6.54851748269783	6.56209209581153	6.8712423759405	6.54601275581974	6.60194576468307	6.53911676932522	6.72508293006144	6.6782014736993	6.6485818095909	6.48722467225093	6.68080240915859	6.74898794215652	6.46564978956179	6.52808962480406	6.64220410919676
GNAI1_8723	5.2199866876213	5.29367108304981	5.42319725921247	5.40243057839169	5.13687344084661	5.49061594318395	5.26926215799579	5.54593148471389	4.91024991395102	5.06883064521728	5.32997067021726	4.96493890480501	5.50292755562852	5.08436493177859	5.00721559310322	5.28506840508823	4.96721161042269	4.62551634407858	5.21885330183242	5.29851686261769	5.00191686276035	4.9345423468138	5.13010022329503	4.99803464739061	4.84775845555889	4.92225053363996	5.00617361289995	5.05757778755938	5.31875391557673	4.97197786777033	4.83821616734405	4.91019148793114
THAP11_10011	5.18958312758505	4.94778930287615	4.92719654721879	5.55843074203611	5.24403823629557	5.51307035958415	5.41370657767928	5.48736792690622	5.13803947787165	5.25609272222456	5.52877700339423	5.51109284021594	5.22195856209323	5.44963709781616	5.14732685015484	5.43429355053864	5.24480522323082	5.27269090822776	5.355273570188	5.25182028105502	5.38741314428725	5.24700407498723	5.30640007112948	5.38498908675703	5.23643151053942	5.35769244264267	5.24838975860508	5.16063049732828	5.1587230620016	5.36855899612935	5.21250548673229	5.09682657365669
