ID	S5P1_H10	S5P1_F10	S5P1_G10	S5P1_A11	S5P1_E11	S5P1_B11	S5P1_C11	S5P1_D11	S5P1_G11	S5P1_H11	S5P1_F11	S5P1_A12	S5P1_D12	S5P1_B12	S5P1_E12	S5P1_C12	S5P1_G12	S5P1_H12	S5P1_F12	S5P2_D01	S5P2_H01	S5P2_E01	S5P2_F01	S5P2_G01	S5P2_D02	S5P2_G02	S5P2_E02	S5P2_F02	S5P2_A03	S5P2_C03	S5P2_H02	S5P2_B03	S5P2_F03	S5P2_G03	S5P2_D03	S5P2_E03
LAMA3_8980	4.73752765828573	4.95585824487871	4.55766022337937	4.97133932194629	4.53883715045599	4.75439332481476	4.47292926327148	4.28351413397266	4.88683249030819	4.96421926604315	4.57175617937055	4.15280418341663	4.76542009696482	4.84584135853918	4.14481085785371	4.13547075534372	4.80514532579771	5.09505565966935	3.87678221524911	4.55021024022767	5.1972495358983	4.22120207249858	4.81343206301396	4.82975874802971	4.70493324875128	4.48126033013115	4.74676718425695	4.09062898284543	4.97185298011609	4.84235371180957	5.40007747462444	4.29398706853766	4.88268845461155	4.90718042095997	4.76176288861463	4.51273564120534
EPN2_8568	0.92672012888515	0.633305037650008	1.73176196195888	0	0.704491579896049	0.530356832279146	0.678245290058445	0.979909681292849	0.674042319476219	1.0149371263602	0.85123626500688	0.773437202224639	0.703763517763261	1.00018199434333	0.549515055049858	0	0.750571743445043	1.53791065897899	1.13809019491225	0	0	1.17683662507945	1.32571243468357	0	0.797162133114356	1.55561103246469	0.854206532447745	0.919121779158028	0	0.492796736108965	1.04060510725466	1.5962290148328	1.55201614848453	0.987870305880063	0.841399360138212	0.879345310063207
RNPS1_9720	7.77646587783698	7.67886281478789	7.69303605825683	7.50946625214629	7.67490692362907	7.6537275687409	7.89527813468159	7.72790819463071	7.72263446898498	7.7314061416076	7.80036117746798	7.98463305125983	7.78282470062048	7.76854662115014	7.92341119244157	7.86306877627643	7.6185663644417	7.83688681979455	7.96893135904485	7.6939361660157	7.83274960936564	7.49212817728394	7.51801992801347	7.4808007493705	7.89357557467122	7.67705794366051	7.25606405975181	7.83412830454261	7.59921127666485	7.91426768187574	7.42834865171263	7.63590116323241	7.6194274382546	7.37238834853236	7.6072406427483	7.64969161310562
ACOT2_7969	5.91258814466481	6.08076072601479	5.09431573603447	5.58719592974386	5.53384552602123	5.62073512731104	5.20208361381692	5.40010402301086	5.03831521644062	5.31436891901487	5.4017113601013	4.96647951178298	5.35122953190675	5.62971323387641	5.44024855915201	5.64458587670252	5.85761691738733	5.84036792998932	4.92133318004533	5.51908800965787	5.63040942848859	5.81955130174016	5.52972698360271	5.15618590151614	5.94227358474961	5.44859720153288	4.98618521689972	5.26380369353495	5.51277941126425	5.96538455656487	5.66343693122488	5.60748024832166	5.14150339777553	5.71756391283115	5.72416090307494	5.4113329074008
LOC100134871_32288	8.89898523126587	9.43712703323956	8.81700536967741	8.80312352665507	8.98991570941151	8.92923941838607	8.8052376578828	8.74295445932482	9.19650602563279	9.69430999132871	8.98587909749768	9.03347288154452	8.45361617001857	9.56403644466026	9.61088364325486	9.62839910552094	8.9224505703557	9.79420360009311	8.78779998242609	8.43397165599701	9.15268614557802	8.5812907765895	8.33719907945175	8.12034328927309	9.34136921315174	8.88657520981225	8.39327098386385	8.52036779348688	8.56094510472942	8.81020886830206	8.49349800603695	8.55209712512931	8.96161922348915	7.90055137151265	7.94517489288001	8.36492273837832
UBE2A_10117	2.46067625588626	2.50702632198901	2.49637646878336	2.87326194534719	2.5937271964491	2.50207772875319	2.76592908192342	2.85259584169828	2.66898945830004	2.4572226624984	2.78583061347755	3.05828530434705	2.82332108108379	2.64416192715899	2.0858174021367	2.31287261604229	2.6131652650884	2.74657294584184	2.94953697616154	1.92736482896487	0	2.59531755869872	2.4645896245373	1.9591145325147	0.797162133114356	1.55561103246469	2.73429766500459	2.19025307566082	2.32955256064922	2.0899593670222	2.65201635150994	2.82182434568527	1.55201614848453	2.30247132897184	2.61979264592516	1.42173802279975
PANK1_9421	9.55490835893929	9.49336578484415	9.35524624817413	9.26620261658054	9.23117433034008	9.28360483177205	9.30150043067769	9.09864809082702	9.29621945100121	9.26950969515843	9.32844350060148	8.67966038969859	9.25079349088275	9.3612104964205	9.05666511184118	9.37302812534145	9.48356647868624	9.27988487816461	8.70054114225268	9.40528817284852	9.72711604840812	9.56986447332701	9.33496687753304	9.40575958081103	9.73892882652973	9.31994863268083	9.44059819236569	9.26623618068206	9.691390012343	9.32525726276464	9.50834566987157	9.45854209080159	9.48076868573306	9.55404259253025	9.44005032480509	9.44410209386255
ARG1_33267	9.21115463775074	9.1145721195591	9.21577023311427	9.19821142246212	9.35747053191027	9.07184371476825	9.21672237358822	9.25192271957841	9.48549890528311	9.25897167842867	8.82467233952407	8.56724609283743	9.25376835459682	9.3964329832302	9.86868274513417	9.17342080557139	9.53623206864397	9.61367124245045	8.64362987134272	9.38728101269351	9.69517499703173	9.29664310031167	9.37479867801487	9.27398619089375	9.82005109880231	9.08510904975059	9.63486955139536	9.09582116234841	9.01436467935129	9.46064006082798	8.83146185573088	9.04970718344803	9.14882508247255	9.40925873491627	9.54317070117305	9.13394605310065
PPARG_9537	0	0	0	0.325487721956718	0	0.289413323944529	0	0	0	0	0.342572257490552	0	0	0	0	0.552777974831795	0	0	0	0	0	0	0	0	0	0.9780425714193	0	0	0	0	0	0	0	0	0	0
HADH_8776	8.42830555433151	8.46643615595871	8.5213603415795	8.45645207530747	8.4589417836011	8.53389916651873	8.30241424404587	8.65799183033386	8.50061629342231	8.27755192608777	8.67850673383901	7.71599311532145	8.62805994231541	8.44744614919023	8.2300189791605	8.47323025044526	8.5414806756576	8.273354338539	7.50473621277402	8.21324813456959	7.67037117921612	8.06085735341067	8.03970073076715	8.09770550421986	7.70753624445964	8.05919700228506	8.18481266854326	7.82281841922832	8.505353033236	8.0905489129365	8.19875936013704	8.31051505140383	8.01117929155682	8.47754272418478	8.17202128391188	8.13220116825272
