ID	S3P1_G01	S3P1_F01	S3P1_E01	S3P1_D01	S3P1_D02	S3P1_E02	S3P1_H01	S3P1_F02	S3P1_H02	S3P1_G02	S3P1_A03	S3P1_B03	S3P1_D03	S3P1_F03	S3P1_C03	S3P1_E03	S3P1_A04	S3P1_B04	S3P1_H03	S3P1_G03	S3P1_E04	S3P1_D04	S3P1_F04	S3P1_C04	S3P1_H04	S3P1_A05	S3P1_G04	S3P1_B05	S3P1_C05	S3P1_D05	S3P1_E05
APON_8066	9.34094990663465	8.96437124733731	9.36962035954269	9.51870206893711	8.65271675733089	8.96620130340218	9.82022100629668	8.31558482093332	8.71582682981732	8.88714855132897	8.64227354399225	9.52595690446076	8.66533611432788	9.15075579119697	8.48219084476266	8.74043537819338	8.82793452103159	8.97106700314723	8.93591195416581	9.12343566290938	8.97929537400235	8.76003185284569	9.26504277412243	9.01417918522923	8.08778133563577	8.71973017109962	8.52803397366594	7.98098206760035	7.43834907906246	7.72857861863953	8.30212357957932
HIST1H2BCL1_32672	6.84155298398252	6.00595034804789	7.42440477525542	6.38149578806518	6.28732173070622	5.7145625311361	6.66171162702716	6.29956455152075	6.09051932816981	6.30905096784089	5.99352947393651	6.62558973258618	5.96198499475881	6.10527700077224	6.12208849772948	6.24218113562421	6.01358913759307	6.52202723881171	6.32472869452649	6.45093221868548	6.37006489938537	6.70108490132096	6.27736945797694	5.8464235898432	6.12890612780666	6.30090837879554	6.1684013876598	6.09671621152646	6.07040641369241	5.8540036747515	6.14320863461046
VAV1_33194	3.35521776055629	3.1052706916233	3.66903650154252	4.24377480863571	2.73964010477021	3.28875827553874	3.97544005129362	3.07336076115275	2.62064896337336	3.00115713600535	3.25199916188726	4.38424652576148	2.7110424165483	3.41157693617231	3.20761406690671	3.07027237060291	2.52457346885761	3.5673010958254	2.66444909859645	3.29937085668259	3.26484363238674	3.21520609416565	3.41662383004451	3.11012733859308	3.07142158680222	3.58421135535256	3.80431560065716	2.95673472646116	3.62809341063991	2.49122620063112	3.36526595073432
CYP17A1_32365	1.95808043968793	2.26387117087214	3.71574627574286	4.49028956647476	2.23671195109963	2.12899219776395	4.11824220936447	2.57164749632199	2.08500323853074	2.12131256239609	2.87309896271711	3.04387274987808	3.06991887890524	2.40188665757376	2.93904428319882	2.94385045534633	2.30286649883344	2.88676521605268	2.15548960608808	2.67924202335761	2.13906425952095	2.71911530611356	2.07933848542142	0.498435144471264	1.98637633381841	3.76443334373072	2.70473423112214	1.48046027985802	2.36424287702778	3.47263613159509	2.68029197093589
CYP2E1_8421	10.5432240482394	10.6861554160288	11.3982793849272	12.1315524783605	10.4788642040314	10.47844343365	11.7664499628223	11.0675543608117	10.3082998883328	10.1133639827693	10.6546578575513	11.9530133860603	10.4695235436884	10.7990783878312	10.8322686834281	9.96565165437653	10.7633694051722	11.1823621533349	10.0658164046968	10.3980488317188	10.8109825045941	11.2497200720418	11.1557331274158	11.1058352879765	10.4319997060494	11.3672120002497	10.9650733513042	11.1408739557395	11.5507748683228	11.4324102624587	10.7090354659764
LOC100361830_9029	3.35521776055629	3.50731657686851	3.66903650154252	4.95452403622967	3.65265840171216	3.38509011883733	4.55483776088034	3.61333855382203	3.56958650338718	3.25240864734617	3.61793854805122	4.64217645485592	3.44135267626056	4.12313619687869	3.58307207687956	3.61766908277652	3.20110191674593	3.80591421402519	3.19642324062586	3.14764840887215	3.82969635655504	3.72795154945449	3.47359899246249	3.65019610862097	2.91831199746233	3.54090965240705	3.62231239099127	3.42594403715771	4.35624476096534	3.86049181511744	4.07011277086021
NQO1_33055	1.72611504943961	1.02653318462497	1.62894734803865	2.35575313685717	1.20823443532175	1.23244419488831	2.22727335556579	1.08667249185251	0.8180344943661	0.686391906607304	2.8178917944708	2.17970182105359	1.65879851658898	1.80716835030912	1.12226705512563	1.04057376056467	0.988116048597084	1.45648634909167	0.957785938235564	1.56828738656765	1.58630911779961	1.88840967541053	1.32511533027748	1.51453231484687	0.884716237502313	1.04538121846637	1.07304934293442	1.67275982295814	3.47268061646364	4.70969046135078	2.15779006630093
HAT1_8780	4.81368876256205	4.37193095259399	4.9798396069519	4.99501422824208	4.73094783204107	3.92327245874631	5.34656583456856	4.65963128486323	4.44571460512629	4.73273922304566	4.5065075393671	4.98461055992727	4.53554188812357	4.36732220796515	4.02675947607213	4.2185817422809	4.35810983883525	4.5535613696722	4.28779928496899	4.49957623987708	4.69124039429933	4.81776854537196	4.37760651427547	4.29061751382416	4.69870976936869	4.84995031781858	4.67588536518041	4.52865393568958	4.74388440046746	5.17381449643579	4.40085653902211
DDX21_8454	3.18257321028918	3.32025366501249	4.0061796763883	4.39263994720548	3.03703222331047	2.57257603741257	4.67524449650753	3.83403025063216	3.01038113268138	3.34181607398909	3.40967440630575	4.47142123282071	3.89431963607399	2.89285875414236	2.51287190288085	2.56873244895496	3.27625916666076	3.4183335859154	2.92529449381931	3.22550321945001	3.48726608817114	3.92902868885437	3.41662383004451	3.84921006632132	2.95813949828984	3.78313600593484	3.58961431341362	3.5289880397968	3.78735289203878	2.97236760611815	3.76031316655499
ADM_33168	2.87734820101352	1.91290339017262	2.68738960912394	2.84356596107343	1.56843128312761	1.48518448192399	2.34813221225447	1.69940609717989	1.10064380658524	0.686391906607304	1.79723585474538	1.92117543411175	2.02934411079903	1.05049097179999	1.36131007209722	2.17743477117196	0.863669579954661	2.39617821447815	1.67751386810279	0.987511768177737	1.76696053708098	1.39031622788086	1.05337410818989	1.28946947362199	0.884716237502313	1.94001551740205	2.36163732548131	2.06450117036313	1.57735391552917	1.24467174023116	1.93097389234034
MYO10_9278	5.10731881086048	4.85809663188534	5.46313762737888	6.33493637807917	5.12332672989552	5.25229832312238	6.35059329492182	5.29316556669942	5.1814549957425	5.07017806723843	5.04031908707007	6.31136620600106	5.40263267134559	4.98680797407366	5.16648802824283	5.17930612146625	5.04294076487641	5.11789880146274	5.08667496154218	5.08417223625131	5.2035984765936	5.90036715791186	5.18932933846904	5.32929014273895	4.6869061892223	5.59526699144818	5.22604188869059	5.62469138978739	6.14585001099142	5.15313932641482	5.51707435010989
FKBP1A_8648	7.03171606234865	6.88502414424838	7.67248637057299	8.25077529845662	6.96653562735618	7.02614933545966	8.05381468320237	7.07158826927843	6.87477086031502	6.92276435113974	6.94399732830528	8.15730628241511	7.21564954174965	6.90577256389393	7.17572730259904	6.90801788420853	6.67911427699967	7.26244587322834	6.55422416815112	7.04656498193415	7.14155649453367	7.28642130465937	7.04888122108687	7.24831696930175	6.73304212893923	7.31440831552546	7.21303013672972	7.10710624462416	8.0084596381337	7.75740255868088	7.46525723424632
LIG4_32329	3.64867095615005	3.6728849116349	2.37455125014101	1.97887907968502	2.99812038551667	3.03529289141722	2.09535636383794	3.66538098050733	3.14090546641628	3.15709220626297	3.02707458651862	2.3988655827567	3.3998267665401	2.96060174771149	3.0110173159877	3.18650310957343	3.56309992600326	3.30972614994768	3.33759105083149	3.43664472066316	3.38033702227943	3.37404699523488	3.38726963538197	3.11012733859308	3.24245223614664	3.13783445443349	2.93040677258517	3.1306512347331	3.13035376150885	3.14982291451093	3.17098051423834
LOC100910898_33247	3.64867095615005	3.3693419862672	2.37455125014101	2.95722631746807	3.52160056362803	3.41582248590247	2.09535636383794	3.66538098050733	3.65944369088882	4.07387160917473	3.5852493451986	2.6755470272158	3.55920700402388	3.31135125424287	3.07956973651196	3.4877573773244	3.50178645012354	3.68067300753609	3.14612130013668	3.43664472066316	3.35231884083843	2.71911530611356	3.16314397351156	3.44682927087234	3.70721777855015	3.2224915468938	3.74616220331093	3.80017552035066	3.32469282117508	3.25705429584016	3.95404871710563
GDPD3_32552	0	0.428365088540152	0	0	0	0	0	0.29250759542296	0.466236850875022	0	0	0.455903991437015	0	0	0	0	0	0.472636010446628	0	0	0	0	0.281046072520159	0	0	0	0.351593141429404	0	0	0	0.518825651583637
TNNI1_33096	0	0	0	0.372045749993713	0	0	0	0	0	0	0.35056474503344	0	0	0	0	0	0.409107760042618	0.255586884359318	0	0	0	0	0	0	0	0.235504799399184	0	0	0	0	0
UGGT2_33061	1.72611504943961	1.44812842782338	1.81206564605245	0	1.06496732716474	0.925820852321769	0	1.23180312361709	0.652832334147602	1.14958954050255	0.35056474503344	0.245886254417594	0.692818565848998	0.440503857233091	0	0.76951537579431	1.10267504833042	1.11298545781495	1.17404566721905	0	0.263371177959633	0.443927527600626	0.718286464233258	0.270636837955094	0	0.91578325529736	1.2508672449796	0.844565069174946	0.239255830319979	0.752597168714343	1.20060822103557
CYP3A1_32809	13.6382814104012	13.71943594861	12.9669840679796	11.9882713045374	13.8396311265407	13.788631868078	11.7340648528652	13.5574835626305	14.024415839579	13.7869302135694	13.6958375479278	12.074219445143	13.4213040265752	13.6333260351118	13.4290435816541	13.4062722142549	13.5751183020808	13.4820124323186	13.5487770358504	13.5007432765888	13.294110772915	13.6533306927407	13.5530285360026	13.6909726566806	13.7137630912751	13.699588864803	13.8768008233799	14.0730681773424	12.0926670209633	12.4716488012206	13.4030937856178
