ID	S3P3_A06	S3P3_G05	S3P3_H05	S3P3_F05	S3P3_E06	S3P3_C06	S3P3_D06	S3P3_B06	S3P3_A07	S3P3_F06	S3P3_G06	S3P3_H06	S3P3_D07	S3P3_C07	S3P3_E07	S3P3_B07	S3P3_F07	S3P3_H07	S3P3_G07	S3P3_A08	S3P3_E08	S3P3_B08	S3P3_C08	S3P3_D08	S3P3_G08	S3P3_H08	S3P3_F08	S3P3_A09	S3P3_C09	S3P3_E09	S3P3_D09	S3P3_B09	S3P3_H09	S3P3_A10	S3P3_G09	S3P3_F09
NAT2_33165	4.36744487416247	4.33328549982348	4.02060683480603	4.233458193523	4.06699040404886	4.48958670738177	3.76302053078447	4.4592266317958	4.40130126741077	4.30557279297746	4.11219762772067	3.99076781432975	4.24685153534095	4.17944570144231	4.143482792365	3.99222150940154	4.37341705405734	4.09941511868349	4.03833541956655	3.87505607325075	4.14603357969989	4.25887373904019	4.15156532806174	3.9353703918392	3.64648641596885	3.65495148419154	3.9178992751446	3.88248583368816	4.04956997583273	4.04741417396759	3.84647557171923	4.28382526651375	3.7298198904983	3.67824118973008	3.77821456860218	3.85642733259888
PCK1_9439	13.7945872533828	13.4368395919709	13.6920948049201	13.299817346661	13.1476853991358	12.6831599890864	13.4329435410426	13.6110288663041	13.0362684103301	13.2074024515825	13.9363084271227	13.0272178386414	13.9340293439413	13.9793802734318	13.1050923848083	13.5824870754209	12.9117752134604	12.7651166484745	13.4179523687482	13.2820668847843	13.8163861239006	13.6333047544771	13.5640426128812	13.7508205546778	14.1799791642265	13.7305415723556	14.2051172312467	14.1141341717309	13.7880679215808	13.642025936178	13.9124468904863	13.587049320168	14.1383964005972	14.0867299144213	13.8937578176475	13.7835106267397
DPYSL2_8495	7.80903895244494	7.91578483772594	7.35863548681836	7.72601763246991	7.95783518242865	7.90712200544389	8.12331186146654	7.56601343864729	7.57309503698081	7.69710674781032	7.76034281299797	7.90666778186712	8.47662567540857	7.89343148957616	7.70004104613487	7.77158492056343	7.88129641293907	7.66633269002303	7.43767638242673	7.53737737709179	7.71368918321476	7.5765710942779	7.81801759347366	7.63495616377144	7.1931417760032	7.40620138882353	7.7785590652833	7.31384911361365	7.51451164550674	7.67871501691134	7.45982821732094	7.95453162358848	7.61524461367643	7.70000938276774	7.49510194128015	7.63934915958999
SLCO1B2_32950	1.16549703149511	1.59294195601727	0.679145592160228	1.44183641907147	1.04858928666478	0.792231097207553	1.11401649722512	0.966728262714881	0.978325420134394	1.52479325222932	0.691415342675094	1.47910255668917	1.54944923160394	0.840053049597514	1.3051857518727	1.10247548882333	1.55597762011252	1.16455978836492	0.728253175662268	0.815239988852876	0	1.30853260918953	0.28769599957561	0.264710689827331	1.08073313258772	0.464891184219545	0.698410580948362	0.754818795198845	0.979993402151015	1.14641982042158	0.702580935909593	0.815082291885495	0.681060166364221	1.0688868667067	0.843986706622466	1.1994846908719
PARP1_9425	7.09274048499966	6.87293720178392	6.90007783587319	6.87146713655646	6.82264286646035	6.67216464508937	6.97267797710265	7.0598686442525	7.11144952282296	6.8753155824026	6.69174846184491	6.73440351878491	7.64478560676472	6.67433131903682	6.89108416213455	6.79913067701785	6.58124180223166	6.8942910854872	6.80697888015196	6.77388547107825	6.66794706691529	6.68813457914551	7.22635983068029	6.70202433242527	6.78503838838692	6.53638709115611	6.97442358260152	6.78753142031264	6.30450420006594	6.65479507196256	6.77259053876675	6.73889650021713	6.47710023563124	6.64497710824615	6.47541558405194	6.81052334921508
UGT2B7_33032	6.8312935180607	6.70183537399778	6.31752200537418	6.79546971968476	7.84838325127588	7.27302726300081	6.0840814876599	7.32754334854899	7.84067845736502	6.61210216821038	7.13834594970615	7.31214009486146	7.8845653994673	7.08583314050112	8.0422133635244	6.91612570458806	6.4907586151273	6.30786249662764	6.59795233626145	6.60966534151821	6.16405287205805	6.39089283361303	6.45863743620492	5.90225138211823	6.00426773325111	5.99831494666429	6.51244543276625	6.27566703650042	7.18879653796872	6.24336725488145	5.91135638074339	7.05949018688551	6.36541023937687	6.78440592181109	6.47111254245212	7.06080500877628
NUP93_9384	5.04754292801185	5.06687709014696	5.00277205903254	4.86346184283109	5.06993580863566	5.21333529440064	5.28399041324631	5.11448026603869	4.79076547133218	5.06407001945627	4.90201319825362	5.22307382071919	4.76140676840182	5.20236249013367	4.83094323476683	5.08916636454554	4.95768714903538	5.15047096399501	5.02318156434194	4.80557490453536	5.06580628775456	4.85050024831628	5.30012124211558	5.06283889829351	4.56522648554051	4.64116649276267	4.56226380636342	4.76138880010456	4.92679674981657	5.0879284465433	4.9202599708874	5.21715297307181	5.40008351030319	5.35034740612237	5.29131515806937	5.06239834522502
FAM105A_32634	3.77396142219646	3.53447920714358	3.56333407530066	3.60387191726538	3.89632811091623	3.21617117597962	4.20688625162275	3.63840295926543	3.04899104438965	4.02572392107	3.5558372996531	3.69135001448671	2.89210196319473	3.95284227496999	3.33229620361588	3.79170524032462	3.46271113158346	3.8238990602966	2.78862059907616	2.89850287321549	3.66336467232595	2.69724212756461	3.23053998575491	3.41507784908442	3.25537709162424	3.28464807190853	2.89428085689156	3.09788313014296	3.32123855163664	3.60472095184573	2.77733766923575	3.30153632230145	3.70778433425799	3.2491509470328	3.80581434983207	3.57182733140203
PTK2_9613	7.36275560092058	7.25266532394413	7.29930061473028	7.38260422272761	7.26738142805082	7.2149959679802	7.46436346861704	7.46637280309065	7.55831930789105	7.24793705458957	7.31585828304035	7.2428804702432	7.06342302572021	7.25954564394243	7.31201177128708	7.25421193976284	7.11984119408843	7.31906349901698	7.24192340786099	7.1943790864905	7.21077603973113	7.27039883947027	7.58086029300029	7.11848064828278	7.02627814290813	7.05662799550963	6.91362526240545	7.10819367100973	7.14238110780989	7.09982402482232	7.29861359429745	7.05674976686809	7.09959665549054	7.27071138300185	7.02004183478257	7.35623167200283
S100A6_9773	9.34793369366636	10.0048793482879	9.59157231483897	9.60323816640971	10.0147355414747	10.1524626831181	9.81224531342617	9.56575305682369	10.1797557450129	9.63120926766413	9.71685919794652	10.3941281845511	10.6218972309444	9.91232744039758	9.80253344427227	10.1755348183789	10.0770110766821	9.90920146646057	9.74908387338837	9.82405541467153	9.64479629878245	9.47790857881972	10.4360699547388	9.84543651390208	9.74945097581407	9.60989471397212	9.47180935709035	9.69072983706716	9.78112601241094	10.1379790430687	9.57255862309438	10.0211156727233	10.7943834954176	10.060797708717	10.0429038239787	9.88995601296411
