ID	S1P1_F06	S1P1_A07	S1P1_H06	S1P1_G06	S1P1_E07	S1P1_D07	S1P1_C07	S1P1_B07	S1P1_F07	S1P1_H07	S1P1_G07	S1P1_A08	S1P1_D08	S1P1_B08	S1P1_E08	S1P1_C08	S1P1_F08	S1P1_G08	S1P1_A09	S1P1_H08	S1P1_D09	S1P1_B09	S1P1_E09	S1P1_C09	S1P1_G09	S1P1_A10	S1P1_F09	S1P1_H09	S1P1_B10	S1P1_D10	S1P1_E10	S1P1_C10	S1P1_F10	S1P1_A11	S1P1_G10	S1P1_H10
MMRN2_32997	3.28621528432959	3.74197127312168	2.76743198662787	3.43468798848264	3.28359808119123	3.30771858570233	3.21013717445713	3.10286428890853	3.1856925799549	3.78122513390613	4.10577649756299	3.7595561066111	3.98640526161615	3.6361682102023	3.30632847952229	4.41326975922953	3.63379932546104	3.89915611691926	3.79536253067855	4.2026007246328	3.86562111427614	3.86771613443359	3.94659611642601	3.70651251108311	3.45847837946433	3.81457334133211	4.14184444389903	3.356751076309	4.1112362643395	4.16998479037574	3.86823027440024	4.06870866046396	3.67403825371992	3.13441391760588	3.58048617788435	3.74003993027004
ABCG5_7947	5.51849593226668	6.49038692673238	5.40065859956516	5.62899246854305	5.73253771198814	5.43577710747001	4.85270451716685	5.99158142364168	6.2275705948472	6.7551830606977	6.98927158013909	5.73708493851306	4.83149142494203	5.84949070033327	5.29931647539797	5.6832036049428	5.12974614680728	5.5177468561711	4.83838716479929	5.9426990080722	5.1372536981329	3.30080107620255	5.83580981337545	4.99839341215981	3.95471577976805	3.74093111741222	4.37680994908908	3.67417666675308	3.12666997190002	3.56624325505135	2.60910885474827	3.44644849230202	2.00593079768343	1.7475728731936	3.66603843675821	2.1678542233195
CCL24_33270	3.93801999530096	4.64128456878318	3.91982702840385	4.14891252463534	3.16459824813098	4.40952866165834	4.13000589077555	3.55510924141923	4.61547182650483	4.40119039716567	5.29761342652214	5.23902314264117	4.94016089203756	4.6371145473401	4.67645106265873	5.51498293577901	4.26761572555147	5.31120624594518	4.40915021136426	5.2887086255157	5.01917800128518	4.55168832431267	5.09270296846539	4.31538855114536	4.22720541380631	5.48795600732386	4.71368251974825	4.64911158820829	4.64481503994346	4.61172153863977	4.32515107592431	5.22926515757305	4.36506985253292	3.09514487440639	3.48953904584433	4.28855529801647
APOM_32774	9.05717247647961	8.17064703357883	8.83605807173685	9.27295277541554	8.86865318702003	8.83395525762181	8.86974719893468	8.83638575668994	8.92525889979948	8.72582681537972	8.92712042565921	8.70127740519146	9.00789022350363	8.61948032358098	9.81801977241077	8.9685764837041	9.27411514774005	8.97479100926049	9.45964503483371	8.8173318453378	8.48796179506194	8.84504887459887	8.46943653913384	9.04854643854622	8.75481055845613	8.94202640530835	8.75280513838876	8.94435855739178	9.14569846885945	8.88812406003853	8.98112558461852	9.00132913513332	8.71937843168463	8.42758459872743	8.34651200903295	8.86390838712673
VEGFA_32415	8.39728101107959	8.47765123657123	8.31101115736581	8.53192728304973	8.25521060505075	8.25583412752764	8.24451266126466	8.45981796102743	8.27642491687642	8.10203832268662	8.1760405676473	8.18175605698165	7.95565840479982	7.85455595894572	9.12156563155367	7.99853292118837	8.52999772566657	7.75427358409389	9.13539882990865	8.37526549606069	8.10620667203033	8.77387368680558	8.03178748097019	8.97319726853365	7.81190966895354	9.30508559549337	7.76997059433032	9.03728491508925	9.18153841035048	8.35807005894559	9.71772590208664	9.30639411068787	9.73104195751498	7.53625537420135	7.96495374925691	9.054604827605
MYL2_32406	0	0	0	0	0	0	0	0	0	0	0	0	0.319038614133149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422323934306453	0	0	0	0	0
IFI30_32493	1.86915312679949	2.9546710250392	1.89174679190321	1.5946979716477	2.35386325651795	1.68952177031736	2.74258393996603	1.1796413622554	2.75437625021736	3.00815407855372	3.75824486105809	3.80491062929978	3.89335656258175	3.41346020515836	3.43676177127494	3.81861720200446	3.89956851172725	4.52781931822435	3.79536253067855	3.27890178827635	3.21677309200422	3.80381618094406	2.85500356962088	3.96854234817229	3.32563041881309	3.99434423049553	4.03139677260131	4.0114110724253	4.07684924914238	3.88522942051484	3.99672464815565	4.40001361362002	4.18538465208356	3.09514487440639	4.18389076367661	3.85167045837112
BAI3_32984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380339082240885	0	0	0
ACSS2_7977	3.3249278670287	4.43156958501775	2.63878133809115	3.50971865702092	3.2450118997637	2.98167782945705	2.47356448946489	2.26171547702683	3.73107260140798	4.30652353714102	4.64138357848482	4.29273493998983	3.86912547836452	3.99915896050823	3.81810093906968	4.16715853298438	4.00588323000123	4.44028407679061	2.70526142564748	4.85098623110152	3.65140599587646	3.83611991144638	4.63058831688827	3.73240012070246	5.0120138362032	4.74991233143943	4.69930478612035	4.34546835782543	3.19238790617339	4.85030184610583	3.14109638299284	4.59732436480087	4.03421882304505	4.29481629444276	4.12467859486465	5.0668145308773
TP53BP2_10064	5.56774812085078	5.60733560456323	5.55717489530394	5.26753935225439	5.51466049803577	5.5836996089295	5.79830262040247	5.82448789616618	5.63207671214882	5.71879600717248	5.71699365620088	5.79442788024738	6.04640869866178	5.66674328602535	5.12646631702778	5.90364574935643	5.36367388360119	5.81607960556394	4.40915021136426	5.86939536875395	5.53940900729995	5.24791559130511	5.4677907132794	5.27869460411013	5.42307437909243	5.26966503238815	5.71480410747476	4.99160667472442	4.54771976195097	5.36306362361601	5.07245350144269	5.09203751464566	5.12037467283455	5.0677874285906	5.40235744493392	5.25116347537643
