ID	S3P3_D01	S3P3_E01	S3P3_G01	S3P3_F01	S3P3_D02	S3P3_F02	S3P3_H01	S3P3_E02	S3P3_B03	S3P3_H02	S3P3_A03	S3P3_G02	S3P3_F03	S3P3_C03	S3P3_E03	S3P3_D03	S3P3_B04	S3P3_G03	S3P3_A04	S3P3_H03	S3P3_D04	S3P3_F04	S3P3_E04	S3P3_C04	S3P3_B05	S3P3_H04	S3P3_A05	S3P3_G04	S3P3_D05	S3P3_E05	S3P3_C05
SRD5A3_9939	5.35624458335734	5.19921415272048	5.08881476647317	5.5972925162213	5.60585229936354	5.65214214019152	5.69557827278871	5.67050270273232	5.35806688055893	5.4362208619142	5.45708836653559	5.11196505976929	5.18121926324719	5.41906497420588	5.13528133701803	5.26330761501577	5.16637028951729	5.43161964594807	5.26674608355612	5.30586786183539	5.57237500025193	5.42692964092236	5.46288948857434	5.10746864772103	5.58886563016089	5.41240200425548	5.64559364787984	5.71849847272764	6.22290755687938	5.17084655029717	6.16687085603316
CSF1R_33318	6.55836983290318	6.27065477329539	6.46080867097166	6.37949876609915	6.13948603794824	6.76794734323754	7.00767199817248	6.42132775940646	6.84717727306901	6.33940069785943	6.47192101595408	6.58516611177728	6.37948233050235	6.59836297455353	6.78318142048232	6.65855132279356	6.47357446867048	6.54838409612737	6.6567060797798	6.5032653622998	6.59139798125219	6.55597051546103	6.48816071190685	6.31145243405685	6.89866891527534	6.43222535942555	6.62463492912496	6.15325454502387	7.0293594040692	6.43940175627655	7.43715626593333
F3_32469	9.65707139665004	9.61100197368487	9.60130392099669	10.08601140389	9.32489681126342	9.55311281449066	9.3700899776712	9.87225390770975	9.66130532193124	9.54716859556006	9.89642441601663	9.82871138142539	9.86839430270913	9.58924848914601	10.0890513986378	9.20755542803404	8.89906508821211	9.82215548236447	9.38898149954764	9.86444713801188	9.07178202395083	9.50319031539787	9.81080828737063	9.89371028392103	9.42633537551375	9.71101822533451	9.26451326030761	10.442974601314	10.1019156574616	9.52912629682569	9.37804518952507
PIP4K2B_9486	4.87862896003392	5.27949302406532	4.8593258602914	4.76958795366155	4.76655543281538	5.18455636919679	5.15824832414892	4.81737512171065	5.06977766408376	4.89680077152397	5.13553815993906	4.98712014714363	5.05776502714988	5.07619697291145	4.75532917273625	4.74737720665003	4.98169350753093	4.85470222727916	4.9740452022649	4.80554159262857	5.23940071995159	5.14884474398453	4.8156996208568	4.68009474861495	4.70287883981761	4.9027544567288	5.10939422971207	4.48810978953591	5.08054866375409	4.63272025053788	5.21618379647688
PTGS1_32494	4.59034171487135	4.27759269791658	5.28675939385015	4.57586607540476	5.4267337086622	6.45180744208269	6.21215133819025	4.88423727884516	5.62808943527894	5.10482662820545	5.79615672740268	4.60548522245377	4.68119876967505	4.92893772196707	5.38155263596281	5.28754003697392	5.20523863627767	4.63202225384368	5.64014495680795	4.86912457971776	5.9076191515633	5.04908414407935	4.97767008297227	4.68009474861495	4.92516034151275	5.21115327347568	4.81162695603638	4.40758508633776	5.83615436058617	5.16294491874472	6.62355857902617
BMP4_8153	6.95415914979931	7.12669220414469	7.49323823474429	6.55628064928213	7.18978121614924	7.33678583632533	7.25016173265333	7.08835477237839	7.3223384005209	7.36819979134167	7.35364325522302	7.10199884912012	7.49327743174391	7.30321440420256	6.65656087464385	7.15149146343183	7.66405124597844	7.3178852809468	7.05377340861207	7.47704135610988	7.6825538512154	7.53157851534275	7.21931887275882	6.65351926363814	6.92466109756699	7.24328662678577	7.61730612106325	6.74461666079677	6.44780640289761	7.17035963579643	6.69384768978394
SLC10A2_9833	5.0623946414914	4.23795868662523	5.1306361121171	4.82878300283538	5.15980693583704	4.6910941327943	4.82130148499448	4.3341643387427	4.69037261369362	4.73291652332477	4.4333416939541	4.58100801441867	4.63257963089634	4.94706305163532	4.18843823107368	4.63854460256129	4.50910019560934	4.66181067961819	4.60644123203278	4.83131202169088	4.35228598754908	4.65159488664755	4.805581123102	4.78222634051204	4.86785414768499	4.76243005152246	4.94237093791256	5.08293716780435	6.08770244371243	4.99508085630567	5.67484796572513
FKBP5_8650	9.21163130472914	9.36069136685782	9.46899645658023	9.61709484858508	9.05790098583832	9.4016441399537	9.10857187657568	9.4169108428217	8.86673609258142	9.36163570522768	9.27375116783991	9.29463802341941	9.65410965020417	9.33686403636718	9.49276588052346	9.22137956475992	9.2765598300928	9.9266877035469	9.91286624365922	9.73902149297073	9.4004391723582	9.79781766942	9.73685896645396	9.82717070979686	9.58254698090114	9.37599576967733	9.65810657765906	9.55961967048169	8.58988569186738	9.68553776010008	8.7629933863845
PTPRB_32629	1.6871319048646	2.22618350496383	2.00104478071485	2.32152455470641	1.68314041407556	1.70374987184145	2.03530355131776	2.19111318222276	1.88807493041555	1.47364005463521	2.08525251762371	1.78962366860967	2.06633620349283	2.27835324570456	1.82902093315735	1.84889632858772	2.11577755689782	1.73458923055597	2.40685086064792	2.17890850849926	2.51472340376614	2.6256610083158	1.90904658361963	2.19318781557825	1.12643164345312	2.1265473742135	2.03839729224952	1.87978886416431	1.22429197035335	1.47031611437082	1.91935518890595
ALDOA_8030	1.87349460722327	1.63331714842028	2.80854889541484	0.651893283217405	2.26024701327543	1.32479733333111	1.51573959824226	2.44843089925562	1.82071889541958	2.29568718369171	2.01888334977237	1.39953460688045	1.91192984212284	2.58655115144628	1.28453740140513	1.9736207108397	1.65875830039852	1.84257541819319	1.3430330986209	2.25704568482224	2.07248964509618	2.28651237799786	1.83138238177004	1.4289699735719	1.12643164345312	1.66832824483419	1.95824772635237	1.56034570912714	2.52929228964561	1.47031611437082	2.71481241862899
