ID	S3P3_D10	S3P3_E10	S3P3_C10	S3P3_B10	S3P3_A11	S3P3_F10	S3P3_G10	S3P3_H10	S3P3_D11	S3P3_B11	S3P3_E11	S3P3_C11	S3P3_G11	S3P3_A12	S3P3_F11	S3P3_H11	S3P3_D12	S3P3_E12	S3P3_C12	S3P3_B12	S3P3_F12	S3P3_H12	S3P3_G12	S3P4_D01	S3P4_G01	S3P4_H01	S3P4_E01	S3P4_F01	S3P4_G02	S3P4_F02	S3P4_D02	S3P4_E02	S3P4_A03	S3P4_C03	S3P4_B03	S3P4_H02
DAO_8437	13.8867418201115	14.1177507125654	13.9374930620001	13.830529894402	13.8988632214221	13.8479350708468	14.0468932833353	14.0452419972327	13.9542018939451	13.8985368289758	14.103130511706	14.0888319498335	13.6903704212466	13.8893951719242	13.950804767085	13.9673583889808	13.9246595077368	13.8621263129889	13.6728513223638	13.9794487975263	13.957062801948	13.9151809466228	13.9576521274387	14.0163323502026	13.6781142573785	13.6164013753488	13.8192346183107	13.6867525746914	13.8098621388388	13.8290217436794	14.0994494547733	13.9903868022405	14.0127736119322	13.7188948923285	13.8806697717141	13.6943854410654
CHRNA2_32401	2.80813673293572	2.55470677577188	2.31910190667495	2.71893150338025	2.7334681749456	3.36646495474084	2.66579294382465	1.85181762614448	2.31380769379651	3.04128610698529	1.60542163591783	2.34843037006154	3.19975630652365	2.44179429470331	2.44003245011003	2.77036574642824	3.01801643424102	2.39449236383907	2.97449349075922	2.77261006334929	2.39180689312824	2.48946997702883	2.5682473850139	2.778019123036	1.79494720304419	1.56529874579394	2.41378410827688	2.32680636142053	2.01205930148222	3.12434653710574	2.25088921881187	2.87996930430473	2.56276736575982	2.45772185941965	2.81143998696221	3.29322006234663
MCM4_9208	5.31558568785792	5.65549112151767	5.29893134870444	5.45010447062429	5.17448532354218	5.52056284055225	5.3061834641553	5.49417052441819	5.45604740518457	5.59095889889137	5.07405780673614	5.37407416670793	5.66428564726793	5.10914189097168	5.83464798365248	5.23268037280472	5.40551423683051	5.0167704986745	5.46435412283241	5.30655072021511	5.37007197255884	5.25482668861564	5.3686718310404	5.1992995585811	5.38389288408295	5.46292038893631	5.38589602028194	5.47937419877977	5.40799395989742	5.34218385666477	5.36121111338628	5.65517920067796	5.43882007692047	5.5612867340578	5.44344696453349	5.4704632343394
ATP6V1F_8114	11.2334525395467	11.2838670916292	11.4663051069432	11.2651721981792	11.3092955768815	11.2418938243326	11.2992071304231	11.2060068376495	11.4012511385587	11.2909640143849	11.3040729313743	11.3555312450354	11.2168725080883	11.1743242876761	11.3393029701519	11.286165693042	11.1958631451213	11.0567626182921	11.1591548558677	11.1803042206302	11.266912200794	11.1858843324512	11.1764569192655	11.2761156070806	11.4649090605198	11.5081167462349	11.1206079827844	11.4762435514654	11.2915928865812	11.249280922176	11.3444336778231	11.2956146189632	11.3593767237584	11.3999330776148	11.2907429867631	11.411420293688
IGFBP7_32929	13.8637236894425	13.7051210249684	13.9515366635503	13.7794540476576	13.816503036357	13.9501304722209	13.7786001417791	13.7614751130091	13.7630853175428	13.8374608667704	13.7525322942643	13.7456845005926	13.745903565888	14.0088460357109	13.7889346255249	13.761376593515	13.8058390385476	13.4923606712392	13.9157891969463	13.8628020234021	14.0401745500649	13.8142161160793	13.5826667384485	13.8368153644123	14.0126745739403	13.7250838674966	13.9036204332417	13.6724931762998	14.0170240790544	13.8851248887957	13.8024413771937	13.8315628202033	14.0124451346951	13.9392198139204	13.8842280646384	13.6424651101384
SCN3B_33222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235514855931567	0	0	0.266483498474733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2_7961	6.34075081776799	6.40144663724168	6.36887191943948	6.36674555972109	6.57658992977299	6.1193748512767	6.42878423258076	6.43521416421218	6.54146702311008	6.35220484660513	6.75821588413184	6.49393361530997	6.28912382378294	6.29447038069578	6.64891430100916	6.48526377092432	6.12041082782534	6.20619099942018	6.2012645328924	6.35937189709149	6.41370960176369	6.35810537732397	6.37146615935374	6.17953116120674	6.55832194573102	6.67113015609981	6.48267397640583	6.50928606808806	6.12434979328234	6.23469426284694	6.58867395124333	6.27307075902373	6.37167485709837	6.32500746754641	6.22386945358312	6.37391628492064
YWHAZ_10194	11.568392572231	11.661608439315	11.6257190405058	11.668436812416	11.2454935072288	11.6671487450862	11.1244269682402	11.6929532213089	11.2103458612922	11.7420054498991	11.3309214831147	11.7129623859599	11.5847337813641	11.6397621911253	11.7022665491661	11.5924198441257	11.0571479702192	11.085613086168	11.6025123755864	11.1756172177265	11.7240343423582	11.6162871369491	11.6568669570922	11.5804372854342	11.4939254309014	11.3557372949864	11.667870057885	11.4056761201821	11.0029575285667	11.0779280001115	11.5711111915554	11.577931405913	11.4530300647944	10.9903942329667	11.4756443696921	11.431720329636
PLAU_33051	11.4289577945614	11.6119852970386	11.5488780506461	11.6767040170291	11.5069090427432	11.6924534015711	11.5385623561176	11.5157202499844	11.385915676814	11.6211691794614	11.091600359576	11.2267691987896	11.8840857936674	11.6568181234335	11.3390290857751	11.4991083911139	11.7384992905692	11.8816943172099	12.0802919041006	11.7716355674887	11.7146433655598	11.660956546555	11.72173833696	11.7205304279876	11.6141796467253	11.6669448638727	11.7158688960132	11.5126841183179	11.8215946751782	11.6587979358306	11.6342818670891	11.6034861014348	11.6865758831593	11.801753426197	11.6253267767787	11.7736335217885
TERF2IP_9998	7.82999650590913	7.86865542828814	8.03117305643368	7.84510019947005	7.81120985122246	7.87346417309663	7.83653414309283	7.63267313184765	7.97743075873533	7.82720200666373	7.97297241656931	7.76760866708261	7.88333713682037	7.81695642632875	7.88924292846009	7.93257038655305	7.77269056651856	7.65834484656818	7.74211752293487	7.81693880558329	7.78917748345451	7.67850007125478	7.72702083378594	7.88591467200537	7.88805918104157	8.05266231960825	7.71434485217617	8.18099989612074	7.87396893869715	7.70040838279335	7.78345277791789	7.8002441771949	7.6762036727674	7.92103385117173	7.77127184851112	7.82331413796397
