ID	S4P4_F03	S4P4_E03	S4P4_G03	S4P4_D03	S4P4_C04	S4P4_A04	S4P4_H03	S4P4_B04	S4P4_E04	S4P4_G04	S4P4_F04	S4P4_D04	S4P4_B05	S4P4_A05	S4P4_H04	S4P4_C05	S4P4_E05	S4P4_G05	S4P4_D05	S4P4_F05	S4P4_C06	S4P4_A06	S4P4_H05	S4P4_B06	S4P4_D06	S4P4_G06	S4P4_E06	S4P4_F06	S4P4_B07	S4P4_H06	S4P4_A07	S4P4_C07	S4P4_E07	S4P4_F07	S4P4_D07	S4P4_G07
JUN_8938	5.15420040300265	4.9474294985907	5.15709861550643	5.09871891001323	4.56748596982438	4.74280279602535	5.13628569806121	4.96538471714975	4.87011053005581	4.85429139035971	4.90577399013193	4.91432493599597	4.4122483970942	4.92478375015089	4.89909992651507	4.21084603480615	4.31559073633035	4.03129953645002	4.87251488678526	4.67623458121253	4.08178840361394	4.48036579151401	4.25150335890651	4.28373687150899	4.36124310721787	4.37335054988426	4.40004869120455	4.60730688544584	4.3860832775253	4.25995027712157	4.3098156850624	4.84940104426631	4.22230518248453	4.00064698422043	4.2884418242485	4.40867853011638
ELAVL4_32683	0	0	0	0	0	0	0	0	0	0	0	0	0.264130655651064	0.247439107254151	0	0.285666572274869	0	0	0	0	0	0.281394717074216	0	0	0	0.277514146451005	0	0.323473639372448	0	0	0	0	0	0.299689701916556	0	0
POLR2K_9525	5.42277166274644	5.38167012737391	5.16474097339457	5.24986621908203	5.29648648472615	5.16275612452169	5.02193607714986	5.08777353951272	5.27731782626211	5.31213475980254	5.28009421684358	5.21254219299142	5.2991796831717	5.56682482118146	4.9560583090442	5.04308668635724	5.27890199731581	5.11133751324928	5.21358234625998	4.83867650322076	5.20118561533981	5.11260029908993	4.90903546871929	5.15669070317811	5.10648619679783	4.94984967095072	5.23146306862286	5.21695671352795	4.98105615465242	5.17255364539027	5.08345348927883	4.86200627215397	5.10400846695314	5.14572094052174	5.20589161360011	5.06469087130979
LSR_9162	7.67155444050498	7.69270964111593	7.64788969353572	7.59861140989283	7.65637010409929	7.62921646937187	7.51231846823169	7.63024488518959	7.65832056536696	7.57880056240532	7.69749910068093	7.59153199222327	7.60941575289314	7.59497246141483	7.63853898240397	7.71807035550471	8.05046361909174	7.65671071808047	7.9183749961524	7.76258263282206	7.80303551618842	7.62667378581416	7.52142306266706	7.65947089773538	7.78190001635253	7.45409314290773	7.70620362247657	7.74069039066992	7.66218794180065	7.62961580633358	7.73417184529105	7.7551204851641	7.74769188425067	7.69952499184236	7.80257345841069	7.67411037172769
COIL_32558	4.1578104284469	3.56513856211541	3.94515696797608	3.73880742637245	3.43506592510156	3.63650764884547	3.46598594901525	2.82479818014037	3.26606396895715	3.9131176552052	3.83995716633484	3.62030010772668	2.59043543875714	3.23563707558254	2.843916424634	2.54037784437889	3.6616673188985	2.91642391772956	2.6011058027071	2.70551527512696	2.50014335678779	2.72237879645276	2.90413628593382	2.72367536600003	2.8797953422727	3.14532993316586	2.86749318922377	2.96091484563644	3.10338461468505	3.08984870210525	3.24566341729343	2.87274119871593	2.94081230832491	2.48995207546022	2.87515904516363	2.95354520043493
TRIM59_10085	7.0584378936227	7.00677170611438	6.93192505316908	7.15815536128333	6.56869415813804	6.90246271527372	6.99961798769788	6.80982942844753	6.90727351642087	7.02270095290841	6.95866917661904	7.26567587565864	6.51111329129199	6.57719492221784	6.85383485008714	6.6529577934308	6.42803385724814	6.51519620646026	6.20230768620185	6.47240966056439	6.4023873780314	6.0405889073005	6.64962015775584	6.4178229267747	6.37057671112147	6.74502726927	6.17204734511194	6.53900953418217	6.59159285887231	6.67863429335483	6.76034052089607	6.23604810765541	6.66686156540634	6.39035457903103	6.62058047397421	6.36790432105749
CLK1_32739	7.63896420534231	7.20142433371227	7.46035292897327	6.90834788804715	6.98724075735077	7.08222140886234	6.92402330689858	6.80269822126492	7.12004391559068	7.18711070527919	7.40701018592937	7.37582262695794	6.53318883985464	7.11586733474987	7.40571599495417	7.28773174556796	7.10857146631675	7.15828109441198	7.0549194385954	6.0221359525727	6.47971211417647	6.6937067808725	6.48452224076239	6.54194695877757	6.69312490450768	6.82277230859075	6.8903206443003	6.35191246888569	6.50946877473495	6.37915835975581	6.63676923874359	6.24569979979493	7.04185698088217	6.99198848445335	7.02329750497594	6.88018145965003
COPS7A_8361	8.64931646479387	8.48976932544427	8.57428443686629	8.60599109715965	8.38771155882372	8.29642991755896	8.42363277781973	8.36859391454882	8.42692115202433	8.43758884591094	8.68667484707176	8.64012068395833	8.08549215598182	8.0303387957527	8.2784410752108	8.16370103128033	8.10102584004463	8.03436015915392	8.02513404812054	8.05478954452794	8.12652108835611	8.00845550355151	8.07312605949151	8.01715478421382	8.14455760735828	8.3229076730486	7.98715614829765	8.13825433863831	8.22808281018156	8.15730137191272	8.26540606891946	8.16043094984499	8.18153514579773	8.18937167965753	8.22092065648077	8.34542212485655
IQGAP2_32488	0.295953042696976	0	0	0.26207163540951	0.253948485395708	0.423726396288237	0	0	0	0	0.302972658159113	0	0.850918390321184	0.247439107254151	0.599291167485288	0.524010178931031	0	0.495037875072779	0.276373340842945	0.251501092207449	0.575558590508914	0	0.884371471181333	0	0	0.277514146451005	0	0.323473639372448	0	0	0	0.590687699831417	0	0	0.555222898018672	0.507572866511732
SPAG7_9922	7.42243567322092	7.2650341378473	7.20267293642357	7.27780235280398	7.12092002249546	7.13923414958802	6.92003779433562	7.21986508141228	7.19780089615663	7.22298532815877	7.09561097266104	7.00826397916228	7.2974636133181	7.45584078776085	7.16293446815314	7.14548267531411	7.47774364284026	7.30741082488223	7.24362556566175	7.22629296793063	7.22917762962566	7.11724133907833	7.01933439275756	7.00533276022534	7.10713976247314	6.92703705304612	7.2319180523691	7.22440537363003	6.9246102311313	7.12292213969652	6.81969330363905	7.15141315506724	7.12659197272988	7.09303562639985	7.19719060068688	7.15660457812579
