ID	S4P3_D10	S4P3_E10	S4P3_C10	S4P3_B10	S4P3_G10	S4P3_F10	S4P3_A11	S4P3_H10	S4P3_C11	S4P3_D11	S4P3_E11	S4P3_B11	S4P3_F11	S4P3_G11	S4P3_A12	S4P3_H11	S4P3_B12	S4P3_D12	S4P3_C12	S4P3_E12	S4P3_H12	S4P3_G12	S4P3_F12	S4P4_D01	S4P4_G01	S4P4_E01	S4P4_H01	S4P4_F01	S4P4_D02	S4P4_E02	S4P4_G02	S4P4_F02	S4P4_A03	S4P4_C03	S4P4_H02	S4P4_B03
PLEKHM1_9500	3.73104327185492	3.81648504591456	3.55731817088879	3.63756385550252	4.12799694129852	3.67682681849243	4.14738553255987	4.03926220209144	3.10739028028028	3.25425420240274	3.84074300003402	4.06934402753661	4.11613795179095	3.62080771967423	3.82618791660771	3.81428060502616	3.73602211960059	3.32912611602799	3.50947294065891	3.92918858059075	3.96795717906448	3.79817449224791	3.58156900865259	4.11075610270218	4.36832715859292	3.8892067682385	4.41695971889443	3.99882046720692	3.95873312744185	4.2697105611127	4.31836207054909	4.53074787822713	3.94588438406979	4.27092447056977	4.03402331136327	4.14090856551677
ABCG8_7948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295499182888091	0	0	0.881165049447825	0	0	0	0.431838186898658	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDH8_32697	0.704586512814902	0	0.963838554747233	0.666260161034236	1.58990415816966	1.56794760071018	1.27683080369368	1.6412728801518	0.50917345039215	1.69947589608081	1.11032129926914	1.18909361149695	1.14434970157259	1.3259149577573	0.932997142732343	1.00373334466075	0.626423330282817	1.03726105332039	0	0.828940424960204	0.896604706901116	1.78352311512201	0.834873387663347	0	0.564971339687612	1.72372308631728	0	0.584543221761222	0.447547969746432	1.11595643894216	0.985649621139083	1.08711228922474	1.41610303498495	0.687218748843991	1.37977199180028	1.55523986675501
BHMT_8143	5.54385528153167	5.91720715249393	5.55276061614852	5.74233957461602	6.56498288561367	5.73864271416934	6.15869099308157	6.44774840517934	5.51925453009669	6.12481575987661	5.86709072491456	6.20043152585395	5.8851425175255	6.31033556874326	5.45068991987035	6.20702819979693	5.47568956329954	5.83779934448094	5.56769980212952	5.5406361343976	6.0674256093129	5.29956099964008	5.00390739236833	6.48571035472965	6.05901045205694	6.52299146461679	5.81423454483329	6.43338457699084	6.0387488365394	6.18960386023397	6.14814653147109	6.0410069813163	6.06253862240237	6.32408223045575	6.31308887276738	5.92553577193645
ALDOA_8030	2.43502649411492	0.771891525710851	1.8215661590872	1.61085992375493	0.851293224875238	2.20231791659355	1.47447571686689	2.11453373806169	2.13286518618104	2.20054427570415	2.33807644579196	1.83195382198405	1.77438833857234	1.70503896781029	2.34811118230843	2.00559640035886	1.9634407546745	1.42423641457476	1.988436992436	1.35205817443876	0.36426592331129	1.45667797515855	0.834873387663347	2.87377960475956	1.95462392578641	2.33056818540439	2.64059440636421	2.69937515659812	1.82621018365361	2.17061715922248	1.20598028606837	2.35701901784211	2.16638384738617	2.50538769353808	2.07194962196553	1.84201381366829
MFAP2_33232	4.71078444143999	4.64704041287823	4.63007435037472	4.54252091580828	4.65096682562659	4.84975110510445	4.38700787993747	4.83553614142677	4.32521047654654	4.06477996200813	3.89794192537391	4.82317269744904	5.35562720099527	4.36386753879276	4.49789387549858	4.29247779532015	4.92417528164792	4.5558045692796	4.31240644535516	4.88104176300704	4.29790466177638	4.88820749544665	4.64578705671126	4.11075610270218	4.69636235768018	3.50626487361142	4.79499760227595	4.39111915946549	4.1775082530965	4.46028103870258	4.22061519686545	4.45879950103481	4.5232902347346	4.09322029595811	4.16864905586665	4.44905801543998
UNG_32960	6.52338006551605	6.67487734569737	6.70002399611792	6.31563531304116	6.70499761746303	6.54958152140709	6.73208632455506	6.61750503286111	6.4555423366972	6.41816277136968	6.78057388323495	6.50154446383099	7.16826931782311	6.50242029907591	6.38393529380221	6.72163173286245	6.52616139055622	6.5387466409627	6.49252715955393	6.30189519238503	6.53333364179072	6.50271988972431	6.05679176528071	6.36428386157956	6.56915978180461	6.74055423172967	6.6838210994515	6.7996529865145	6.48780463186232	6.46213181425794	6.54131732714912	6.58242745089617	6.75819450484516	6.62392865010796	6.81401404923791	6.35660125412519
PAK1_9416	6.63727016399272	6.87510312360571	6.76450671505501	6.72480385939785	6.80175546682647	6.8284544216126	6.72239762112575	6.6869825732537	6.77835686497126	6.81368299476279	6.97252899041962	6.70405517464962	6.89506396035697	6.77476222191337	6.46783670959148	6.59234207467051	6.48879996999505	6.45123304991362	6.46855115481987	6.92289876217994	6.65756597191504	6.58368054413315	6.88304165377092	6.38003295374053	6.59084549095553	6.54094270212314	6.49201420678788	6.64980601340227	6.57294429743512	6.57242248801689	6.8458724729555	7.00917153169732	6.62040633444015	6.56626374223211	6.82628818076004	6.59226525535222
PPP1R13B_9543	6.95171735857562	7.0276161914124	6.88154954611449	6.93663139101276	6.75418755270557	6.98955182011793	6.73208632455506	6.80496775001379	6.6443882647907	6.99240609919857	6.7024554964353	6.92277920914716	6.92411459996109	6.83312879372201	6.93526296653646	6.72163173286245	6.90999854129806	6.94826133563294	6.76699919514157	6.51284158844589	6.80937138484646	6.51927956892091	6.94858344853008	6.58417240602357	6.64021272337267	6.60206931779857	6.73199062446526	6.49060887977674	6.69950855314127	6.41685588637473	6.61530257744084	6.67530128559523	6.78424053722862	6.52543742757001	6.46211153960546	6.60668777529413
GAMT_8681	10.127172510708	10.0505177375163	10.0067459561135	10.0765766645327	9.9241736952309	9.96830902104395	10.0162030133589	9.98896449884805	10.0663673071701	10.074355434701	10.0721242290345	10.2608064433161	10.0459377134192	9.99176250193664	10.102447918609	9.9477630800936	10.1645714477981	10.234401126033	10.0632989848031	9.82006758698422	10.0380784731567	10.0989622332251	9.51504947902853	9.77084916851777	9.80342857724581	10.0226078950391	9.86481421400035	9.78827686467558	9.88005581273475	9.8129770150326	9.9088038046579	9.98233200386707	9.66256264213471	9.92932488423605	9.88377116190608	9.75370613606024
PCK2_9440	4.14457294554793	4.32931666390711	4.01862369260888	4.04913206734882	4.42659980822775	4.36794854106506	4.45878565196426	4.28311714355253	4.32521047654654	4.24660843666947	4.52480385756348	3.91466395585729	4.69011123326907	4.88905717308928	4.43863685603898	4.21650831884521	4.15831486314045	4.44864244010023	4.3277190804931	3.80112456476502	4.43831330973802	4.284988959657	3.64319515618841	4.81392686121873	4.6140353233812	4.55170347729781	4.9387570635841	4.8061416741531	4.6230375740253	5.12326094906838	5.05947457009893	4.38307379742695	4.75976377368143	4.64387187073952	5.15417341899007	4.59122110093602
ICAM1_8859	6.73857632087551	6.31348678837246	6.54711998089981	6.59504819970202	6.4634710489409	6.50865905180625	6.28911637684598	6.38118284157255	6.33213678533657	5.99862937230553	5.88134309860358	6.12305371954196	6.27163626601442	5.66471898377035	6.74659325439558	6.12629110310536	6.60348920916976	6.49228450755275	6.51276557605286	5.86278224683666	6.46461687036466	6.56253137487503	6.32469810911271	6.52873374549958	6.42368551690352	6.26669152702273	6.324091334815	6.25614609425372	6.43419974750054	6.30769982179872	6.48979817633548	6.0161562920663	6.5775123283777	6.40248628038264	6.13377245099619	6.34517818921905
SGK2_32380	7.55952164718427	8.02795484154391	7.56616346313692	7.8795100862542	7.8237170844286	7.95178420846027	7.86833177091605	7.93684312112217	7.57126609507294	7.93466225778048	7.89131707659765	7.6052644190272	8.07209472052558	7.78304148639184	7.53762745206912	8.20464840436309	7.73263155792516	7.3878297647241	7.93798961431368	7.29984920401139	8.01801439144021	7.83394791156663	7.97454608505687	7.64340522613985	7.70433296968885	7.59462467793846	7.82849576827201	7.83163733238168	7.47385309081321	7.7059419392016	7.77434029978139	7.01754306340471	7.5243064663358	7.37284441388987	7.4722474584975	7.43925327573351
TECR_32583	0.394885891276856	0.436965088468514	0.963838554747233	0.666260161034236	0.487546753349267	0.408680404665989	0.439107433521271	1.32990649501302	0.50917345039215	1.48453187090077	0	1.83195382198405	0.682782140206209	2.00498185945876	1.24114298938787	1.00373334466075	0.626423330282817	0.881165049447825	0.885980073427038	1.19784467509747	0.654850676944919	1.03340797541263	0.606410952918594	1.48981144462469	0.969908409385176	0.656010426181534	0.661535313795868	0.584543221761222	1.06430444858265	1.11595643894216	1.71683485598254	1.52313010443793	0.684169771647595	1.27723788243273	0	0.719205595619875
CGRRF1_8300	8.34276026462855	8.25374362936592	8.32071872417407	8.32197051738946	8.21195225590209	8.28282230181861	8.14527938319798	8.20305223757122	8.10684676961369	8.29621616583827	8.27275715426727	8.22937359835181	8.26609689815685	8.17779248312585	8.25976233160325	8.04360233100656	8.37955023029744	8.54586972030777	8.23761610586896	8.16343798198198	8.25076456390321	8.21727213020378	8.19504758118204	7.96910516478294	8.09926431617394	8.09137954633642	7.91101558903757	8.10203418307059	8.07957479536418	7.95702038858332	7.9370558856786	7.98019400300585	7.98969381928924	8.03203864388791	8.02018417639274	7.9085933104268
TNFSF10_32297	0.959411313558629	0.771891525710851	1.18099026141135	1.12029066870472	1.14154795611757	0.987257674834563	1.64827753476706	1.32990649501302	1.18250396268892	0.535620921699717	0.659439270773815	1.43658437656909	2.21144653464177	0.810203805054052	0.932997142732343	1.58993814979756	1.74681867802474	1.03726105332039	1.04266151289004	0.33204153324452	0.654850676944919	1.26051043349472	1.62754519798348	0.929231480653935	1.28574212861475	0	1.45696124804767	1.58412382091416	1.29565363779448	0.830464378168959	0.985649621139083	1.99950335948716	0.933697712241759	1.01218294976819	2.07194962196553	0.403963147133914
RBP1_9669	10.7266589829183	11.0670671425139	11.199601883184	10.7960418303562	11.1427273851969	11.0665100476576	10.9826554103056	11.0585485429808	10.8560345912476	11.0030745634005	10.9087813376554	10.4544331326653	10.6274125093326	11.3661111917156	10.1568912912514	10.8486241880952	10.756917954841	10.2621113020369	10.8065153162512	10.8918034884101	11.2131438891094	11.1723753520717	11.041555228523	10.549261743013	10.7870498404757	10.8981158042122	10.8837195648914	10.84462451569	10.6266232720413	11.2915163846791	10.4099679080406	10.0679487482395	11.0895683024035	11.0500840088291	10.6091175735235	10.9486157372028
PPOX_9542	7.64142505953202	8.02990884783039	7.84988912771367	7.91678158858053	7.90582542511775	8.00975757306798	7.72042566252071	8.16551132816278	7.70603434934783	7.93995437876144	7.71950956333611	7.86230943544575	7.71290636655868	7.84581352827887	7.63652767606547	7.6110451570509	7.75459234419442	7.90868864366599	7.95040833684424	7.58682726651129	8.00032189382598	8.09371839074619	7.67964449818175	7.74419927695742	7.77865082593288	7.91677881863395	7.61390943040076	7.85672821815799	7.57913346547007	7.80214513896236	7.72171821535518	7.40660944096505	7.93171796509891	7.97136496973654	7.67134777475535	7.82574245538479
ACD_7963	6.53811780161196	6.83543306787604	6.62790943902789	6.6965074766972	6.71054672459249	6.72059678016356	6.45040237917377	6.92125525399456	6.23819993574563	6.53467551746105	6.61986381810111	6.61265449718372	7.00791338264877	6.89836658970363	6.51521421601704	6.6147110797199	6.38311992214867	6.45123304991362	6.4122047937119	6.52099556020182	6.2418189845308	6.30041889102265	6.57052454662087	6.24894635152557	5.94014614747865	5.87213718242133	6.22658867940145	6.06484977505805	6.15376588587459	6.3218046039232	6.32318721686975	6.08149659275818	6.09811523503163	6.34227917437224	6.31889167901747	6.28068150865107
SLC6A18_32647	7.96600043728179	7.77187511229966	8.00739837740284	8.1038513530556	8.1190367920892	7.82209332448181	7.95362090065159	8.12070366751745	8.31289514415948	8.09743435061069	8.11886840836343	8.54828592126034	8.08179567205681	7.93290742936645	8.24794481532548	8.08957864854557	8.1044557609047	8.10563116988961	7.99425089507739	7.66984344871858	8.07904977449089	8.08632814097498	6.82439114484869	8.4439229990558	8.52617712820104	8.60161850605529	8.58202765857116	8.34747381281453	8.56569457988901	8.22997272295097	8.61628577538487	8.54526931598133	8.06599179220937	8.36937333762028	8.48505139873929	8.08634507740964
LY86_9165	5.777089001095	5.55421915277483	6.02937930608151	5.66099702498418	5.13647809248579	5.85748252463526	5.06068040306158	5.98575518176218	5.72949434055028	6.0187756435729	5.16060226268064	6.18359154332733	5.55451699020724	5.43274937729221	5.77800788207901	5.09470111868148	5.87370757980026	5.41522370248958	5.67934391595534	5.28697839177707	5.64719159774455	5.77448370526504	5.79016125171676	5.21608437559171	4.74874773067841	4.55170347729781	5.68967819562855	5.35632450293357	5.35787756124895	5.4007993938603	5.10127027673634	5.41298124323514	4.86864397242221	5.32377679110896	5.11468853616126	4.56191475599378
