ID	S2P1_D10	S2P1_B10	S2P1_C10	S2P1_E10	S2P1_A11	S2P1_G10	S2P1_F10	S2P1_H10	S2P1_C11	S2P1_B11	S2P1_E11	S2P1_D11	S2P1_H11	S2P1_G11	S2P1_A12	S2P1_F11	S2P1_D12	S2P1_C12	S2P1_E12	S2P1_B12	S2P1_H12	S2P1_G12	S2P1_F12	S2P2_D01	S2P2_F01	S2P2_E01	S2P2_G01	S2P2_H01	S2P2_D02	S2P2_G02	S2P2_E02	S2P2_F02	S2P2_H02	S2P2_A03	S2P2_B03	S2P2_C03
ECHDC2_8517	4.60544618715797	4.83003134788511	5.02698527439654	4.87870927156136	4.98639385638569	5.23468701625218	5.29423129987944	4.74318771518594	5.43410980139896	5.59878384683282	5.62361024891537	5.45133636715485	5.60049000187548	5.14724866811833	5.69085107945882	5.43672843401093	5.24389848755494	5.86589528074463	5.48569129643208	5.72428652148655	5.39606752597478	5.1419053094951	5.53421355306849	5.05352291348377	5.05343369998921	4.84888900671593	5.21151555695714	4.5476850862472	4.88883405533707	5.12014133789503	4.91097372784382	4.78517804316687	4.88040044908918	4.21002114989255	4.64975526740343	4.11448986754616
NR0B1_32885	0	0	0	0	0.644590846124328	0	0	0	0	0	0	0	0	0	0.886726085343452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599241672989011	0	0
RT1-DB1_9761	6.53589993786407	6.21070225393907	6.11098453750756	7.14049510822462	6.14666922105417	7.56562335255043	7.18162831347792	7.126618899671	7.117368698683	6.43438876042912	6.35663190489195	7.21458136874795	6.47819433115205	6.59736843522458	6.52992022982336	6.8645036817585	6.08622618368283	6.4930852720917	6.87013605075057	5.4835892413617	6.86609454162972	5.79799786346935	6.11853341596571	6.03163659995028	6.05036462495489	6.89755156714465	5.84231679032622	6.7207772874715	6.06215024456532	5.73939268587386	6.04647053285621	6.17020009237127	6.24858653476968	5.62651174390237	5.74034031267311	6.07914899688384
SLC22A1_33065	7.55263452389887	8.07538969936749	8.28601461902891	8.03227878240847	8.56379965845839	8.68003354912586	8.50067206262123	7.6473301727649	8.67689662056122	8.73105591584951	8.73530073881238	8.44967772999886	8.30778275613462	8.58615038444167	8.3406364244615	8.12029774454048	7.13923500006601	8.75032066770389	7.55860719039776	8.30497577733409	7.37966870703062	7.89852057961058	7.67641494656501	7.32049582977734	7.36294050801228	7.35750806300964	7.7809634762318	6.90226819276831	7.5708654937317	7.82466997890389	7.35320696177778	7.24973470704218	7.17317496531278	7.49750940601381	7.17661600555404	7.38250708385782
RGD1565355_33245	3.21856299474472	3.14421346975207	2.56300873626987	3.58898679087074	3.85988020164995	3.55542519368626	4.11082967299569	5.57102624259259	5.26834991918962	5.41950430358473	5.24378057338734	5.87766577678433	6.28785917865387	4.86170355825725	6.64453609046224	6.18627793419673	7.71817855021505	5.96463316142999	6.62038998676735	6.06451451239349	7.52628441726566	6.80150259219195	7.46288914844644	7.05448461748782	7.72104704071919	7.56048757238953	6.77028432695238	7.30834113941725	7.20276137234773	7.49524032099737	7.65531139687885	7.38637619759917	7.53469379589128	6.69305608087086	7.1906858844384	6.82074978743656
UNG_32960	5.11395114964488	5.2368847524868	4.79154308259108	4.87870927156136	3.99343348186336	4.21176155161488	4.67500092300402	5.06846194165405	4.2618528552275	4.05666210833018	4.10345936843916	4.64478052526527	4.18722745176732	4.38125662073319	4.87278849900342	4.64040425498793	5.21464254343274	3.08536065729997	5.03702489674362	3.65083842317839	5.32879629589723	4.97707888737452	5.60079754241638	5.14631312115705	5.59208467469726	5.79003351844226	4.17338342017041	5.76597325491613	5.71098690226402	5.3392035894074	5.60145020865078	5.70910165442715	5.44545799626118	4.82225920796784	5.45963820866103	5.61712749935231
OXSR1_9404	5.31373308655968	5.0785131961383	5.05388718491179	4.87870927156136	3.96769361358621	4.33078956263228	4.82719318217588	5.01096760671367	4.4478393922208	4.46168062318416	4.36735531642213	4.68973300294718	4.66298072230028	4.38125662073319	5.32383377722245	5.23823298883548	5.93299238450878	4.78628128842687	5.58375624429406	4.95397207134017	5.96324085658884	5.56616797261562	6.01769766077038	5.52371928703665	5.78420201875034	5.85647753071373	5.23681531105904	5.86651793357395	5.94671135856732	5.4519368093954	5.90358192336357	6.02550356715923	5.8451592011914	5.58067994376006	5.56420980800389	5.63003565010196
TOPORS_33193	6.29548170663394	5.95294249931019	5.98385689739605	5.89508663781143	5.0243448823516	4.91088788819109	5.70482008448819	6.07513101176468	5.3536091953084	5.0946375833486	5.14984086633108	5.43382656309094	5.11876111179605	5.3328831516298	5.70657254691254	5.72185818095076	6.27520275403469	5.13264249884886	6.09688881522009	4.95397207134017	6.11356432467866	5.84659222840505	6.26650662882489	6.23968703229534	6.18418480170768	6.20138114937791	5.40248301334281	6.39015496818257	6.10892977565551	5.89106459068972	6.21284621053609	6.04064399883508	6.31501989072104	5.89968047495411	6.00737403079239	5.81096018227233
IL4R_8896	7.06541586619089	6.92864333017975	6.34680143030785	6.26485995941686	6.11770434614631	5.96240273919816	6.59778276788735	7.04542691685312	6.13977406029573	6.15753042916633	6.26500690274195	6.52019975848953	6.52209799049542	6.36159495779825	6.9717320960965	6.89181583506644	7.52911366665254	6.12799998861602	7.07286478433974	6.50756547242985	7.54968635092669	7.38763144636795	7.43448353716759	7.91040606572045	7.24944680296447	7.32658928206216	7.08782977399253	7.67007995787103	7.26834044135108	7.06525190535952	7.51306431342629	7.22785423230686	6.7013738454501	7.41720798323367	7.01732407515013	7.1150929134543
EMILIN1_33056	3.89216305757539	4.26129905993232	3.94685504291252	3.84538601600927	3.1965740081387	2.95843597801135	3.12948596266868	3.88410218739602	2.65060549469067	2.67658696580839	2.98193690704383	3.15661829548473	2.59702378047783	3.14746609660605	3.32994711173268	3.60110242643807	3.22769749916345	1.8407408206584	3.69781229752282	2.6580164781638	3.79503117263047	3.84215719158581	3.28621291638458	4.03939267716769	3.79524409279975	3.56880234987949	2.78650638073941	3.53664400521019	3.67178642695494	2.17296698713813	3.64865839085068	3.31237262751437	2.95320830302064	2.94372649106936	2.25724412451848	3.01041017864601
CNN1_32759	0	0	0	0.416136146694845	0.358000010315066	0	0.600982104016332	0	0	0	0	0	0.545103186103076	0	0.359511976188536	0.354311153134448	0.465034931215324	0	0	0	0.630521226648201	0	0	1.2164095194572	0	1.20411569463949	0	0.477955642633074	0	0	0.299635667837341	0.297574771926264	0	1.61338090016323	0	0.52719141394054
SLC7A1_9883	0.480934343438743	0.776373849406889	0	0.416136146694845	0	0	0	0	0	0.344454483076636	0	0	0	0	0	0.354311153134448	0	0	0	0	0.865670478643908	0	0.392532550197143	0.52729623753291	0	0	0	0	0.315767993490869	0	0	0	0	0	0	0
ESM1_32480	0.841002540457828	0.776373849406889	0.690348707109626	1.00219645882184	0.358000010315066	0.845430638450797	0.600982104016332	1.06519619501236	0.371051244286421	0	0	1.03959419041163	0	0.458730908833189	0.647069147197643	0	2.01535704593444	0.331354287601952	0.395246007156126	0	2.18992174523631	0	1.80800020810051	1.2164095194572	0.515442249240608	0.520702182475438	0	2.78482428541768	2.36721979190452	1.77094749629711	1.10713058197627	1.71842321886173	0.882124011207377	0.599241672989011	1.27368903089014	2.17918219615121
AKT2_32310	4.40449510057897	5.04775283010838	4.56717545885254	4.72304137701327	4.39211153316917	4.77053482831693	4.78725272398435	4.63316998438687	4.4670988417501	5.01264968772205	4.87764868460953	4.44950027202075	4.880966177375	4.78542477003961	4.72624618129004	4.74893772469181	4.59701843813037	4.71715564112892	4.9805371567971	4.78441153879366	4.86929879231045	4.32623220893843	4.68386274819862	4.65920594157781	4.25067018339727	4.73576842430332	4.06455401461745	4.31127753643809	4.4621811960492	4.51943908057755	4.67063391478742	4.3715995088212	4.73953205778547	4.12742215245737	4.72902098249333	4.52707328036404
SLC6A3_33188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8B_8181	8.88571823004317	8.94394955951697	8.96199718491728	8.77476813716141	8.51020035625215	8.58893227352981	8.73741959094903	8.89481527998873	8.73763319108942	8.63450641909077	8.5258428618565	8.51566342258017	8.32647405759175	8.48577850795147	8.51146600346008	8.27091573592421	8.4392873767695	8.72501529052234	8.69632172867247	8.22588015774432	8.31329055023007	8.0549060887513	8.41055677722207	8.40317237551338	8.30862180963311	8.26819068625721	8.01831174768438	8.25453598463886	8.02568870620445	8.210605880438	8.03763062793145	8.12581642297532	7.9145629461322	8.1402999079175	8.13328226503688	8.11218190096557
HSD17B2_32476	5.04646604710008	5.80444515665266	4.9856677896858	5.01920435994157	4.52158717388789	5.65539940832756	5.44730710453853	5.43919862334767	5.38432570094457	5.13947733390893	4.95375257839525	5.46863620279328	5.41111385978733	5.30583303332764	6.51660432985724	6.30277623045406	6.95248850130256	5.48841748483074	6.11668163176423	5.11871602699861	6.38357804688913	6.68161843451991	6.53811199703009	7.14271728330413	6.65289204802234	6.60078101776548	6.56586532294366	7.00289426425649	7.77803725477806	7.06525190535952	7.5057533319989	7.38043807581143	6.38945112787916	6.8168256462838	7.20923478656334	8.15746319069469
COG7_8349	0.480934343438743	0.439793516715905	0	0	0	0	1.19652636338533	0.523041756354595	0	0.855202295542202	0	0	0	0	0	0.638537366154429	0.465034931215324	0	0.70516755790527	0	0.630521226648201	0	0.392532550197143	0	1.19427416699173	0	0	0	0.315767993490869	0	0.54761475889133	0	0.50745814224339	0	0	0
THAP11_10011	4.00311604526436	3.7521444474268	3.82720730948185	3.81143140194678	4.22834308438868	4.11556770776454	3.92700421825859	4.006824996957	3.79752916503947	4.27333791828415	4.25151918562968	4.07336955253136	4.35845251575242	4.27368627604311	4.09849821427668	3.844184988682	3.63349203720621	3.53430449249652	3.89407543060753	4.08193100865381	3.73690731279202	4.27980047475407	3.78874049933844	4.00015077586469	3.55284507237872	3.71921561364208	3.52207130106373	3.67616129345326	3.75257487213612	3.95202422400387	3.67497024733934	4.30628243982251	4.19245294880826	3.62389511869594	3.44949944376236	4.55441498131896
SYNPO2L_32441	0	0	0	0	0	0	0.600982104016332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAN2_9420	0.480934343438743	0.776373849406889	0.386078933642559	1.00219645882184	0	0	1.19652636338533	1.20848311216905	0.371051244286421	0	0	0	0	0.458730908833189	0.359511976188536	0	0.816150383504461	0	0.70516755790527	0	0	1.18310563228061	0	0.52729623753291	0.515442249240608	1.20411569463949	0.72727375570638	0.836358284665969	0.794122345937925	0.286104785080878	0.54761475889133	0.297574771926264	0.50745814224339	0.599241672989011	0.558362389051429	1.2162144675927
MRPS2_9250	2.18929488592359	2.58249398627386	2.48608395034871	2.8111182351859	2.6670543545748	3.34528445548923	3.12948596266868	2.53774320499605	2.95341089446958	3.34607855300187	3.53805318062191	3.27933862598098	3.64132839956058	3.61234895333493	3.40894577052782	3.6971207029157	2.66104514411369	3.08536065729997	2.73833680986574	3.45922097082805	3.70694298007137	3.30663455725688	3.37585570868487	3.42047760443132	3.55284507237872	3.06851722883981	3.03748504137324	2.5143050679833	3.18177743672328	3.55432349740314	3.06809867904941	3.13563380340559	3.97764800554055	3.36016214388558	3.24895083872702	3.35945647908407
FN1_8655	9.39828892993907	9.57487457271761	9.92911021355571	10.1896742410478	10.26754330322	10.3901862518895	9.9811776869896	9.62645293928294	9.96572992686293	9.86194799287798	10.0826446310333	9.83125931761481	10.0699769057338	10.3815401744315	9.78548439551493	9.58377198185091	8.79229559760081	9.85744914191739	9.49101281276415	9.60490081264868	9.47111550813062	9.41779897835211	9.23062190878265	9.61746602038463	9.60174124155904	9.29907838180332	9.65925658587315	8.96071186644928	9.43811037507881	10.1883558185057	9.6121356908302	9.65089611561794	10.2666773024938	9.70058014369793	9.88671174064667	10.2020144188741
TUBB6_10106	1.75441015124104	0.776373849406889	0.386078933642559	1.22490238718505	0.358000010315066	0	0.827919071851812	1.06519619501236	0.665929122269604	0.344454483076636	0.844953685625286	0.611478995509786	0.298144895560474	0	0.647069147197643	0.875878446577096	0.816150383504461	0.82747902771153	0	0.700350601667663	1.9032778173175	1.18310563228061	2.50853917540506	1.46722866804716	1.19427416699173	1.85116738119261	0.72727375570638	1.12320661467243	0.984550146304478	1.860813394506	0.54761475889133	2.14930757386521	2.32327271483934	1.83778194639632	1.27368903089014	3.73891764829731
