ID	S1P3_F01	S1P3_D01	S1P3_E01	S1P3_D02	S1P3_H01	S1P3_E02	S1P3_H02	S1P3_F02	S1P3_G02	S1P3_A03	S1P3_B03	S1P3_D03	S1P3_C03	S1P3_F03	S1P3_G03	S1P3_A04	S1P3_H03	S1P3_B04	S1P3_D04	S1P3_E04	S1P3_C04	S1P3_A05	S1P3_F04	S1P3_G04	S1P3_C05	S1P3_E05	S1P3_B05	S1P3_G05	S1P3_A06	S1P3_H05	S1P3_F05	S1P3_B06	S1P3_D06	S1P3_C06
NCOA1_9289	5.67910863609114	5.70768539007142	5.77346593097454	6.06983418389236	5.91295616841733	6.22240576947774	6.24401575881656	5.71110430676011	5.4878070627078	5.90749115358828	6.31114297191702	5.53118718048295	6.59595931283594	6.60956293006004	5.8687477046004	6.33615017163823	6.54240323491676	6.1734940180351	6.61490811116268	6.03774706061606	6.60026594770996	5.89114561787898	6.00558342252034	6.35056654762634	6.52874891656942	5.86899836431988	5.84970296956845	6.19204989041874	6.95925996036358	6.62299785696125	5.43361052391957	5.46644344885294	6.27440855289686	6.01444983530702
UFM1_10130	9.51234509935095	8.84800619955548	8.89175635867941	9.42300166357843	9.33312019379186	9.18119337666326	9.11352848773492	8.74691113634698	9.08762806789111	9.03626351222033	9.38786691737566	9.59016953806751	9.63878399764099	9.35088982113625	9.91319502109424	9.32898892033116	9.43208948651813	9.21573731726263	8.70987159403271	9.50303472387615	9.66460736272859	9.57515236409025	9.71427598423367	9.35902223265217	8.04688314345309	9.06786979391631	9.25229964952882	9.34235009363782	8.76935898003501	8.31947016624406	9.53755698289533	9.22976386893312	9.41566212194569	8.68512712451378
OAS1A_9388	4.44543828278272	2.85071015176228	2.58784246428961	4.37528113113426	5.04287724751458	5.82425312605625	5.72046556454369	2.81667956905017	3.1374736333011	4.43191323169055	4.12048468725929	4.34339296384665	3.16637464228159	5.01100068828645	4.50179701413484	4.10000965100544	5.28112231064832	5.11469774017371	6.46640289268544	3.42014439383461	5.16662407313593	5.02370189670968	4.93852434684104	5.20551860174558	4.80379757605793	4.15630828846311	4.10357329930179	4.59378894014316	6.97108770175949	4.77133407330288	5.59153518834179	4.93966206127594	3.99369932232226	5.11560985364683
EXOSC8_8581	8.04608804587816	7.81675728270609	7.99131471615748	7.94218082879082	7.89488543789809	8.13409748438741	8.38253492277984	7.83100394440218	7.84011490005009	7.53153009415866	8.37228475648427	7.80567017661421	8.13863704171987	8.2253760973391	8.3185131954963	8.65055821712652	8.99821862117775	8.23271728946741	8.39370878872465	8.06714932360168	8.60994238284981	8.22878029683811	8.38625961440978	8.58891686386636	7.67557935041396	8.09778683335963	8.55493113886595	8.05451385863513	9.1405761433699	7.14279779287379	8.49131503900809	8.44581876151628	8.18617428880576	8.3184125683666
SUOX_9974	9.08536899860674	9.45765084007266	9.256790621706	9.14200940338174	9.13530458646699	9.27947792457025	9.07851574019382	9.04482579151902	9.3771226208241	9.37647063509769	9.02799273682492	9.17200195769668	9.09035419912301	9.07813983744827	8.70772512996856	8.97313224370111	8.88280845346556	9.16351481067641	9.03707814877967	9.19281160737178	8.72283083450027	9.34045637200801	9.15399224074417	9.03317370991904	9.09059602245661	9.42502355850504	9.26184360830298	9.52951294127256	9.06946345067972	9.10240595504864	8.51012200063021	9.65092536809771	9.19346715297437	9.38775971141984
AGMO_33265	0	0	0	0	0	0	0	0	1.560692663351	0	0.439764200071664	0	0	0	0	0	0.778041493748472	2.28760668778787	0.752578160865853	0	0	0.786453449046583	0	0	1.30079361022387	0.449840574580933	0	0	0	0.349430841235307	0	0	1.2124929284364	0
PAK1IP1_9417	2.15853328500742	1.73555796660535	0.779048279084476	1.57305825321646	3.0030225049977	2.09562227550017	2.86613685787173	1.77321824068329	3.28906642973634	2.16093881768785	2.29871953590701	2.87338018803134	1.37605461317433	2.4809347524777	0.957207864628269	1.94475859658115	3.02644844576113	2.15415249168097	2.47646975347469	1.84312539345813	1.52134850286602	1.96322126853937	1.6954919974256	2.52140434145089	2.83739903973016	2.52520720429076	2.59923606863803	2.44662691508276	3.2008370659275	2.00526950480682	2.82999510223753	1.57496572867804	2.17408870509263	3.54545040638141
UGT2B15_33121	2.98717797349392	3.74707661730087	3.26182892427187	4.62668279340269	4.11873196072985	5.00468094895564	2.86613685787173	3.49533226833833	5.13439355770347	1.69244376900825	4.82992369553941	3.51612492168376	4.54461279874769	3.92261373933481	3.50551436405426	3.73864305535293	5.17093726703696	4.32054894988467	3.52359725010063	4.48219530058273	3.75174393229875	4.019827477032	3.73485078983345	3.48028554155043	3.63417743786269	4.81125568770909	4.18609108633751	4.45428003385935	4.76135487323274	4.21254642272215	4.51998405140838	5.67643287286279	6.48001101886836	4.7256154437865
CDC20_8255	5.94557558257568	5.72896838523816	5.11486375264541	5.56744414264117	5.40330267744658	5.00468094895564	5.27599823163139	5.80769105594168	5.63659157579022	5.25552410011287	5.72878749953029	6.02740119921994	6.27775489796467	5.7412375393035	5.0032021910862	6.17479266383607	5.45575736852382	5.90928323683534	5.37167233819986	4.6772101136526	5.68666846528333	5.56648227180039	6.03050393579115	5.4261077122859	4.83372507357641	5.4531570026531	5.38593362378838	4.67144639580417	4.39060703368452	4.68174220898948	6.85788882593987	4.2587780485702	3.95337232972672	5.23051467835274
HOOK2_8821	9.31066534625581	9.30126525083324	9.56023041766798	9.51156150768538	9.29064758366373	9.65247344996818	9.37734232480403	9.56352758612618	9.38975897304782	9.1658756112671	9.64065691951144	9.28387353965258	9.60074890325088	9.34072930695999	9.37675878712922	9.81924605448345	9.56055346181589	9.44375331857174	8.95584639649505	9.72661272786531	9.41867436987476	9.69480162772853	9.55056036185071	9.8026163140731	8.91099599277767	9.75572010537151	9.6859755001223	9.4408138208059	9.53850838529869	8.71530511363241	9.4797996736986	9.51638061053147	10.0174466731244	9.71754813849906
NET1_9297	8.24041372805293	8.39459943643005	7.75832679164202	7.84016519004788	7.67035115843732	8.80708214377175	7.89036050790259	8.18276270694642	7.99700471953129	8.23995652921947	8.12216566970262	7.62091933133062	9.15638790949679	8.63820268291014	8.30569151359944	8.76838060382804	8.37483537419526	8.15187505005905	8.42278892440375	8.13180224816813	9.15079582403154	7.82517679324005	8.49991884378772	7.88701136894687	9.12504018658755	7.34627503902224	8.0991976844461	7.11887272979355	8.74717511205222	9.2263985477558	7.35550340464982	7.27969566741503	7.51063708745774	7.63301290135042
SELL_32554	2.6315492382666	0.829195392292004	2.40490064582977	1.98660079117772	1.35574023693873	0	2.86613685787173	0.682158856005203	0	1.31500083628576	0.776327416480802	0.396586988835459	0	2.24774292353543	2.25283786802269	2.26292762237673	2.89398585843091	2.52236277431771	2.59021244610228	0	2.24524763706264	1.96322126853937	2.59394285947925	2.13314239948709	2.57927393479193	2.101987447756	2.88925907308332	2.66486521754758	3.35322239931581	1.90326159501085	2.8852770462234	2.98686497742011	2.64835247117455	2.83978218627707
PSMD2_9598	6.27092807060246	6.8573682426494	6.58838181800789	6.71019689145445	6.56311294795103	6.81146541038729	6.85346995815604	6.88606924132517	6.5336857125201	6.77644364833045	6.36203562263668	6.57894798729835	6.4456123749476	6.99600609494991	7.13287704629359	6.46584110475019	6.61784193879293	6.84405091319826	6.92239650776586	6.98312388711614	6.34758547527896	6.65340409921214	7.09224793088845	6.6904020570857	7.04275096729974	6.73798428273471	6.81570040943633	6.86711083348034	6.47727892829639	6.47083824985466	6.75405307476852	6.28285122668036	6.51506751839818	6.78426475271701
CLEC4A1_32387	1.45011782511863	2.03800654444524	3.46257311222058	2.79203134104132	2.69097437971655	2.56344057971976	2.37686487679669	1.492425956496	2.96806133908449	2.38296326441514	1.94525595028998	2.99287360868693	1.37605461317433	3.79852477642815	2.25283786802269	3.39219538389689	3.02644844576113	3.70915256519349	4.16122315916245	1.55625692001186	2.42350170175532	2.7652447025665	3.85132322184343	2.52140434145089	3.76419067628361	2.69784934482291	2.33563342326674	2.32373334888929	3.98671063886639	3.64505967321558	3.0873808086042	1.86356010414156	1.8618579322739	3.2035393899927
