ID	S2P4_F03	S2P4_D03	S2P4_E03	S2P4_G03	S2P4_A04	S2P4_C04	S2P4_H03	S2P4_B04	S2P4_G04	S2P4_F04	S2P4_D04	S2P4_A05	S2P4_C05	S2P4_B05	S2P4_H04	S2P4_F05	S2P4_D05	S2P4_G05	S2P4_H05	S2P4_C06	S2P4_B06	S2P4_D06	S2P4_G06	S2P4_E06	S2P4_F06	S2P4_A07	S2P4_H06	S2P4_B07	S2P4_D07	S2P4_F07	S2P4_C07	S2P4_E07
GRM3_33234	0.604383936742	0.424515935947464	0.663285676558072	0	0	0	0	0	0	0	0	0	0	0.308432086925879	0	0	0	0	0.249491234851609	0	0	0	0	0	0.958593506960238	0.281791928752149	0	0	0.897602231892082	0	0.358143294406786	0
HK1_8805	7.11777077934995	6.64202698108243	7.55065023264153	6.48948901935183	7.00692778260456	6.34954088926941	6.7177272075071	7.14253400078928	6.64596364720111	6.7000471041215	6.68768945828973	6.68964434846172	6.4337163830045	6.90044998099289	7.35849283652255	7.58378927468122	6.63540894421946	7.87723297068417	6.70935282898813	7.15104533057759	7.37235797351312	7.25549664838228	7.73139963990693	6.97183209368328	7.03552688328248	7.42308912854295	7.02143361517772	7.43594646419447	6.69617595211791	7.44467337391503	6.6053628876909	8.05423091613079
ESCO2_32645	1.20215031584541	1.01889500670627	0	1.32327745515509	0.616210850301687	0.963765890119387	0.751575852243394	0.877793733828994	0.549225504332354	0.600411426642693	0.597402010035703	0.312942318901804	1.07949376455036	0.562398500184184	1.35721415954174	0.296963149727234	0.636411100334018	1.70286104422577	0.958983008178129	1.1168707756677	0.34281368860548	1.07038717415833	1.75897502770335	1.11355782620898	0	0.51743482058755	0.543951516860386	0.788626242637406	0.897602231892082	0.847536014908725	0.64482577788744	1.59614896293447
TM7SF2_10031	5.49082149806643	5.3219973545393	5.31524276704499	4.80952292145934	4.95910633836144	5.01627412468789	4.77187437353981	4.50948294904042	5.03280813084556	4.96322946572768	4.88122015696251	5.13568444261944	4.95693710341144	5.08295098442705	5.52581742132163	4.92996480789927	5.2001631195126	4.58530411039044	4.77769819333942	4.94501741558762	5.04085234783103	5.01568982253	4.9783132671645	4.89741971686184	5.27562441771211	4.60264840371614	5.28579841334914	5.45675026785961	5.10299663652752	4.23678542857786	5.31777370745741	4.99349857290881
EIF4G1_8551	10.9002096181814	10.8986127212931	10.8755309695521	10.9297076054526	11.0098569348865	10.9600571704163	10.8182742278293	10.85308415803	10.9262463945578	10.9991234669982	11.0389194034809	11.0169058694436	10.969736594295	10.9887380340989	10.9081604607931	10.9518300690469	11.0645811803766	10.6474178001204	11.0249368418214	11.0496244289764	11.061663415169	11.1147142793676	10.6327196576496	10.9846168305579	10.9701561672798	10.7596799381786	10.8965928895437	11.1094871201074	10.8591697850308	10.6755669934671	10.9456629325411	10.9159066911252
KDM5B_8955	5.50741929017406	5.20644089173561	5.94043524749025	5.54578432834837	5.63677607971021	5.42012372778793	5.25768508087043	5.2423270937444	5.53615839130321	5.53670884630994	5.56759269205359	5.57015365152289	5.23797340914869	5.44845966079794	5.47605990485387	5.50270568599894	5.44015466842635	5.15009354000014	5.53909252867162	5.63795079605943	5.6693197872167	5.63444403345893	4.89982175841727	5.61489157458586	5.75877416035449	4.97334746580039	5.30263607541095	5.82086987581905	5.20777435544265	4.5959408038798	5.36785529901628	5.10372037110389
SNX11_9911	4.18355560583524	4.03522754235407	4.46026228263943	4.48941389486936	4.06340777463971	3.97554886300087	3.92460732337296	4.08012017687502	4.27055489201785	3.92543876308732	3.64872595212833	3.73921833322063	4.05190467564965	3.93561696991865	4.13023193344404	4.10663706095725	4.04656158771282	3.96905695146086	3.75060606128409	4.0431762581743	4.04938692476983	3.82781520249727	4.25722007183209	4.15986302987181	3.72948601271102	3.90888551089683	3.78898744364717	3.95871054210379	3.35120185801846	3.8669303164591	3.44123553038276	3.99296969480726
CARS2_32316	6.4872960095766	6.70488408829032	6.68852905249296	6.51001818651172	6.43942166273721	6.34954088926941	6.20901646479843	6.30565598633048	6.59155653162451	6.59996774530842	6.49601773957243	6.49415652353128	6.5324488910454	6.52440771490275	6.68294723915515	6.36797117270299	6.50056105738	6.28375804691854	6.60129535804593	6.58438823407007	6.59229300251728	6.27518927531539	6.40426639865369	6.70842115106135	6.61260615521499	6.03806696745349	6.56457477401094	6.38270062186742	6.45260153406021	5.51626113441765	6.32514962853153	6.13024903921784
CD55_33080	6.31885737211426	6.48558181221156	6.2256642038679	6.40432011333443	6.25545204466625	6.58555508891434	6.17187950335108	6.52817073882383	6.37511047332408	6.41600099445014	6.48779485995016	6.2124927179693	6.57096950422479	6.54296614459521	6.33771159568419	6.34787062013544	6.37125338524349	6.2669546708394	6.3837090547457	6.38193428621059	6.5842495932152	5.96173502690074	6.57274939475701	6.57389960196248	6.621848901434	6.79172688000163	6.21477878824083	6.26936136500064	6.49462796218789	6.86604444797895	6.41364135709403	6.14579246668887
IARS_33171	5.9207152856089	5.8269527318072	5.98764663229525	6.02140716056822	5.90398445408136	5.8407368493148	5.6104094998591	5.34993999626513	6.10587581965545	5.75924465533145	5.94328292360881	5.85009519580115	5.98514715191197	5.7138608257166	5.69692063804796	5.9811019610729	5.91473059931355	5.37845145383697	5.74100883431835	5.86466325588978	5.95158003402166	5.95535525983198	5.69464245032297	5.85136346583615	6.02574141412174	5.33120777165449	5.79434530097599	5.71829159579645	5.6326700162504	4.92182913187673	5.63654094533263	5.38266584288193
