ID	S1P1_B11	S1P1_C11	S1P1_E11	S1P1_D11	S1P1_F11	S1P1_H11	S1P1_A12	S1P1_G11	S1P1_B12	S1P1_C12	S1P1_E12	S1P1_D12	S1P1_G12	S1P1_H12	S1P1_F12	S1P2_D01	S1P2_E01	S1P2_H01	S1P2_G01	S1P2_F01	S1P2_E02	S1P2_F02	S1P2_D02	S1P2_G02	S1P2_H02	S1P2_C03	S1P2_A03	S1P2_B03	S1P2_E03	S1P2_D03	S1P2_G03	S1P2_F03	S1P2_B04	S1P2_C04	S1P2_H03	S1P2_A04	S1P2_D04	S1P2_F04	S1P2_G04	S1P2_E04
ZEB2_33022	2.69922973953915	2.81591667768288	2.51959590176412	2.92557183708946	3.77094582340638	2.54256603432941	1.95901463266965	3.27888899779685	2.75787607314633	2.98887258232382	2.37806263763708	2.22929001931483	3.48216157276688	2.63068355407128	3.11497402069869	1.50632190641781	2.54002024639835	2.67194606688146	2.19429785270311	3.05892149301339	2.56437050652386	1.96030980196002	2.60831281636035	1.97747843903626	2.31382122373019	1.87994712199475	3.00771973185534	2.75664674272428	2.56010506033352	3.18652528206596	2.57633287925897	1.64319445914463	2.85917711276994	2.8607158396718	3.40980152510522	3.21937485568124	2.6030589094998	2.6776539762091	2.56838714281891	2.16779496233143
COPS7A_8361	6.7196826668794	5.96482187147746	6.68718146097498	6.36656895124421	6.69018097844915	6.26069377108675	7.02765198391322	6.74848095331752	6.62115811354454	6.47391830849922	6.61777877638221	6.86060650329226	6.61545736138392	6.40322937287708	6.63238722104532	6.35750511471116	6.33026317772108	6.73089735539705	5.44369338521431	5.73969911861531	6.56422803087795	6.8262638975664	6.53149577413083	6.67408782005221	5.1585821989014	6.35911041405534	6.65133231089054	6.34476788076676	6.6024274098404	6.57104998092863	6.77411575464158	6.67358168623484	6.06333339632483	6.30511782820144	6.26906246109953	6.5164639385165	6.54139262960837	6.62009610878156	5.77889069856931	6.58058114119613
KIT_8968	2.79751731623806	3.70965797058189	3.35126327163127	3.5673457975032	3.02081268612976	3.43902958745144	2.92184356866519	3.03028562860994	3.44375756200502	3.20530609820869	3.18170867822143	2.4699762474797	2.29670358863936	3.1132216543248	2.96571564550832	3.35109719910006	3.41033342121337	2.94787243075253	3.0273907087267	3.29281012060983	3.18740325376584	3.83801331535819	2.7787524452531	2.97369042562203	3.06273016552725	3.7073890224768	2.70306791356538	3.4360116536247	2.44685924984568	3.39418134277153	3.17298677801369	2.88180181402906	3.71633532743895	3.9158509060307	3.18961039090421	2.87297483763235	3.20151843771941	3.72200821948034	3.74563253458025	3.39365024844156
MAPK12_9186	2.69922973953915	2.85798073602289	2.58429547020399	2.33450562181746	4.11611606778341	3.15624120282898	2.4989732851481	2.6138202821604	2.4307180037888	2.61815751873859	2.08049550349476	2.73886148883971	2.176962429621	2.6929894399054	2.73915112008537	2.59987320339635	2.9676530943623	1.88222877005629	2.62440489263481	2.85468786422141	2.30216544840761	2.7619044969468	2.60831281636035	2.49873583251807	3.03710327126892	3.17661752018016	2.1270897758367	2.43385599972496	2.85463202187545	2.65198600120744	2.82981023537149	1.99022652370979	2.89530528874005	2.32961176312108	4.25191185894815	3.69248762862314	2.73582466902941	2.96304230171811	3.11307781327364	2.92572807350267
KRT18_8977	5.95714563918991	4.7571118778313	6.4603649133859	5.79401621220157	7.01520318611267	5.84708430192175	6.38314090776775	7.1840673169978	6.08687203259036	5.93995391834911	6.09797023645312	6.56011693895235	5.35459500774903	6.06332089817755	5.99386336274832	6.03187371160345	5.33379707779534	6.35037768707325	4.63485215395556	5.1779485147723	6.45126794652019	6.4456831621714	6.02754239807535	5.93616342519459	3.96013503852169	5.10884625542282	6.46386747653198	5.6665238645474	6.69832452005847	4.95187411519866	6.68054277142505	6.07157582738784	5.2119496808285	5.70057494562736	6.4879742332019	6.31832892317745	5.2734252593142	6.03952787159737	5.23767349435231	5.52436278454222
UBE2D1_10119	2.07215884856406	2.183221589673	2.22717636880761	2.27230703327556	1.21277066720401	2.16185396803834	2.17942602335798	2.93689076781411	2.50235428445873	2.27939433690403	2.62462483012516	3.01690483235637	2.50995066796103	2.63068355407128	2.54232183782208	2.89587838656235	1.92953228085927	2.94787243075253	1.57871566496425	2.104360907484	2.30216544840761	2.06371031623486	2.54671084575573	2.36799328628234	1.80771673827299	2.1212706264649	2.4024482379521	2.43385599972496	2.940809046383	1.26868496519889	2.37864805220275	1.43234670413987	2.33571438146132	1.96649420535324	1.89059526672157	0.624995891179381	1.56179325173877	2.32153183934773	1.60435790609736	2.2873281315363
PLSCR1_9508	0	0	0.839182232420726	0	0.840518872436035	0.471030815177163	0.715251714997741	0.596574972637139	0.8666533757031	0.329964833938458	0.718880992207753	0	0.834037775046574	0.629148588139246	0.648628671803069	0	0	1.4807618828715	0	0.450669885883363	1.44373341482607	0.366415141899227	1.01405549157288	0.574996297317111	0	0	0.940085545350206	0.420853995283545	1.47555777604056	0.76952567264159	0	0.510671723912037	0.452069059192852	0.533474818596131	0.679650357892578	0.624995891179381	0	0.262951861571156	0.422341366901442	0.828877238546159
SOCS2_9914	9.52156198356333	6.30606139266547	7.41260946259484	9.07537581291973	8.05892905363893	6.70434100725645	8.86307496638564	8.85625922104694	8.80332107933473	6.23888224228097	8.84319728290647	7.1982842984116	9.02536845180489	9.55896860996847	6.67709111201756	6.03187371160345	7.65582039239764	8.619194448549	8.10855623929646	9.33206809470649	8.17746267366159	6.38208752218241	8.74215491714054	9.07257966917349	5.79644154723237	7.08428689119442	8.57253107507499	6.20603266302016	8.13695802439254	8.41818683620106	7.0483324694764	8.61060740539033	8.15809768933499	7.71076242268188	6.10848099859989	7.51427923224077	7.90070910478728	8.65270925615589	8.54001124718405	7.64752840947077
PSMD4_9599	8.08050240441841	7.56953889416442	8.31851762490625	8.17046815205181	8.51480684693395	7.97928667321733	8.74395741461834	8.52431367490995	8.2467267943487	8.11105996867133	8.22596929909758	8.3769731966417	8.15536655019653	7.87127112347654	8.19370356237727	8.14756236334161	7.8983772898085	8.47959220538655	7.26307695465122	7.49721796111988	8.32516469389266	8.61974492385568	8.33166843604386	8.33849095279082	6.80444314031143	7.96749868681273	8.41578388168332	7.94388097004691	8.56095471784081	7.93770775408598	8.50839539781407	8.43761352420415	7.98345276016365	8.16213112532264	8.25496372113552	8.41805433660791	8.37120156603101	8.35353511574527	7.54453915770913	8.26418634935343
UBE2A_10117	2.79751731623806	2.89885301628041	1.75150969988893	2.39413312155623	2.05754600928765	2.91909049430094	1.54858898686928	2.19687678575473	2.57060113925737	2.20093062317419	2.37806263763708	2.54203966529139	3.00791469788327	2.81006702434206	2.04342341936459	2.70543511678291	2.32576337179586	2.33046142169545	2.71451080134683	3.18060035625997	2.22842666722439	2.06371031623486	2.54671084575573	1.88487335245669	2.81383843802317	2.00564885699479	2.22483304721435	2.68246459401212	2.18961040138678	3.24130794021059	2.01966743891424	2.70515386125402	2.57725010083964	2.26393431126206	2.46287329181283	1.29035587822775	1.82287998558527	2.76511226419034	2.76164933880357	2.64155561159964
