ID	S1P4_C05	S1P4_H04	S1P4_B05	S1P4_A05	S1P4_G05	S1P4_D05	S1P4_E05	S1P4_F05	S1P4_C06	S1P4_B06	S1P4_H05	S1P4_D06	S1P4_E06	S1P4_F06	S1P4_G06	S1P4_H06	S1P4_A07	S1P4_B07	S1P4_C07	S1P4_D07	S1P4_F07	S1P4_G07	S1P4_E07	S1P4_A08	S1P4_H07	S1P4_C08	S1P4_B08	S1P4_E08	S1P4_G08	S1P4_F08	S1P4_D08	S1P4_A09	S1P4_H08	S1P4_B09	S1P4_C09
SLC6A13_32644	6.93975403899334	6.77225610886846	7.03925685017564	7.09333284473016	7.43696011962592	7.00900405773717	7.07267451267152	7.29364777058443	7.20009769764575	6.8843586421294	6.74532950828372	7.25987609787981	6.99343600688805	7.14419521060986	8.08656291270575	6.16748361820351	7.00969217784094	6.80878732671966	6.93706818700026	6.94450596281889	6.77412061371363	7.57917575430757	7.06176947929934	7.29498075804276	6.80362774476634	7.36877170925129	7.01511872481094	7.27629561424562	7.32897248512994	7.25327861860067	5.80632125313481	6.89443504763494	7.23873561327895	7.45447448886861	7.59456715342898
SLC16A7_9838	10.1381904955219	11.0349232369559	11.0045683847188	11.4209826343095	10.0229234117036	11.2738235852764	10.3009903025855	9.5364023018958	9.51929155781384	11.0937544220315	10.4333028295552	11.3943293595945	11.2109589029846	11.072835301815	9.73604665360956	11.4051912107065	11.5165155071638	10.6236981215091	10.5925372574022	10.4353884169567	10.4207299087981	10.3204685497715	10.8296629930646	9.91469452332615	10.9175099221902	10.4540321607051	11.194116536606	10.0394281416612	10.0391129886384	9.85906700530493	10.0611511166594	11.1650472837034	11.1179415639377	9.7116723798155	10.8085376654043
HEATR1_8791	5.89604825721653	5.82607396215207	6.23816938595883	6.19158895076865	6.14830557189527	5.85301271531018	5.74412890731053	5.82205142029278	5.95478386996393	5.83601956514912	5.71321442205146	6.15592453180949	5.70606646952207	5.63518370715778	5.65081877376242	6.09876793645116	6.16476194075123	5.5768875189095	5.68350554271712	5.50841410419977	5.95900676260915	6.14656193547742	6.19627130023968	6.27122152881539	5.70313934248481	6.0929626511264	5.88589028641861	5.81112205445141	5.57968316213976	6.00151504707259	5.63191127667787	5.99255843771117	5.99673346890991	5.85622297787663	6.15948329522348
CPAMD8_8368	0	0.70568672194326	1.94021414544351	2.31625946914598	0.709924944372658	1.10525139856031	1.14350307704892	1.66229509363423	0	0.364924531065116	0.601421708833989	2.95741204091854	1.04220771508533	1.46702114780957	0.559227177098182	0.416117050696163	1.28331462695647	1.71702805935367	0.410739784534561	0.601857253772702	0.375313869054179	0.689443709407903	1.56305168593256	0.8660788619238	0	0	0.541955546564806	1.71552929921307	0	0.746865158011123	1.37464464230387	0.576797977375353	0.51653508114956	2.72525132542436	2.14450217031415
ST3GAL2_9946	5.6202286790107	7.0943202326812	5.86357820449274	6.88509169786772	6.60924214331138	6.23754170197273	6.40488401645348	5.81281938786686	6.09348107933108	7.03760032461501	6.31498770992821	5.97804747755753	6.29806478438187	6.66642685541514	6.65005704247382	6.53824546086248	6.69389456134079	6.39243153635583	6.81155003967332	6.5089739988957	7.1809438315354	6.19562448140312	6.81696276688611	6.48506615269714	7.00835565685283	5.70566875597465	7.1462777993084	6.73774748207087	7.43540137991353	6.46728554627823	5.40664035375976	7.38490357015828	7.00244730391248	6.44618792358455	6.71908208391852
PPAP2B_32335	7.37755189319591	9.19752491212102	9.82369000529683	8.86978381673136	8.12477823516612	8.92056939950788	8.55049737574574	7.4917695951867	7.34598928705314	9.55109399230518	7.84789086445859	9.09412803786908	8.54923339894996	8.85470444996317	7.35229537920218	9.13358869320904	9.1421845536548	8.69601479317194	8.69930677682621	7.90787078697288	9.04870358685408	8.23899298015463	8.20073825705934	7.53573824994483	8.10213899908364	8.91180891512293	9.88178339213038	7.65826189345726	8.68326808873349	7.50561273477915	7.62746443055085	10.6063317887138	9.49004814542419	7.77277437745988	9.12766406263769
PEBP1_33087	11.1282294788663	11.4428301746532	10.8348971893603	10.8485617320693	10.871283456011	10.7884956480709	11.2167688108623	10.7171260771646	10.8926401496343	11.4072422258023	11.5132259106783	10.7518822321313	11.4954029231752	11.4060720465927	11.2137283065655	11.4018081500911	10.966273844709	11.4727823040969	11.4344642569895	11.4046081416276	11.1034812408985	10.9618842823448	10.6861310727557	10.547014150718	10.8045042272104	11.0741345135228	11.2103089046022	10.9105862971111	11.2277543725888	10.7005648057533	11.0084318580554	11.3821121279733	11.4215141408808	10.8542484867647	11.3791242930252
BLMH_8150	8.14928492708391	8.69948663786841	8.01013732595495	8.39901855344092	8.76235715562396	8.10944366856475	8.55049737574574	8.24166886191824	8.33922698436018	8.27932338124121	8.70065403997227	7.99307151795853	8.75662110575602	8.64178159887049	8.70782709973606	8.68260955359241	8.12263777363615	8.54893708847528	8.50241537400764	8.77620393832937	8.44186957400806	8.23459793066647	8.23234051498362	8.21515821145194	8.57034929526745	8.12241162959309	8.52727119072866	8.46388668693593	8.80270529159067	8.19279207344102	8.50548080360926	8.77470388356331	8.45978139281122	8.62605776035091	8.55846469434544
KLKB1_32603	2.36322358416256	0.27537295971013	1.64534177115752	1.86931674315128	0.398196579001771	1.72365784230827	0.931210980935774	1.05838457891919	0.60557339412583	1.10517991562939	0	2.13213159798551	0.436295705768423	1.26999299696425	0	0.738692488895182	1.28331462695647	1.56598064627909	0	0	0.375313869054179	1.34008020351379	1.20363217031777	0.349630310819152	0.960695603721502	0	0.934999047737299	0	0	0	1.76109821652108	1.30719852138001	0.281262305996391	1.76785230528185	0.424534809579935
C1QA_8167	3.29403589514661	3.60244113283369	2.18492534373231	3.09060268610138	2.74877703605245	3.29676885121442	2.99144755893249	3.32504848831553	2.37090833198537	3.57736137905011	3.21340569359412	2.64695770603252	3.84987628327801	3.24330709679257	3.32136737659703	2.11879633621676	3.07191249881704	2.6389461443252	2.92359537401245	3.13176005204832	2.91392873541142	3.21271425466819	3.24347440255512	3.02327055476944	3.95504650261096	2.28360242126395	4.02451002237428	3.19499381023607	2.95572197712837	3.56684908428723	2.88208763724972	4.18616220885748	3.82076320262374	2.89036428911175	2.3521019873975
