ID	S5P4_B04	S5P4_C04	S5P4_H03	S5P4_A04	S5P4_D04	S5P4_E04	S5P4_F04	S5P4_G04	S5P4_H04	S5P4_B05	S5P4_C05	S5P4_A05	S5P4_D05	S5P4_G05	S5P4_E05	S5P4_F05	S5P4_A06	S5P4_C06	S5P4_B06	S5P4_H05	S5P4_G06	S5P4_F06	S5P4_D06	S5P4_E06	S5P4_B07	S5P4_H06	S5P4_C07	S5P4_A07	S5P4_F07	S5P4_E07	S5P4_G07	S5P4_D07	S5P4_B08	S5P4_C08	S5P4_H07	S5P4_A08
HSP90B1_8840	9.84998402717129	9.96721654607149	9.50431105587077	9.76438271422661	9.81831252505798	9.98559455928737	10.0480935589889	9.9408461815035	9.9013522808927	9.63268737269469	9.53787473409238	9.78022743704997	9.96341819551997	10.0114535809108	9.70535044788811	9.65754205923032	10.044273783006	9.814074451671	9.91455806472546	9.95618613199684	10.0254986828734	9.61287851887703	9.96201773213647	9.87714134749091	9.69240513600665	9.68448501639691	9.84435091120861	9.86935659574244	10.1498664568933	9.80000444159323	10.0929577803889	9.90799927338824	9.68728016526989	9.81354508820138	9.75661401233933	9.57147228270474
ABAT_32557	9.84170814952429	9.78725409472189	9.71718001640651	9.53746275529012	10.1220248383302	9.81781220068377	9.96646366866649	9.81312481392218	9.81342392373136	9.78244692169671	10.5813565370722	9.78994890936687	9.84348651156313	9.74824043007833	9.63647200728633	9.81128042330392	9.60828687256566	9.43199648890167	9.90604823782985	9.53559349506769	9.60837007607484	9.98805195450163	9.77559795727022	9.71322730098818	9.71353918472349	9.94313646444149	9.28625183767301	9.55321762745267	9.79174833793659	9.50861549475172	9.54966303836428	9.70962691143207	9.84302894562689	9.81746062316177	9.64379232148507	9.5227150689152
AMDHD2_8039	6.53883413594676	6.70404435813167	6.68896711486681	6.09239720815997	5.8946153624875	6.71514264133367	6.50791741492752	6.31458654495428	6.72084426552582	6.71932680850555	5.91881410731969	6.78052364472021	6.48041935907984	6.70148261472763	6.6699340327216	6.57371679598955	6.4044017958704	6.76864023383252	6.69451980817177	6.38649445754248	6.44881445854889	6.20220790138614	6.48556237919971	6.42282565669338	6.53249176087384	6.75691311406806	6.48944607103209	6.57830595466626	6.45394230132326	6.58909203606463	6.64613479099627	6.59984695022838	6.62157528863004	6.59393603156617	6.33588354066294	6.3693639356302
FSHB_33074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296390337615015	0	0	0	0	0.289625812622966	0	0
CALCOCO1_32442	6.36494837670479	6.49740836798189	6.44786858153933	6.59725965605623	6.43964548949857	6.47353804391654	6.5713583510237	6.57176159325726	6.63296753384294	6.55184326705975	6.25723714534361	6.54688919871211	6.43675399380545	6.70997941124688	6.66730567206863	6.62191713898434	6.62537875686304	6.57788414044589	6.60421870791285	6.35656641778535	6.57369359853972	6.46049564493584	6.64674007899551	6.88242187324134	6.54512174024104	6.37420529934788	6.33754071965909	6.53235093753027	6.57966563173091	6.42878845566027	6.44873825256028	6.43903712263012	6.72013386545314	6.61044309710611	6.3279015284375	6.69534338069631
FILIP1L_32649	6.17360327363984	5.44653443502674	5.56240927224627	6.14157470854243	6.34153825164058	5.99766766669712	6.03336855598113	6.09125763119649	5.86141558410973	5.33459689268116	6.38421217511209	5.85806980748034	5.82477014783454	5.90237016801856	6.00866806636027	6.15760063019712	5.98553201551672	5.70637706995587	5.82130435810909	5.85541610013391	5.71705222882614	6.1977815497159	5.92303166988481	5.49740271949163	5.24153429552094	5.71890984875086	5.53512591928145	5.95516057690031	5.68378086338078	6.01353646845854	6.06390837638418	6.29449250621696	5.72850090977903	5.43434163520513	5.24196563724938	6.08469464187418
SDS_9798	2.9483151606169	1.56389445120833	2.41003588284166	2.70500387237387	2.87143241226047	2.32265273809257	2.95206284325793	2.72549082617452	1.98849217557732	1.43882049543056	2.88706274074282	1.71067906677949	1.47231319635132	3.03073000013944	2.7539224090062	2.4987744495466	3.09315286427898	2.97811365901012	1.49796533407037	2.14902815687489	2.58550523615497	3.15291158302701	2.43073244233046	2.97843158395866	2.78685897390577	2.26655332365472	3.87829178501202	2.88093751811659	3.05279373762989	2.36560475145366	2.57480470070686	3.17856328600828	2.88397238562051	2.04002441009357	1.69083043892103	1.58309007142851
BPHL_8157	9.91286075529763	10.0455719072101	9.83063521929675	10.0484634711938	9.71504790399776	10.2968925597808	10.103425861506	9.91171297498129	9.85332051418502	9.95743649734306	9.57263336011009	9.95890093761353	9.90018381337961	9.7801967720991	9.79747071938518	10.0879485079259	9.82148952961818	9.84877254111493	10.2763580447769	9.61792446755477	9.82569299529061	10.0090465415949	9.93714222494076	9.73668931994778	9.87105944991272	9.82853110415079	9.70711555627752	9.76300424979118	9.80725583986403	9.95369332366782	9.81416538670565	10.0964872977591	9.70644165901794	9.77818401170057	10.1798213772031	10.0664190340052
POLR1E_9523	3.68227065649733	3.93995332821472	3.61101607902767	3.49217824034338	4.33324803224945	4.12028888207238	3.94857703064598	3.37245354226197	3.52821905334574	3.62472294619175	4.48061582715132	3.47790259226503	3.98757671779168	3.90058866341315	3.74606156055785	4.32284605143862	4.14904079751699	4.21576230401294	4.12267010719193	3.47133859570775	3.87680071483213	4.10769539071299	3.56681643092857	3.83982091822985	3.89116913628593	3.96454662790968	4.03207454342374	4.08029236951872	4.02507751148908	3.95771984842986	3.82995865935389	3.81358848523127	3.69933462798613	4.33054375410819	3.49194981745771	3.71622226751898
C4A_8176	5.30565061363988	5.30297705503162	5.22564314540351	4.84800416785536	5.25142627650835	5.37177880986761	5.38100466194904	5.6229048727875	5.21194195221543	5.15573200363743	4.61223270628394	5.14758930600591	5.15404653961753	5.89245060626235	5.42867121572127	5.3943565521158	5.32671051220992	4.99234182039896	5.57363512532381	5.2288166543738	5.33954744518332	4.78741694139227	5.14397972284605	5.60000478594754	4.94062590343235	4.89722484250795	5.14012218221737	5.79410189812955	5.69016773977833	5.46252669258258	5.32349574987185	4.93565190381824	5.17005318059843	4.96513578325628	5.06119040305729	4.97455964385613
