ID	S1P1_F01	S1P1_E01	S1P1_D01	S1P1_G01	S1P1_E02	S1P1_H01	S1P1_D02	S1P1_F02	S1P1_A03	S1P1_H02	S1P1_G02	S1P1_B03	S1P1_E03	S1P1_C03	S1P1_D03	S1P1_H03	S1P1_F03	S1P1_A04	S1P1_G03	S1P1_B04	S1P1_C04	S1P1_E04	S1P1_D04	S1P1_H04	S1P1_F04	S1P1_A05	S1P1_G04	S1P1_D05	S1P1_C05	S1P1_E05	S1P1_B05	S1P1_G05	S1P1_F05	S1P1_H05	S1P1_C06	S1P1_D06	S1P1_B06	S1P1_E06
TM9SF2_10032	9.07964839971773	8.92922695332794	8.94484041207199	9.10683058984853	9.22129977502385	7.93905140048147	9.13866301942609	9.1249485894125	7.89311432379513	7.95272875221913	9.23531715819642	9.06234856372257	9.10845864412698	9.20154009004253	9.10427165870218	8.59072790154296	8.87605295394008	8.51018338962257	8.94327262207554	9.07313725946411	8.40210045880857	8.83822055668573	8.59161732003476	8.75832662342505	8.7787700960524	8.42177110417459	8.74432570371027	8.50482138732757	8.55082405892257	8.72784859751676	8.8563815688951	8.8654239116307	9.00866267932394	8.51195201395362	8.78469310105978	8.78742819335156	8.9316074305647	8.98209285752353
AMH_32496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274873281962643	0	0.30890136772532	0	0	0	0	0.243477347165341	0	0
MLEC_9235	7.51500137240209	7.65856267813033	7.07193444182912	7.94967474499933	8.26348793158097	8.31406527913089	7.56890487154949	7.42327401510796	8.50920579636903	8.3064096039065	7.61520784842638	7.46291090243067	7.83863207875201	7.58282110463951	7.68150155453681	7.46728195361319	7.75477255038613	7.25118429661728	7.94486568023484	8.17668342460657	7.66394103069481	7.91886744147226	7.94330158746141	7.73827788854339	7.92256613565846	7.27831761848596	8.31053809640327	7.62006672873792	8.08839104908811	7.86870925558267	7.81811512515047	8.18668048200127	8.54282794741419	7.86223769280688	6.97631255090046	7.60698996998058	7.61846997186062	7.83753183412333
SLC25A46_9858	5.62669790033118	6.22976050904171	5.99790121784963	6.24026685915396	6.09005395806081	7.34736696654786	5.76545137712353	5.73208700625153	7.4406029285318	7.22138079203994	6.06658227845981	5.39305324516388	5.80472097621837	5.94182656730843	6.01723788748159	5.35448554962299	5.50291057299833	5.78476996184223	5.76468390737422	5.76330188862007	5.93632981039228	5.78068060236242	5.79638770512275	5.48030188272589	5.47692698165975	5.08383121111867	5.82138370699856	5.18849668482353	5.2296063717217	5.53561066890388	5.36150003213616	5.85496130984042	5.69917708506564	5.59994753805319	5.75801633675005	5.50163277735733	5.76088444940203	6.00560794340187
CCL24_33270	3.83155280053687	3.78911621857166	4.23719505119048	4.05743535123717	4.12417090740421	5.27811529046182	4.1691159738927	3.79438059789447	4.68634002761536	5.09969883351466	4.60928928916331	4.19710987310971	4.29513515550347	4.21797467365334	4.41385657891652	4.54330511108891	4.85586032723107	4.09567267746818	4.6275530589214	3.90275222051367	5.01050945893747	5.17576155159236	4.00829149072737	4.42233888975126	3.77788714945024	4.13695182610806	4.27987336521696	3.96382737174224	3.69639511292454	4.80432879293165	2.69856790780679	3.14668420182416	3.3031411745374	3.54866396257922	4.24837117239732	3.77453864106517	4.37300722549337	3.49723416589794
CYP2C11_32593	10.204827388534	9.98540388337126	10.3448010605387	10.5988477300359	10.8443178173614	12.0982400904501	10.4314282757753	9.95216342144692	12.3409626518654	12.1945059810264	10.5198416107732	10.3984278389211	10.5997094188312	10.6295407478437	10.9891019603106	10.7962011231229	11.0749809329215	11.1838757783083	10.7624269667864	10.9021278257274	11.9213484217636	11.0862625628173	11.2076186798112	11.0673705771194	11.0096490066469	11.3281435483301	11.4156121672658	11.2888928572232	10.3335364927767	11.1372897613722	10.8956835277834	11.3627373056253	8.84420544925368	10.4083378667956	10.8478386494394	10.2483827999029	10.3013342695164	9.80439225468252
UBE2G2_10121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOCS3_32863	1.53155420787576	1.79995292368411	2.06992866437575	2.21773525683705	2.50015486520917	4.07747588889793	3.01091253040979	2.53623222628801	4.39014338090496	4.24750026506733	3.446710872133	1.58546505419965	2.8721532422604	2.58107337222676	2.13289912611564	3.92245082722529	2.45914107495259	2.87037565972862	4.08446948920017	1.26044931285762	3.65083588293665	1.72300016501738	2.43854661287037	2.29090593429771	2.33328052322389	2.96357046051033	2.08798668783814	0.649826968274047	3.91288776566837	3.1830734208361	1.28248964056527	1.52881267859703	3.80699363149652	3.68126413084656	2.27090019999226	3.85005068058242	2.65564677394655	3.85531354938956
LOC689064_32448	11.1944706572836	10.6158745078478	10.7970031800601	11.3010563348068	11.2344914644553	11.2995387445257	11.5333707335316	12.3055063235648	11.7275745790154	11.0070145676263	11.2515684760881	11.9165084869188	11.2740252215617	11.8970798532	11.8834300228545	11.5383344337713	11.2108597851275	10.789352716089	12.0975856546698	12.0265923297338	11.5540920082094	11.3169446755631	11.1904992874576	11.9545957649761	10.8287512650366	10.5110644371478	10.9163928789416	11.4410132598549	11.1602289996464	10.6681937175923	11.875914089498	10.5152130207634	10.5809163803335	11.1065737825094	10.3113362886553	11.563521605467	10.5984810452959	9.14307197796961
HMGA1_8807	2.81784990761405	2.57632313528316	2.72195300352015	2.04612975096607	3.06989885821516	4.53501467401307	2.79856911039064	2.99690695357721	4.6177948633132	4.49781983762762	2.80778398217818	2.50312111644789	3.54186870682375	2.99591613960171	2.95827835477091	3.05240111535193	2.95388701993889	3.27497183611544	3.57860872856215	2.37493102904447	3.98237371353706	3.94812778957642	3.00226088159722	3.10852971792274	2.86466481470329	3.46790167233749	3.35229334329586	2.65774976056453	3.23197187406293	4.18594605356704	2.9862573071531	3.2455979021547	5.40117690984282	3.29635863352813	3.88063223318968	3.58863182530174	4.09726658560052	4.11104259103378
YWHAZ_10194	7.36089014884551	6.78413619053818	7.3865546793937	7.58833656309906	7.57222357234394	8.97463794783621	7.50725152285573	6.97019007740657	8.97913040788455	9.0139888705954	7.57262967921577	7.39020135922277	7.59724479879998	7.24645033450676	7.46818367819102	7.8439109687918	7.48662550051032	7.90457198208752	7.9843801618791	7.36505891341075	8.27278477821077	8.02927225774844	7.7976940198795	7.67783799756474	7.41497259140972	7.97459348829917	7.87553538162947	7.68532910427152	7.68692343549582	8.15546293448542	7.37491712081739	7.83415918364279	8.40738562476356	7.84584759410117	8.69037780745149	8.30006468401593	8.57363329631278	8.71674430062094
DAB2_33094	4.58915512231857	3.78911621857166	4.61216572442491	4.67344694873092	4.92194139052533	2.64396874769161	4.83698554478839	4.55312102402239	2.48750880654491	3.18546512323199	4.91217551257245	4.825155603249	4.99740200396353	4.93408370432465	4.33537021238394	4.43297481175376	4.66803735893636	3.97054920487621	4.75487463327302	4.14962039488162	4.31194377416158	4.93061823459112	4.42141545104981	4.69955971727773	4.64026091177596	4.83157855500572	4.68131083407389	4.09770350596069	4.0833388165918	4.54732816358646	4.56575438003131	4.75928958099764	5.10515663101146	3.91469591381633	4.69950212052665	4.45667888399401	4.67795788353914	4.78514114682985
FETUB_33027	10.2712344148804	10.3597768814353	10.6696388685559	10.6545366308606	10.6350743855254	12.3796663341357	10.532461036337	10.1898389209914	12.5955651749738	12.4027608872706	10.5588252665012	10.4966082696108	10.5238191787473	10.6228686262129	10.814526680901	10.6505032355987	10.5037192421845	11.2183024971721	10.6283362480999	10.0620356783974	11.0685262379032	10.5575069776103	10.9890427061348	10.3405248929297	10.0126488033642	10.5263122947983	10.5750021184062	10.5243082176451	10.3957702224223	10.1738334286887	10.0168667189753	10.1317533990601	10.7388559813886	10.2990646412805	10.0950404529264	9.95967253397692	9.97185355834322	9.57833909550217
HPS5_8825	0.462779220901886	1.40856283024802	1.6472866063028	1.62603896129989	2.10017701300501	3.14986601845136	1.86701793391895	2.09532320578887	3.08907022675	3.35362206258344	1.88789055972873	1.22282319217802	2.50029209563042	1.87107555205805	0.884789292287412	2.40373528593224	2.18105294882011	2.10905681328492	2.47543805509731	1.92273326737439	2.60180294101707	2.12009709602121	2.35503320901581	2.19193011813321	1.99719195501517	2.49168744966554	2.55515727217211	2.14204742061753	2.05252622217245	2.527706696196	2.46897843084392	2.66498359344024	2.17216443047827	2.46101496005909	2.77650393486806	2.57622020292957	2.26811319109794	2.95170110683247
RUP2_9767	14.3848122064725	13.9360233081748	14.4954626943657	14.647493894587	14.7183439360679	14.0072143783225	14.7976309796994	14.4662317055753	13.7761639503846	14.1029516011995	14.544076166032	14.4262756274066	14.6195607445809	14.6874933726627	14.6895643508419	14.5919119602806	14.8056298203608	14.7921958447576	14.192356516319	14.5811057792646	14.7937356977404	14.5322064500491	14.3586511098435	14.7108045149358	14.5463763625033	14.7149711777774	14.6395356470329	14.5069598396787	14.0965008329364	14.2899653488383	14.3098706499572	14.4651231897314	13.3248271607012	14.2477475009523	13.8393102568827	13.9237438567094	13.5204682848114	13.2620540821704
NR5A1_33081	0	0	0	0	0	0	0	0	0	0.292698925245844	0	0	0	0	0	0	0	0.395751368560256	0	0	0	0	0	0	0	0.860813857064981	0	0	0.274873281962643	0	0	0	0	0.248233205905304	0	0	0.277451029043822	0
IGFBP3_8881	3.43736757177143	3.653413223561	3.86733323549718	4.64364857830646	5.03475828036079	6.2142084140375	5.44576299123576	4.33648934459266	5.66291587063538	5.99447517324578	5.0228529715778	4.36995111083625	5.01235148066813	4.65848135710149	5.23578244126257	4.89503541669789	5.15808419017224	5.27491459673002	4.9800765166624	4.52682714747382	4.79555731782667	4.1822603845788	4.84525387790117	4.50712554240234	4.45585679368413	4.73172406686772	4.71146527435636	4.3057035625617	3.13189385258078	4.1013809779241	3.58293459651441	3.2455979021547	3.4735771244693	3.40263131526759	3.74190028104794	2.66253298789695	3.63816448785269	3.14720501636017
MOK_9240	0	0	0	1.03091646770791	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211403364815336	0.542145230929214	0	0	0	0.204699990775475	0	0.201145897964144	0	0	0	0	0	0	0	0	0.248233205905304	0	0	0	0
PLOD1_33035	4.20139348414194	3.55529067642584	3.91909320338195	4.38011401204207	4.10132492344666	2.73211161515491	4.68440329879261	4.44164190004334	2.99954293471418	2.82234291229477	4.77658628033232	4.19710987310971	4.64128168045892	4.29325006643817	4.23084806071247	5.05258371637323	4.2229761115036	4.1089283789704	5.26315320915284	4.30030135586754	3.7628495270959	4.36911662778764	4.10092274826928	4.80379336671382	4.32197208305955	5.00046767958231	4.46825958890776	4.34662508274969	4.47240129238189	4.89755502842725	4.76892747956534	4.44230058324137	5.56101318424566	4.84735775077288	6.09374694858303	5.25308982494626	5.6372581242389	5.68718829569035
