ID	S5P1_D01	S5P1_E01	S5P1_G01	S5P1_F01	S5P1_F02	S5P1_D02	S5P1_H01	S5P1_E02	S5P1_H02	S5P1_A03	S5P1_G02	S5P1_B03	S5P1_E03	S5P1_D03	S5P1_C03	S5P1_F03	S5P1_H03	S5P1_B04	S5P1_A04	S5P1_G03	S5P1_E04	S5P1_F04	S5P1_C04	S5P1_D04	S5P1_G04	S5P1_A05	S5P1_H04	S5P1_B05	S5P1_D05	S5P1_F05	S5P1_E05	S5P1_C05	S5P1_G05	S5P1_A06	S5P1_H05
PRKCD_9567	3.72907751703064	3.62143819660882	3.55640530682775	3.9775150906301	4.28795134358339	3.54274275723988	3.50750400608847	3.66849800060409	3.82163302976965	3.6922578695325	3.4117010114397	3.36755944721031	3.51945111513569	3.17620389652316	3.57957795090676	2.9023200368226	2.41419039762857	3.28847311311304	2.91325902540989	3.93262016886758	3.17997337807031	3.35299177246188	3.3797343361566	3.69183925334034	3.35578224423123	3.57705941106713	3.7802749181506	3.3682393682947	3.39904241538502	3.50633519369364	3.44462010489579	3.70336257665561	3.0740934673091	3.81259543741836	3.68107845848097
COL5A2_32669	0.480786491644215	0.703261395098898	0.534593025020303	0	1.27841876596878	1.28343634775488	0.971174538685197	0.768010940529144	1.19418864843121	1.27202702796924	1.11685078494268	1.11447927374041	0	0.851139769967335	1.28775969573632	1.19865470481581	0.3887959124717	1.33648467047098	0.81530662587249	0.532002557549081	0.938277565326911	0.849226632016296	0.678579326678822	1.20417131537227	1.96465500037496	1.1472664367233	0.50354610136268	0.847507663922209	1.3379105434283	0.257659639195129	1.06944596906619	1.18010525873478	1.64175671409681	0.271614379459597	0.75326732036404
UTP14A_10144	5.14603879775769	5.51098961999517	5.57432805141043	5.17341481122885	4.77483967612704	5.10416575250352	5.2506898789659	5.07907719627563	4.98450891441658	5.32969382837276	5.43850846033365	5.36451331108435	4.88494574416225	5.41967798906095	4.88466771867496	5.08869340503886	4.98279827152395	5.3455085058902	4.99289020086419	5.28186375800492	4.66516303051942	5.00267907086424	5.08877580101738	5.27863222100373	5.19495783404064	5.10842331425526	5.27803311796218	5.13369887691745	4.86166925853725	5.11405406608481	4.88578467536434	5.22885988030969	4.86275078804262	5.56059905579752	5.54203501348911
TGIF1_10009	3.6403458859998	2.59106917417584	3.25128523799203	3.73987610262411	3.02301545447327	3.43754507113127	3.406585636979	2.50744848608467	3.46566850357148	3.33577905386533	3.56202954457326	3.09990026065418	3.5781010688318	2.78564549540273	3.86294441515416	2.70151257598643	3.02039631077513	3.28847311311304	2.85385821140599	3.60269102070196	2.61610800579274	3.32441720205926	3.35171741055856	3.39244484946744	3.74465133621921	3.77294868855709	3.43506946379476	3.40499523694335	3.20354429007307	3.5789522196621	3.44462010489579	3.03097531796921	2.87997369733685	3.27807861887177	3.35835131202603
RFNG_9680	5.85680168989627	5.98162329321721	6.03537802347617	5.58642636157166	5.53190903772481	5.66054305503218	5.681641704748	5.8269300912196	5.93140670223464	5.87309895450492	5.82799379627757	5.65877300477661	5.67122159795202	6.04697045334786	5.78659337506374	6.48222200153679	5.62207613516287	5.83432433564798	5.92747367963405	5.75665633921909	5.98840077256959	5.77881898157452	5.67939822456868	5.99925436225142	5.69871439665338	5.72979146116924	5.91937310784307	5.66756927539711	5.77256430634159	5.93144851994967	5.83364891626375	5.90366228700513	5.85105410789343	5.87257988600276	6.19972789767583
FXYD1_33322	2.61860396291967	3.29197756752275	2.86383314754066	2.62838506319984	2.81953555295443	2.87801357792545	2.71600947376799	2.96252987025408	2.62120664008609	2.64518012718543	3.24386648076827	3.19474569563694	2.64007464752811	2.24842930238561	2.8184911823738	2.38116709313916	2.84518970968393	2.82810534777344	2.72717410923304	2.85660490538428	2.92541488086294	3.29526521702102	2.48653808942375	3.17162091757472	2.76688919956277	2.750084581961	3.15965900825469	3.16894635020998	3.20354429007307	3.29266353818836	3.1554442899111	3.42027852090341	2.93100673258488	2.8089160344226	2.69707268793795
PQLC3_9554	1.36849844212152	0.703261395098898	0.534593025020303	0.845940469607074	0.439817162040278	1.70208688371515	0.469025724372832	0.554454818874315	0.599569602236136	1.85912239269842	1.29919372776604	0.662282283733851	1.27938579331215	0.851139769967335	0.899091923417893	1.19865470481581	0.694746844358689	1.53937740703571	0.934785599967358	1.47702417573359	1.67760916563786	1.13901258614695	1.13824153249768	1.31634362828019	2.23111704418073	1.25610535013818	1.52587979474945	0.847507663922209	0.818788995094444	0.66595039885119	1.94726627819417	1.53550538306929	1.86812157835624	1.16539572975363	1.13737920395363
CXCL12_8410	5.39685954070619	5.12605571520717	4.93561105060954	5.07445745806395	5.92791173945828	5.60088968962856	5.12925969089668	5.68958609731329	4.65634930382614	5.96466911563109	5.82799379627757	5.75529259325807	6.27801163038715	5.16336879948118	5.80902278252749	4.23340968571619	5.63110807474043	5.80510367294454	5.54164884494823	5.95636048628203	5.41888149763473	5.01166839037369	5.4342808362488	6.15068260538877	6.00769794579944	5.65225064861005	5.86870937500042	5.25945525407648	5.48332212898622	5.47913061552157	5.91995018970173	5.81452679141511	6.30727919554855	5.2897256996493	5.08359999610365
CTSZ_8405	6.34495908532718	5.76541313057969	6.61298981255107	6.41832869188689	6.29178464195432	6.20023309074855	6.40840796794981	6.26520049531388	6.67594948108789	6.55126979717898	6.22732143585868	6.29432119236468	6.69061064043983	6.55027595696046	6.19129251715768	5.88963156981074	6.27420849367751	6.00679441617446	5.99088639065225	6.81357233103933	6.06147305838593	6.40531851084257	6.40732914286508	6.26692555106993	6.54087061856093	6.20743005212772	6.60094770899145	6.1240698819881	6.38706697134403	6.58543322452062	6.02103788134366	6.45477496818785	6.62265162999338	6.67374081746677	6.53715934997867
CFI_32585	12.980839299583	12.8097392787381	12.9111613139214	12.9136737208159	12.6759635956385	12.7311539657144	12.9397243123983	12.7988838065219	12.7151406053463	12.7778446688698	12.6195002782533	12.706332202223	12.7369551076916	12.843150691156	12.7281167128281	12.1213338608838	12.4771794167578	12.896683356433	12.7350029308343	12.7818333080642	12.4129284851535	12.7904227564258	12.7087116576934	12.6830794781364	12.8080841592138	12.8615036105638	12.8012050831275	12.5524484558447	12.9582666658162	12.8056310517713	12.5762364920107	12.6185412012547	12.5945062899938	12.6843538954491	12.5820686908126
