ID	S2P2_F03	S2P2_G03	S2P2_D03	S2P2_E03	S2P2_B04	S2P2_A04	S2P2_C04	S2P2_H03	S2P2_F04	S2P2_G04	S2P2_E04	S2P2_D04	S2P2_H04	S2P2_A05	S2P2_C05	S2P2_B05	S2P2_E05	S2P2_D05	S2P2_F05	S2P2_G05	S2P2_C06	S2P2_H05	S2P2_A06	S2P2_B06	S2P2_E06	S2P2_F06	S2P2_G06	S2P2_D06	S2P2_B07	S2P2_A07	S2P2_H06	S2P2_E07	S2P2_F07	S2P2_C07	S2P2_D07
VNN1_10157	7.51535519597081	7.54058796589621	7.2760255318806	7.39150403194874	7.16645176324697	6.86652743377887	7.25877084059682	7.70968441549213	7.06100887858394	7.94674536194938	7.05335012273126	7.23483876517771	7.26243858047347	7.16487952255594	7.37791793143768	7.44000266023026	7.37970008186853	7.7095111856202	8.09113131880168	7.96311137518262	7.52788624647988	8.05473839766793	7.82371354233042	7.96694954283401	8.52413977586173	7.97518531483895	7.96878784463477	8.7042929835841	9.49786677770794	8.68531703478497	8.40314587110298	10.1929809768083	9.6145689951042	10.3738919352063	10.5525091654741
ICAM1_8859	5.64402017886495	5.77365215940614	6.11100262288509	5.6054715460017	5.62414744907104	5.80630466280337	5.52904700251522	5.71311603101066	5.60886904566607	5.23930791279788	5.61518383581352	5.76368615305294	4.97931954612164	6.99723276334516	5.35741532514053	5.4787464135926	5.60576513956174	5.66366030017591	5.62383005038455	5.09962799708949	5.23869492308592	5.54832013109779	5.19718879458072	5.45974252425775	4.97380916990702	5.63849837852874	5.7786433225964	5.10251382501607	4.89875132077177	6.36915152334365	5.01316169728804	4.795223209055	5.35689116960062	5.07346030377849	4.94733305114615
ARXES2_33115	0	0	0	0	0	0	0	0	0	0.421077907176467	0.289594604697332	0.282039181396673	0.246404860600186	0	0.279629341759767	0	0.553477506380642	0	0	0.247332965983921	0	0	0	0	0	0	0	0.276338826115344	0	0	0	0	0	0.334994714226659	0.338207304270497
PVR_9625	2.68819736469883	2.55641710131905	3.00329327010663	3.07034514220782	2.69207915557335	1.67733680392254	2.39556009448476	2.82273232127786	3.38486609689774	2.75740062343172	3.05931949870663	2.86025902131179	1.6937515139231	4.41662044786167	2.51233445830731	2.00766171687948	2.44423787433144	2.16087715090018	2.44153079272252	2.18688200646636	2.38991390423005	2.3077335088361	3.51022910231922	2.74253048800242	1.876725415687	2.30353700188991	2.2608445055592	1.6374594970265	2.02401876851073	3.33250031351142	1.73782465200501	1.85947574782836	2.33592096736556	2.22008815110694	2.14873943600286
RAB31_9640	4.99346742977344	3.38075066308879	3.7425672901219	4.15825376959774	4.08467103837785	4.12827478274396	3.99243735182866	3.63637105278823	4.37507672631293	3.48127656193042	4.06893476767192	3.86814103132301	3.5380537208683	4.11148231528793	3.4663007919083	4.02877277500052	4.17537243656323	3.87484365119531	2.84900832264341	3.23503502329343	3.24527075985191	3.29279031529842	3.10809305288006	3.20514242743002	3.29858434971742	3.67919830130117	4.19901762131779	3.2068904360689	3.35070300193262	3.78347569739141	2.50351094372449	3.46428598625134	3.4081326860578	3.30548537456432	2.7680920444664
TNC_33066	1.8962865706983	0.431619123480803	1.40673290797576	1.15917089651931	1.30489481406905	1.4053266236579	1.99395305627746	1.28060852451536	0.894308661184255	1.23616209058146	1.47424088054339	1.65952413240188	1.08235112388335	1.89306462951262	0.891832796510952	1.32806072005869	1.2647508278856	1.75996892041988	0.915662871814858	1.52110463091773	0.957916384935901	1.17450304437051	0.429186044968609	0.507578098899058	0.49686043726233	0.608704023920055	1.9239612806015	0.707836149387341	0.690131273474307	0.417982006447308	0.951682907938378	0.779834524904828	0.590809366655674	1.50060297374688	0.842016755114517
GAA_8675	6.8723562456381	5.2598700177035	5.97558486458439	5.95052275120597	5.84059311675588	6.5861567163859	6.73732135037653	5.80819065707743	5.74599283057278	5.5522751306047	5.81068981915229	5.8199098657569	5.56038915081642	6.38860510891199	5.77306339012253	6.11708925707444	5.85338967972561	5.56791701711668	6.40545068498402	6.51885297420679	5.65092968624392	6.0089067345462	5.36425544516905	5.50062578269449	6.6627466326106	6.91497874183624	6.03729102361076	7.03859649531583	5.6371381140892	6.5351769779365	5.00618955253028	6.84539589804043	6.68263481379994	6.49808318094154	7.04189396995355
SDHA_9796	8.91690347776983	8.12926823369297	8.64016505760313	8.60390594408824	8.65355983991132	8.55179467447928	8.47749616920071	8.29481244769621	8.96719225490932	8.05274713774622	8.51311327987855	8.304839395458	7.96585758794712	8.29937678124078	8.62638919124422	8.46079967261782	8.49237961207794	8.30905270086854	7.73374828453649	7.9113784745544	7.90217902067035	7.85099358991384	7.57118104328127	7.81990101537945	7.60775760039513	8.56574918807406	8.92086357166988	8.078876196718	8.18106475425689	8.48473845180919	7.45682129182569	8.07345752435586	8.197319197648	8.19966692075645	8.16812272114117
CYCS_8414	2.96464721746047	2.55641710131905	2.57387905518105	3.07034514220782	2.9878843559027	2.19293618946068	2.88610529962763	2.74795815352756	3.34478150372934	2.86198708222009	2.93902021659882	2.98353063843434	2.34977335081331	2.90961204847545	2.93175342257597	2.85965269407212	3.08438820753317	2.90876485604479	2.18451596810106	1.92795742959551	1.74685276774792	1.88514299994632	1.25453041957147	2.49525450974939	2.16821977909787	2.22472609488542	2.67573781584561	2.26306891158792	2.02401876851073	3.12586936367965	1.73782465200501	2.40642880145966	2.10084123441279	1.50060297374688	2.52489747501757
LOC690911_9146	3.86914987145351	3.51883628680329	3.44733635210692	3.3861524567945	4.08467103837785	3.33174474726874	3.48907432085432	3.86586296480945	3.98954434267541	3.24385016286282	3.74938611633878	3.56017876561999	3.39212706958864	3.10431227229801	3.43810874207199	3.4210642631559	3.37189062916101	3.64392060207991	3.01640450514464	2.72472047216595	2.78463799285165	3.23892014066984	2.92276876075403	3.26964104456077	3.41437562526158	2.86763268193244	3.13505145095117	3.23950490583974	3.1658467018991	4.04077331818686	2.50351094372449	3.07181711146702	3.63076161271896	3.05631265891183	3.06990365817453
