ID	S2P3_E10	S2P3_C10	S2P3_B10	S2P3_D10	S2P3_G10	S2P3_A11	S2P3_F10	S2P3_H10	S2P3_B11	S2P3_D11	S2P3_E11	S2P3_C11	S2P3_G11	S2P3_H11	S2P3_F11	S2P3_A12	S2P3_C12	S2P3_B12	S2P3_E12	S2P3_D12	S2P3_G12	S2P3_H12	S2P3_F12	S2P4_D01	S2P4_F01	S2P4_E01	S2P4_H01	S2P4_G01	S2P4_G02	S2P4_F02	S2P4_E02	S2P4_D02	S2P4_B03	S2P4_C03	S2P4_H02	S2P4_A03
COG4_8348	5.74710242765937	5.87537428519821	5.76261552035408	5.56910625728622	5.57282161045731	5.73535686905313	5.84879176675464	5.84055092734124	5.67274467580444	5.5293656165414	5.43438760783449	5.60918094617372	5.95187944248821	5.84633613143805	5.82857725438763	5.21638381571544	5.47223048407191	5.21784404184345	5.61187352658572	5.25150058306623	5.88723905929124	5.24584312361525	5.39612227073034	5.50639335652064	5.60908694473797	5.3546431609491	5.15410700890267	5.57151553022275	5.71936574424835	5.57525047673821	5.50198280470537	5.56373137586867	5.51218175162003	5.49616045611313	5.64839801996888	5.31630228007998
ORC6_9399	3.43494200474893	3.33572850072531	3.20506264196347	3.2403236115317	3.09209401815944	3.44897933042659	3.50168945023455	3.0005266278984	2.54889070716175	2.68307894533404	3.57135113868815	3.23496310962463	2.81551809289661	3.44674842811836	3.12809989948183	3.46031370120311	2.42734268250597	2.55046224747495	2.69799008617657	3.30252753109685	3.40755032447808	3.06850358117795	3.24245184612041	2.49688123880216	2.54849295309741	3.14610230701088	3.27080717139066	3.28853165460409	3.10450088386741	2.90362630288496	2.98632770173002	3.02199324780978	2.48814394025137	2.77654527971099	2.98615851037301	2.8558389625467
MLEC_9235	10.6963994263873	10.7526169016068	10.5864458610002	10.7673840415699	10.4739406139691	10.6607267092165	10.5125098475313	10.3420090095675	10.3727845049578	10.4908316680739	10.4692934059353	10.4478526108252	10.4109250835596	10.2715521231472	10.3566367034682	10.1667461063815	10.0118669145146	10.3713889511003	10.1850776098443	10.1726502457255	10.138065505703	10.3081805163825	10.1307655021676	10.1981583769026	9.87311642836784	10.0352430870966	10.1931946935819	10.2303821915488	10.0595661734247	10.1491547415212	10.1627933369684	10.0870464497304	9.84313715703596	9.92439144454923	9.8836949169505	10.0794838094119
MYBPC2_33202	5.33125403960816	5.07421286176125	5.10838200769455	5.07655847960933	4.37256453896643	5.47566813307169	4.9377390780175	4.53164531133727	4.81992136945165	4.38415933677663	4.30203999048132	4.51112225620571	4.36660832669129	3.39108914861792	3.58531893404843	4.49524436214899	4.90980921897928	5.09272432484765	4.48908644040266	4.12649543770123	4.42772357052732	4.85237944468189	5.0619953102007	4.51703336567805	3.82424909089174	3.74774118105554	3.27080717139066	4.2127517668312	5.58874670690748	3.39348106828053	4.69645872146993	4.05148726928584	2.54105076100466	3.2531279412684	2.15762802935948	3.93450522514959
ELAVL1_8554	6.47524954651754	6.65902940329672	6.69941139002358	6.57795830129997	6.41941832609514	6.40843133717956	6.57906433778457	6.18962742188307	6.39622361235326	6.4132153676571	6.53065535614778	6.41840303139513	5.59428404286399	6.44699871682938	5.97596528862922	6.21190943719163	5.72115457064256	6.25782586966108	6.50888894961055	6.29361904229628	6.32138295823244	6.52437540133132	6.29695433693832	6.18309223728867	6.45304376321631	5.83988437257231	5.66117964527369	6.0541199832716	6.67731635991489	6.38458224245042	6.43300439859055	6.39658399429832	5.91429005680845	6.28186058560272	6.14829345900512	6.37706293559051
KAT6A_8940	6.62090149639709	6.5406809898809	6.43577144281404	6.71843612934639	6.60616840273565	6.5561374185586	6.80647347770376	6.60940492227121	6.41527528743917	6.51366194766006	6.43949103281827	6.80145193532901	6.27618253609445	6.47403863341978	6.47611789464051	6.60315948328377	6.44274415792259	6.53017779232147	6.64459187081633	6.42398752589649	6.44267051870472	6.38320455816156	6.43238493635422	6.34493317054414	6.50899380590492	6.612482465507	6.44197841516943	6.67533373552992	6.68444172927091	6.49239606763385	6.49338769161126	6.59565052711325	6.53592842316569	6.64030442509691	6.67850771663015	6.48473439049936
ECT2_8523	3.43494200474893	3.89999032767924	3.75329367472266	4.16189748313167	3.79742741506587	3.63770742749789	3.45862310698652	4.08463063038808	3.36883322372925	3.69253333927315	3.21324778603467	3.4008814770785	2.81551809289661	3.07515428165183	3.31692466936878	3.35571816973803	3.28659065783961	3.19702271389815	3.69776718597402	3.13434267524672	2.69045041084218	2.74857661060829	3.3828508273514	3.16385900044419	2.85519399443359	2.78438984656854	2.48911283294755	3.07412195861487	2.47523729294546	2.41197744137727	2.48963589186025	2.66497611499823	2.31667998104909	2.92288430677684	2.04111191269331	2.97141320872641
TRIM2_10081	0.78828985858951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312466416002193	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1I2_33293	5.07536888634307	4.99926248017698	4.94684405592619	5.31532953428226	5.08648115472443	5.01292728999088	4.54346925634675	4.96590513182426	4.81992136945165	4.88543702491664	4.61568719840352	4.53512197858543	4.09642384238307	4.84035663478542	4.64636523784679	4.95513528298986	4.59032445918435	5.01603263431615	4.35479791499111	4.74821900069257	5.18303324525293	5.29045818148983	4.74823003379875	4.78349817103758	4.49054336611941	4.6560503134833	4.62342330423357	4.87468059446383	4.71899702210541	5.15284309298361	4.72191891254936	5.04670968968598	4.972130187218	5.16465501220125	4.65721966821973	5.15452401844998
GLYAT_32740	4.97888636603655	5.25690593174023	5.26510986889314	5.14275536359545	5.66743100646325	5.99041147752195	5.04353169081718	6.09229285601205	5.65147805437106	5.47177288334756	5.32892040586048	5.57486059821275	6.83598411111171	5.7277714557903	6.05767279714915	5.38531570936432	6.15105267552126	5.61884176440848	5.91601567667942	5.76978361017699	6.47673311568569	6.48652663011743	5.99171878835729	6.27248569090739	6.76019319451668	5.88850376424768	6.1803478558784	6.4600383581746	6.4284600878032	6.35441718047929	6.12482008475962	6.42675969538499	6.66964386502566	6.04667796670155	5.60800883258417	5.98623880153457
