ID	S1P3_E11	S1P3_D11	S1P3_B11	S1P3_C11	S1P3_G11	S1P3_H11	S1P3_A12	S1P3_F11	S1P3_D12	S1P3_C12	S1P3_B12	S1P3_E12	S1P4_D01	S1P3_G12	S1P3_H12	S1P3_F12	S1P4_G01	S1P4_H01	S1P4_F01	S1P4_E01	S1P4_G02	S1P4_D02	S1P4_F02	S1P4_H02	S1P4_A03	S1P4_C03	S1P4_B03	S1P4_E03	S1P4_D03	S1P4_F03	S1P4_G03	S1P4_B04	S1P4_H03	S1P4_C04	S1P4_A04	S1P4_G04	S1P4_F04	S1P4_D04	S1P4_E04
ACTN1_7980	5.92433348582372	5.91103380226703	6.29917682363522	6.51313242234492	6.72496941017183	5.84445397032672	6.97683163929322	6.19709575829356	6.06379606972593	6.27689416024716	6.54188226076856	6.26001743293962	6.72294996698173	6.62676829059773	7.0360677102419	6.73578674753236	5.83496387121833	5.86750754001465	6.55774254593375	5.91509820213052	6.9900443671746	5.63477150842592	5.8566028219182	6.1187908813868	6.72999414535901	6.33886770352068	5.85993053601943	6.18493832470776	6.07545040421578	6.24199869080078	6.16001641942861	5.86183621334172	5.43632309030267	5.3733464826233	4.95300489842156	6.11726559691938	6.11036228432753	5.4787144095333	6.31354946418109
DPH2_8490	4.52392119110442	3.65563375710518	3.33709113288362	4.27271820449946	4.28785035232375	5.01640521340649	4.91687451587899	4.28497760099291	4.30157081347022	3.83567987694556	4.19369968274597	3.72964794373471	3.9324833661597	3.45507403841995	4.27931004290912	4.47161217017709	4.15057077777661	3.86429036395389	2.94587855740355	3.62097325714982	4.20444672117564	3.75919514221888	3.91420077119416	4.55570386018474	4.11744995129282	3.40911843837592	4.53843567795903	3.39887044144237	5.08970212133182	4.10063989509897	4.55577977459167	3.43099781584423	4.46926213274952	4.32593215373202	3.75859668482981	3.00064073255405	4.1052940262606	4.16940461404169	4.08266410587515
CYP2B2_32473	2.05091099096344	2.49594710134249	1.63287556969429	1.56747467472762	1.27835620633019	4.64657932772022	1.01145406515632	2.893903193142	2.72594418240019	2.40481830455047	2.3592751733349	2.42778574274338	0	2.86302825142731	2.42899925674095	2.9465564493384	0	1.62606541800693	1.22717996644395	2.18023724940592	0.661017121652654	1.30762525477734	0.713543792055367	0.554960616938342	0.62222142139994	0	1.98736206097654	0.901480528465905	1.21543790828973	0.613252859628642	0.851410874843432	1.35431467405367	1.01385336005141	0	1.787621243614	1.05482751173738	1.55844893508529	1.07606120908958	0
ACOX2_32902	4.06336289255457	5.76477414830142	5.85138036220982	5.01888666030764	5.3546455621393	5.99394403894779	5.20210235523001	4.55549428493799	5.34645743238956	6.02336210033124	5.43776143574765	5.6707166993384	5.81988490227067	5.89950257850555	4.90411330980634	5.31621716893004	5.42291723196576	5.2690558044526	5.24336274016377	5.810020943306	5.27715923383808	4.99919222206831	5.34586776182899	5.35317946928128	4.80540452701097	5.15153733222454	3.19441196124741	5.14689758120338	5.55285078801044	5.22051372183289	5.60643321364358	5.24478678539234	5.46989043034356	5.41915335416723	5.09779388880202	5.5971936012608	4.3993186288091	5.143901156722	4.60435723998509
BAG3_8129	8.19653727147295	6.75144571228546	6.36195206668558	6.25325361150792	6.00989104639578	6.58711591735312	6.39323171319531	8.08736278612297	6.58077917436747	6.6522265180315	5.87862113424926	5.81988484314601	6.51360066801691	6.32186170324028	6.01313535607829	5.83653783911653	5.66208553611117	6.30836199786508	6.60819462988708	6.92841774436421	6.77720715830538	5.99326324409834	7.21101467611792	6.43264866189659	6.5396377788588	6.69894083397495	6.77118085820412	7.25094442767875	6.8867633906575	6.52527258337692	5.71350144654745	6.85493295925142	6.99890086183347	5.23931922275139	5.99262719977074	6.93328172863227	7.44408675464925	6.41950717717907	6.57713096191378
ST3GAL1_32507	4.06336289255457	4.52636175187395	4.50547739222712	4.32076826564401	4.84798072390908	4.96903184509396	5.66622125879525	4.22420726329153	4.59768101903539	5.01084123305781	5.26447339117435	5.04984467319683	5.60174281890625	6.4431094855096	5.86903454064338	5.71572567124778	3.65571492226101	4.51792779944702	4.44538797892236	4.76228917050994	5.60460967930226	4.38660794283319	4.69784389704113	4.63955371942772	4.4963177441833	4.74996641939975	4.28776464762486	4.57633217397669	4.61279467723627	4.14451039460093	5.32700012070521	3.33887280570167	4.64116955123484	4.75894612050826	3.92312265674753	4.14574119763969	4.44298426051775	3.80010713494924	3.86607128040169
IL20_32840	0	0	0	0	0	0	0	0.851277971615154	0.458797111146622	0	0	0	0	0	0	0	0	0	0	0.771003352439197	0	0	0	0	0.443071511421319	0.318164587305613	0	0	0	0	0.34265506779713	0	0	0	0	0	2.08484104467518	0	0
BCL2L11_32608	5.01955754728162	4.00748268923328	4.82359496031125	4.49840410525676	4.17851495309256	4.14799937427341	4.49753352367415	3.87476466786521	3.02032663269346	4.95744200431922	4.10988744902373	4.04250130468348	5.34463792752031	5.46563418432654	5.33866606288198	5.15399443036716	4.15057077777661	4.22781442884675	4.53156695243641	5.31669204099312	4.96450232138556	3.59275976545614	3.71772760132451	4.23472234216037	4.57458428526765	5.27618929929785	3.76571837928984	3.6850902246159	3.40399244531475	3.77746229737141	4.60428910170764	4.05028952958568	4.59628008293709	3.84522311014704	3.01522289029287	4.49501689813242	4.04988869881239	3.63832261039894	4.67275479461489
VCAM1_32349	4.52392119110442	5.33800975055047	5.37938656040686	5.20960936424878	7.26248781702607	6.10767890210325	6.02809006564834	3.70724591270694	5.34645743238956	5.92479169949414	5.85307168814325	5.68716495688725	6.43647511816744	6.9403635557229	6.54732130034355	6.71653974926105	4.81116616793726	5.61453633218222	5.6031417596594	5.8635160110503	6.40416005897477	5.6131918432239	5.77466806646581	5.79230641118458	6.19846211241603	5.66795371860096	4.82920503631112	5.07441926684131	5.32201179178568	5.50764137599395	5.91923460325023	4.60592955414261	5.33066407004914	5.3733464826233	3.92312265674753	5.03497980470241	5.19633630882269	4.5339025436965	5.10279880436458
RAD9A_9651	4.52392119110442	5.06552470715355	5.95274950666386	5.48733904416373	5.27720548779123	3.05636209080737	3.82855489416659	4.6963860581283	4.32870474551471	4.97546225235353	4.21391345958563	4.44195946298751	5.31621597293518	4.50965523643705	5.10129293044254	5.09559665647387	5.21329890133644	4.91713594667136	5.26867768164706	4.79936369974001	4.33481859109825	4.04361082619217	4.8007830412774	3.86836351666931	5.17913565821391	5.02605451517735	4.49166526693122	4.74147409017433	4.40341884293686	4.86167410519037	4.55577977459167	4.61904546780527	4.21590213230029	4.20038213990626	4.24676119397687	4.67312887612856	3.73559554533495	5.25971817840896	5.24436806659145
