ID	S2P1_F01	S2P1_E01	S2P1_D01	S2P1_E02	S2P1_H01	S2P1_G01	S2P1_D02	S2P1_F02	S2P1_H02	S2P1_A03	S2P1_G02	S2P1_C03	S2P1_D03	S2P1_B03	S2P1_E03	S2P1_H03	S2P1_A04	S2P1_G03	S2P1_F03	S2P1_E04	S2P1_B04	S2P1_C04	S2P1_D04	S2P1_G04	S2P1_A05	S2P1_H04	S2P1_F04	S2P1_B05	S2P1_D05	S2P1_C05	S2P1_E05
FCER1G_8623	6.27319641566624	6.55050545420848	7.68597797127621	6.88336978570137	7.40866135049775	6.22296592058709	6.47027505020155	6.36278296186388	6.67092687330197	6.52489895866641	6.07686363855096	6.25983786232084	6.61285798973772	6.90945785146007	7.89334333268045	5.82196328217187	6.82817077887527	6.48237153667636	7.2530901078534	6.45806750289904	7.4772970684612	7.10074134828261	6.83166067380064	5.89313191029343	6.78614796028734	5.16711735131326	6.62013174786455	6.66736019021978	7.79748983081062	7.57434832857733	7.57209078663916
CYP2D1_32660	5.72780299762295	6.24320480548825	7.3250377764883	6.29631353764723	7.39405177251668	5.67456594953685	6.27685109305705	5.43174982468783	6.160016189585	6.3426092084266	6.00185024557818	5.20939763073042	6.23284030726909	6.37920844442393	7.47517588692832	5.6022750199696	6.90450056737938	5.96372497314418	6.24806171925564	6.50580734842071	7.0730231444678	6.49692770822656	5.92479590939596	5.08097409590855	6.29172360364531	4.61261393273126	6.0796114846727	5.87492836745386	5.05010434168834	5.65915971986974	4.43753743660563
CML3_32841	1.61509647726046	1.26927730252167	1.84558735315071	0	2.04914479639819	0.959640382085726	1.07894187863999	1.00713181268945	0.775845947931599	0.789672833065017	0.464681694913012	0.731638775922882	1.29997923748387	0.757956921137839	0	1.06323116402557	1.32291033995313	1.64044302958667	0	0.750686182950633	1.19352980139495	1.56357282592217	0.472989352848668	0	1.42515321598027	0.341008005651903	0.252076014909221	0.386079141515608	0.96810992723907	0.714149273443019	0.324299919737675
AHSG_8003	11.2996243994074	11.2957656428591	12.7014992785576	11.4208522563033	12.4145057070233	10.9446829523561	11.4329910160382	10.9194201063753	11.146242969883	11.096930067272	11.2476677533434	11.3615093049937	11.425234986102	11.6263356484767	12.3557567883939	10.4583608321067	12.1833062787263	11.1791192548911	11.8303257379176	11.7987835878138	11.7723538783836	11.9591283775501	11.4136960540592	10.6011733309599	11.6271880201311	10.3926810357337	11.5010389047045	11.4443795604212	11.6820324943165	12.1831708703843	10.7232651881049
GJA1_8709	4.79821494400447	4.81508105459445	4.14369261706581	4.02712258884399	3.56589640364561	4.56534134501957	4.49711613071036	4.68609853888359	4.6008046683908	4.62539779434345	4.99009444909387	4.7420302035487	4.67201478299744	4.46456171908276	4.23422622806398	4.46373505822413	3.75640303227975	4.83435737786806	3.99321025277281	4.31361380234073	4.52953977849511	4.200483094992	4.50633653645544	4.86343371558317	4.40770367609508	5.16711735131326	5.03929514455649	5.43774367844404	5.98089221268265	5.71300150487519	5.65544105209435
MGLL_9227	3.65014378040412	3.98270002257247	4.39305908099699	3.34034715431151	4.5395042427677	3.17488781250514	3.54595193887145	3.62778211941716	3.45558528358951	3.1128944520438	3.49317935556787	3.26105159416249	3.89640818762416	4.01828429194788	4.85815525140109	3.22552920526091	4.45002228162247	3.39633350459191	3.80853235473179	4.29701088083996	4.38889930320229	4.57399517507056	3.82694543902989	3.43176452207878	4.66363510428359	2.60078934559633	3.95511648876563	4.430156457028	3.86583165812358	4.61385989698901	4.77957258110253
BAD_8128	1.95926908469852	2.38714845913853	3.25143398569157	2.40483769907213	2.68284922302225	1.93902912167843	2.6644677058974	1.71030517547349	1.94439930342751	1.67176763519751	2.47512487649826	1.86476931707915	1.4996886269629	1.61978026242721	3.00015792064196	1.66866951177835	2.46077087798564	1.64044302958667	2.27109434883297	2.63997587959062	2.93547888524559	2.6854727021535	1.7346098515917	1.36692534555406	3.26519997104733	1.64760475074526	2.48080029900376	2.89599583164112	2.21221097195964	2.88853004102749	2.91714045918586
PTPLAD1_9615	7.06921372136907	6.93837614351838	6.28685585144077	7.23663252372727	6.35813410314431	7.65997974245086	7.09041220551861	7.29026159987573	7.25677161806722	6.97274652203571	7.34434437175171	6.9754362157695	7.0902017704325	7.00957564829464	6.63877913237793	7.41767183431408	6.3795505396133	7.34401342462197	7.01347186005486	6.87366961290532	6.81991246207243	6.69148007669723	7.32433184149112	7.69078187823297	7.13651374397736	7.81535331122214	7.51978668184319	7.25629631540284	7.65964254502927	7.05469877854628	8.29255323959505
LOC100361706_33302	1.40634981657571	0.435737363688059	0.454776372790504	1.05237412971603	0.651366852917663	0	0.737679568586886	0.589720957623546	0.307309502309259	0	0	0	0.449496241494295	2.263340173292	0	0	0.585508274984267	0	0	0.541080577773487	0.893810762964841	0.28370444941898	0	0	0.643219012324903	0	0.252076014909221	0.386079141515608	0	0	0
POLG2_9521	7.01500860158961	7.10283618672249	7.00535728725148	8.22926239090902	6.77002598618445	7.36154672717766	6.8555982092893	7.91352616198814	7.00809326802743	7.90693763901649	7.29980596626675	6.84888193980479	7.72245868085667	6.96637724884751	7.12006350078214	7.48649101826174	7.65626461428873	7.68565499921857	7.00919229882031	7.69289813631129	7.49112500653897	7.23791226026093	8.03510808330836	8.32902586885402	7.5537865567181	8.27629773383705	7.75472362592469	6.09164250630755	5.8720361740793	5.59050159800447	6.51948559357231
