ID	S4P1_C06	S4P1_A06	S4P1_B06	S4P1_D06	S4P1_F06	S4P1_G06	S4P1_E06	S4P1_H06	S4P1_A07	S4P1_D07	S4P1_C07	S4P1_B07	S4P1_E07	S4P1_G07	S4P1_H07	S4P1_F07	S4P1_C08	S4P1_B08	S4P1_A08	S4P1_D08	S4P1_F08	S4P1_E08	S4P1_H08	S4P1_G08	S4P1_A09	S4P1_D09	S4P1_C09	S4P1_B09	S4P1_F09	S4P1_G09	S4P1_E09
LOC606294_9128	3.43565394583984	2.8705954159333	3.79474171911624	3.4654641662599	3.83309291980595	3.96470424163971	3.25668341753464	2.85496581861345	3.70007914134725	3.18943610597835	3.40434144707551	3.49904822786389	3.77716919020488	3.52155424788366	3.26360131647776	3.45439247853441	2.96686257211481	3.41788975784386	2.91971420598711	3.41062202792092	3.24548312326168	3.35493722605766	3.48483997012226	2.94563138859179	3.99791336128323	3.38317594215553	3.63165042516654	3.62602313856436	3.81401561680442	3.83891010988681	3.80000828019912
GDF9_33177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282804523039761	0	0	0	0	0	0	0	0	0.239329943136958	0	0	0	0	0	0
GM2A_32907	7.97830227762746	7.47397148522572	8.26573483727093	8.19756272008073	7.91997450972937	8.02531861845866	8.2202724771465	7.55364771050549	7.90770333837455	7.96401252783036	8.28154907645176	7.79427329796529	8.30213757500673	8.29156695829315	8.70032386159705	7.78380208512647	7.93815080622869	7.97122519600924	7.85576874339084	8.43158351279215	8.24834486226884	8.1489116984362	8.27085132439088	7.89531650417295	8.24776588728882	7.87919688565641	8.00539171591652	8.46632187115527	8.41321393960216	8.41575695957912	8.01762585882829
KLF6_8969	5.50143815270101	4.42756766346289	5.21353272577502	7.00480190134349	5.56626765044134	5.23009799105764	4.55720064940166	4.77017006674023	4.21686109153823	5.62227043642787	5.26276089316957	4.98256544197166	5.00570637457574	5.25288713427467	5.17300431294	4.79976762436016	5.18169666120318	5.28132614121072	5.09403121302921	5.40889820245618	4.57933569736974	4.77185511501119	5.43582945144626	7.21718723702042	4.79211368850748	4.67171344187882	5.46785409771555	5.05086058580172	5.18090053138705	5.66990409694196	5.19197492798939
LSM3_33166	5.42288818517732	4.79872943768535	5.51139012072343	5.000879446011	4.81591397349467	5.32781894307822	5.22182312707384	4.83122371780781	5.14529786243464	5.20299555368934	5.15041172441262	4.95463215065814	5.25144629216882	5.34879403947639	5.33157992815826	4.85478955449705	4.92975783216195	5.01932165357689	4.70855473329627	5.18548850088608	4.89943280421979	5.01032168620621	4.91882639376456	5.10938698933301	5.54944883446064	5.04062651288245	5.38285641071438	5.43672032425449	5.26500115245919	5.6620250799033	5.32200557816765
PCSK6_9443	5.62140853848378	4.67542973936558	5.63670977834764	5.77492949077588	5.94292464982799	5.92177651172353	5.56491251502378	5.04513132998872	5.35717090448312	5.78112423687661	5.92894424988929	5.59357746998961	5.54388781986897	5.81961382530117	5.48868542856232	5.86759357434742	5.52107703479481	5.71885855466511	5.71189427978094	5.95303800818946	5.66194673066252	6.10355416025729	5.79408133925803	6.16386219965814	5.54387947691409	5.73298291026715	5.93401274584458	5.78481728443078	5.9330535338941	6.1301788911844	6.1977431075706
CD36_8243	3.11068490069559	3.31387924996335	3.4447422398374	3.57619901685595	2.60405589663638	3.66569356368176	3.4889844695952	3.71509248056393	3.40563858705194	3.58367833888506	3.19372373553738	3.71424514282309	3.47459402081536	3.57541410725959	3.47871818534937	3.48261637637964	3.26651617279491	3.23205783699574	3.11904912256087	3.01401468311179	2.8381127711137	3.74136528128752	3.39600754291125	3.10740759555004	2.87096628778663	3.04015530954357	3.52990088740285	2.25765831896259	2.87078808285485	3.08519391909124	2.76934860586131
TRAP1_10074	7.69048214330172	7.55558723575014	7.48376912828399	7.54779741314072	7.60837949758902	7.84267796020456	7.45701152226738	7.34069929327971	6.87490129707434	7.44064908035231	7.3680034615641	7.5478099154571	7.53268343679498	7.5940020651637	7.39232980314027	7.37518563386953	7.47797576550878	7.53190964049958	7.23609810268762	7.63940008937469	7.58412177528717	7.1717824607395	7.49323430162285	7.61267981787257	7.71888389055787	7.39228458691987	7.4184962435103	7.7172401964468	7.45283538309569	7.71283059211802	7.52143003260554
CCL5_32784	2.01976249022385	2.64648323515132	1.50575552310175	2.12058332105718	2.10869207653165	2.17222944992897	2.31203330750232	1.81870636897344	2.07009171544471	2.75136945913789	2.12292346455318	1.89844993588695	1.49350966088108	2.02071036796311	3.01069143452375	1.05851569101715	1.58755438263193	1.84133187520249	1.08487292683269	2.65731289171667	1.9889104651731	2.61040566863499	2.17309777902208	2.21933776480897	2.31318028741361	2.72684508321544	2.49627867241756	2.63237324899222	1.66787587232307	2.01796238997278	1.92647743094731
GNRHR_33263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRAS_33089	8.59959858069678	8.07417534630383	8.71897493392461	8.70065551451767	8.58904157792316	8.67390617518356	8.63738072774084	7.99117476413743	8.58982314618447	8.57759062660944	8.72160336388231	8.37245659588435	8.50837420844249	8.46030944712131	8.38422445483193	8.55239219746077	8.3745617609207	8.21857055124062	8.4512523576814	8.54528472453107	8.5257781168284	8.22475347953207	8.36674007113211	8.37477894817722	8.77609389339582	8.56586095126037	8.58729474054694	8.56866837239101	8.54605279012755	8.68042913156254	8.52426919857726
COG2_8347	0.726551666628778	1.15552772237204	1.50575552310175	0.911680964962816	1.3482704804724	0.908273706366976	1.03113970614901	0.881703092591257	1.13729046653725	0.779633746203578	1.28580556263592	1.14567723283114	1.49350966088108	0.522893030395821	1.68081747301905	0.900126832939789	1.38090429486727	0.896183199720097	0.714293197798295	0.987734451547032	1.04298724904969	0.987006478481716	1.22472412139563	0.686582139395432	0.927685168090108	1.00258212497505	1.30864605495364	1.64499022881124	1.06262746597817	1.41343071476654	1.05478417962328
GBE1_32816	9.08732334211501	9.48421556677768	9.07077098183959	9.0220122240178	9.06473604882771	9.20722262637348	9.198505417709	9.64884245748454	8.73499707062986	8.86016101174415	8.98311168159615	9.03812124757632	9.06781274649563	9.14755192976871	8.84922228633346	9.23712149631921	9.20011272380042	9.32038717240547	9.31050392938947	9.17850913611924	9.28377214787045	8.83441780029208	9.18853314716039	9.58097433775398	9.60126929650035	9.74830502101077	9.84609016672037	9.80498945015125	9.99719778280192	10.1796179121336	10.0007564308856
CTSC_32456	9.75648711411646	9.55285927069104	9.4846745881213	9.15819572813233	9.39892596424538	9.50114246497215	9.22491434350294	9.58633461090929	9.0214229462566	9.34501856952225	9.42570202838414	9.28872150767348	9.3879468384896	9.45287437852675	9.44643202768377	8.87205201227213	9.34283926152051	9.34064841606673	9.18113823180652	9.61925097789009	9.4311179246705	9.01560400445153	9.43939512353289	9.35391340958347	9.7441089328239	9.2320448547869	9.25212592615499	9.61235692046237	9.42258619749409	9.59217090466492	9.50914349753564
