ID	S4P3_G01	S4P3_F01	S4P3_E01	S4P3_D01	S4P3_E02	S4P3_F02	S4P3_H01	S4P3_D02	S4P3_H02	S4P3_A03	S4P3_G02	S4P3_B03	S4P3_C03	S4P3_D03	S4P3_E03	S4P3_F03	S4P3_G03	S4P3_B04	S4P3_A04	S4P3_F04	S4P3_E04	S4P3_C04	S4P3_D04	S4P3_A05	S4P3_G04	S4P3_B05	S4P3_H04	S4P3_D05	S4P3_E05	S4P3_C05	S4P3_F05	S4P3_G05	S4P3_H05
PCNA_9442	8.61489722783792	8.37096127636491	8.49028032494382	8.45229449424142	8.37366859319082	8.36931039523304	8.24751025305923	8.21453924452888	8.20149497974898	8.27830966030404	8.30516006630331	8.40079301708223	8.31799737227966	8.54809562868287	8.48766783497115	8.34669983831259	8.34637738135418	8.39046513928487	8.35356240607915	8.27123880371465	8.35629162989003	8.35376565267881	8.46453987117521	8.36103168864831	8.39149790678013	8.3551512820944	8.35119016662724	8.14752458855999	8.19281280299165	8.0592224959967	8.21702995760212	8.35341707681124	8.06980011546589
MYC_9271	4.08779065165048	4.17937824577767	3.22537753045484	3.86802867036693	4.2267374079472	4.08264114498013	4.14016056516106	4.1004993270846	4.36163578289222	3.99646054621522	3.66189800731152	4.52773381748702	4.00179110294768	4.28785610711164	3.7842394120053	3.7680085117446	3.97012391505545	3.77206334403417	3.92391065721202	3.28578124300963	4.40993164505846	3.94670530539933	3.89546905187365	4.35974424986683	3.41614680418825	4.2629426714773	3.64302962376785	4.06988201847655	3.87912910549524	3.93284422087205	4.04593223102423	4.09918472638925	4.14046102401097
HDAC6_8786	7.14522570728988	7.02743481967121	6.84041596824947	6.75311852329298	6.93625142482595	6.99330550551208	6.9243281605619	6.73748919918206	7.48326039305719	6.68700439073604	7.03837867411231	6.86914638938923	6.57742966000797	6.91313118628944	6.86494098477722	6.74797781747541	6.98635367769271	6.71244065856595	6.45166537181336	6.78065605758963	7.09334849962798	6.67454741151771	6.81250818895152	6.69530895372501	7.16179996854273	6.79560307108941	6.53483522229295	6.75039507429816	7.15453408028901	6.84301288859559	6.75682766174177	7.25571984421786	6.9162382491202
LYPLA1_9168	9.31667847748415	9.48964739665546	9.25310930953484	9.39821352108677	9.34008273486211	9.69011089489361	9.43883032330846	9.67196416084427	9.86811571842594	9.7613610370446	9.80887880511838	9.67646722979037	9.52832557057554	9.29137774688177	9.52813244904813	9.67461853864397	9.93619516983785	9.28142215248636	9.49584196151759	9.54370802824138	9.60346786123936	9.50806399603072	9.44248723206051	9.7210527934955	9.57492696544896	9.43858742292121	9.59681506691357	9.75641501135699	9.4580111184527	9.92102237686487	9.69796812650241	9.47573108920026	9.32085560868894
UBE2D1_10119	3.75753135479915	3.9489365049426	3.78737184659251	3.28447227239267	3.13435503818593	2.86065114773409	3.53409680288931	2.87209045567107	3.46173401465377	3.49236949686569	2.93759211701866	3.30274137966428	3.48823994801199	3.62607165515953	3.26956953588844	3.19283962359226	3.56360463599414	3.35445306918626	3.56584169911531	3.50651002256369	3.38990432931535	3.33890309816783	3.22172708265712	3.32604281288582	3.29209524102663	3.03380024053507	3.5094120368599	3.20501441447406	3.53435253616687	3.12093634687335	3.15087740615882	3.44128842336316	3.09792613772474
FERMT3_32542	3.32850070637511	3.48078337399623	3.46247094533641	3.05075087164885	2.90381215109173	3.07077337481962	3.40275706033337	3.48339530967755	3.58154685822579	3.23341883592203	3.13282927493481	3.00212976144333	3.51481277707432	3.97736336936986	3.50267696759437	3.42933585397894	3.3073487783644	3.08935713437866	3.12341870854909	3.97646966195404	3.58388296067974	3.6134025545032	3.7541975154172	3.21591715934755	3.91385069388422	3.76361044007436	3.36214425131637	3.36504440140408	3.50407851257931	3.18191509661285	2.78899194613531	3.08263695628435	2.87813123946603
HES1_8796	4.08779065165048	3.54830807694613	4.14611184684004	3.96096221551694	4.29186175403114	4.17648905350543	4.0552318630066	3.87735622018521	4.10592284338997	4.35751415990128	3.94793261048226	4.05948307662308	4.27483017182328	4.3824594503541	4.30672899189753	4.05982019306675	4.05607830612237	4.26614247397758	4.28957716723723	4.79276930363146	4.23934860500679	4.73653082448232	4.57923039190785	4.41062602476969	4.23908128759497	4.64618355105072	4.30643532757591	4.06988201847655	4.40669164697376	4.13140889572877	4.43896707442595	4.51204445813637	3.83884019477746
PMP22_32290	5.37007944830847	5.50464180451937	6.1754462692527	5.60302341550448	5.81583792054913	5.55831743910306	5.43753172805091	5.69825181151887	6.59816337321318	5.74456284951049	6.04325317957986	5.48951022659244	6.07780689867137	6.08230507896563	5.67192932478194	5.74773604244905	5.58925555329507	5.8547505263084	5.87149960822704	6.09289512390566	5.73209241829428	6.23709018364409	5.8208648244558	5.45112788167074	6.01390013505447	5.82577848083702	5.68965422680527	5.41076947476177	6.22619551302708	5.51395789450014	5.89180158141936	6.10522256461876	5.97050557229777
ACSM3_7976	10.8207699000588	11.2924945969416	11.2367614749871	11.2836436856433	11.049537742772	11.2266997248129	11.3215743200339	10.8486200030298	10.9935468100038	10.9392512916401	11.0153408558149	10.98835818488	10.9823168656597	10.7276250274245	11.2428517151004	11.3202492455019	11.1065220174734	10.9631817978937	11.2647167883067	10.8555364669628	10.9531902715188	10.8462735657033	10.6430738850401	10.7805315285128	11.1190501851644	10.7883336267399	11.5532801849613	10.590693779893	10.3140671820775	10.7854050633537	10.8495078192018	11.3279105729894	11.1756229917429
TTPA_33200	4.74121591605327	5.139005445901	5.4183021459675	5.1882676309785	5.22150883421665	5.50504672900004	5.35110048129496	4.26764034289213	4.32776521830737	5.14813106950378	4.95307519612301	4.82927036829528	3.77875242657622	5.34073589962358	5.31136605902223	5.57364464255038	4.17610956895612	4.88471701062851	5.60104366290075	5.33580223073405	5.19216241004146	4.5001385601252	5.30457542704223	5.22815527440782	5.37359788419569	4.86218037332856	5.58725823768922	5.03582378018543	5.15567603610993	4.53353865561765	5.18859088281282	4.83266431281866	4.50958115284508
