ID	S3P4_G03	S3P4_F03	S3P4_E03	S3P4_D03	S3P4_C04	S3P4_A04	S3P4_B04	S3P4_H03	S3P4_D04	S3P4_F04	S3P4_E04	S3P4_G04	S3P4_H04	S3P4_B05	S3P4_A05	S3P4_C05	S3P4_D05	S3P4_G05	S3P4_E05	S3P4_F05	S3P4_B06	S3P4_C06	S3P4_H05	S3P4_A06	S3P4_G06	S3P4_E06	S3P4_D06	S3P4_F06	S3P4_C07	S3P4_B07	S3P4_A07	S3P4_H06	S3P4_D07	S3P4_E07	S3P4_F07	S3P4_G07
PIGZ_32744	2.64746134718615	0.738109892824571	1.71670001411673	1.8108458021224	1.82273505839889	1.46172710744439	2.14586294738904	2.5624877091954	2.75769598219896	1.63681524555365	1.50416143532833	1.1946529479206	1.43092431332986	1.75662651457766	1.79266440037268	1.42417241062489	2.39460473448458	1.97904628794192	1.82046302427248	1.88258824952475	1.61377006460826	1.60384669537966	0.440557812396935	1.95137470691233	1.74719077164838	1.59963708895964	2.07473782255848	2.38144383282066	2.57704111223844	2.751841484184	2.33205956541474	2.35501409913263	2.31326263684938	2.68442229582355	2.46191439893283	2.13656039397317
PLAC8_32356	10.1492777236333	9.61940425193856	9.8059910557088	9.93037248208862	9.86066707777876	10.0767395989974	10.0172431835649	10.0370076073354	9.81024500615514	9.65301009510474	10.1512260208162	10.2974305076247	9.96880170608419	10.3402996268415	9.73089489397672	9.6805970537364	10.0519712724165	9.61453194947125	9.6395016360823	9.78391212649831	9.80200551609552	9.80298954076719	10.5316038231687	9.76657142402335	9.96293785158408	10.1406924067071	10.106099058513	9.82982437728861	9.92180462716751	9.98805314707266	9.76845355124025	9.94558160640195	9.69332373834603	9.5160605244468	9.66347183456807	9.98248676047292
GNAS_8725	0	0	0	0	0	0	0	0	0.322587968447045	0.337680535860126	0	0	0	0	0.250452428752884	0	0	0.316370127911261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39422326781415	0	0
IFIT2_8867	5.70826263153644	5.7606592220582	5.75939463751748	5.80137758308524	4.97499473993037	6.40177212454293	5.52542394039822	6.1892920952063	5.47895579200661	5.35128232433076	6.04874209509551	5.67995879878026	5.50589991845198	6.04327075665912	5.01260075844956	5.94508759467306	5.91033631563374	6.01134257817183	5.88362028477174	5.48122139685292	5.9371040559709	5.72813632655123	5.75101067304367	5.7433406466818	5.81738015601394	5.61075346072194	6.20071208029853	5.99407357396403	5.58486765043833	5.84160690099596	5.8509367057544	5.36615636517009	6.05541160178206	5.57539725033059	5.64682950315695	5.78173424500514
PLAU_33051	11.7327138528167	11.580129569356	11.7301065979716	11.670163762599	11.6512917873841	11.6526781330435	11.7259228975421	11.588089783008	11.7538977161487	11.8068014239604	11.6555598574106	11.4131087788581	11.6965740889067	11.4323210102266	11.7646293927763	11.8655741417497	11.6472437269717	11.8163146901207	11.7476884487436	11.6183246748626	11.8063024062076	11.8169448291496	11.3388393845464	11.6311307880325	11.7297565190865	11.6282884075403	11.8837285630249	11.9536594810779	11.8507728738798	11.7109669081833	11.6132332465162	11.794863135699	11.4960380198508	11.8511126303255	11.7496523338968	11.7868128211744
B4GALNT1_8123	3.09677550642022	2.32421578530299	2.37643901460796	2.18703254573173	3.37695635761119	3.44206528711941	3.27734135334624	3.1547989717316	2.7032294305081	3.06768183084732	2.89299151392109	2.62189727560222	3.13791208554605	2.69418095541623	3.22365805359003	2.12671199641961	2.93056120835769	2.78338282363736	2.93017167908796	3.14374166518588	2.73690587919308	2.89888575507008	2.66833118239879	2.27000209402273	3.06449619520739	2.93964101157166	2.5407756521992	2.49355446063384	3.11132571675492	2.42926032420108	3.1080415615291	2.07084520306597	2.04241010713059	2.68442229582355	2.58749121815889	3.0829876234399
IL11_32565	0.937919152525223	0.531395026982537	0.251652167340569	0.273861894326412	0	0.524660254224747	1.03845108805867	0.862253564075518	0.808768567438816	0.840902030197683	0.939827405409482	0.330879059595758	0.421413233499082	0.777132416576142	0.463790064419191	0.64265695035368	1.53236244231367	0.316370127911261	0.980994186786608	0.741436769925989	0.825939977470565	1.01418626900677	0.440557812396935	0	1.12334916275603	0	0.618658168924665	0	0.466849650173924	0.419428706178143	0.291815479720081	0	0	0.625572869683278	0.808655958883283	1.23808356702258
COL6A2_32304	4.03025056626373	3.51918497857165	3.91668328173185	3.51752724108744	3.57425918738811	3.93114688162953	3.90359568313864	4.20539369685735	3.81041607157293	4.09483711921732	3.83948918589724	3.71321606473647	3.60820371340331	3.45839469951501	3.36309050215113	2.95129321128577	3.75898711641472	3.61811036107353	4.44889156842856	3.73520439959281	4.39848245437047	3.76310147458786	3.14679156822891	3.69461499367046	3.67640419503459	3.92739347851567	4.18064799129125	3.23590455311106	3.88314902394583	3.82359818109586	3.85307632052452	3.96667403703295	4.07726276710094	3.6634245123345	3.90972246150598	4.02565433660567
SAPCD2_9777	1.50157985423205	1.22402685599892	2.14739001691035	0.876691564155807	1.01078328703932	2.02508668529	1.75341103065056	0.862253564075518	1.17175723883707	1.50896741423301	0.545127572574704	1.48772130773424	1.43092431332986	0.777132416576142	1.86952461203788	1.26483921873643	1.75092330107494	1.30518954252711	1.55956536640863	1.08388276396904	0.59943818472362	1.43274864594356	1.47801129643835	0.779770033891864	1.12334916275603	2.25436592961142	1.65158476744073	1.4245092629902	1.54123768583221	0.743985123932828	0.53441986069796	0.93709196285702	0.888091847394072	0.859361341227417	1.00151776227266	1.7561638514118
ABHD6_7951	5.43809460869608	5.22946254562388	5.36493030667521	5.23997185876616	5.43037560160285	5.54268692565842	5.36863956810887	5.38866434545982	5.42107184690428	5.28451952653696	5.45714988921071	5.08728375067229	5.59971746534694	5.32253240881463	5.47908258922094	5.41037254182613	5.53674263574887	5.14270388298438	5.54148437444519	5.47397039518299	5.38180206706818	5.63252182424492	5.00316230287411	5.42812970591402	5.69143400612011	5.5584278702723	5.48022902692268	5.57704906896677	5.4651896691553	5.48741305713842	5.43114836691739	5.23214645256729	4.94370728181352	5.12624844905822	5.20262380280757	5.22300669400331
MMS22L_33129	2.84426527481712	2.56036940048887	3.07591267956439	2.90308415160706	2.87652286000374	3.35198019164876	2.87265687385743	3.06365503619193	2.64662563278554	3.68566498256581	2.48323372307101	2.2044266593462	2.75852910367159	2.93760763515423	3.13303482126431	3.23542465745544	3.17688323442375	2.92983428236325	3.10363797118844	2.67236194589266	2.5591738922629	3.0247351701491	1.94749097960185	2.80194703012545	3.11443164465987	3.04481292077709	2.78448526544131	3.52687618875246	2.9777537779887	2.01313372572617	2.56850785369385	3.05611868444031	3.33262457470176	2.26296326990522	1.70254081023138	2.02055983483864
SNRPF_9910	8.62322395754526	8.29081874423351	8.58298317484746	8.48734309585928	8.57505910637125	8.72127342817626	8.70051204683205	8.73201430374739	8.6827684225151	8.57074377151968	8.61880231357506	8.35013372003861	8.54096681976246	8.54979236363847	8.52069241272623	8.57975778519271	8.58767576134898	8.35362128436701	8.52865205933534	8.52462995669101	8.55956774372297	8.53991044846378	8.16520997467522	8.35600257717307	8.68859488634918	8.5582835921216	8.60535497437461	8.4234105702902	8.57287313614657	8.6804073327964	8.34402876555765	8.16406619959654	8.35613960028002	8.07229194911031	8.33282084812339	8.5324238687626
TOP2A_10059	3.92546093389189	2.56036940048887	4.05543178104848	3.22675470319044	2.92553071431985	3.68280457273297	3.02052767050365	3.89761674206352	3.4292547884136	3.97897362458008	3.61461085060406	2.99277699746199	4.13936318141554	4.08234266684128	3.73581534952661	3.96266418626773	4.13423514695521	3.18450097334498	4.1338123389966	3.34792258512908	3.20820866125294	3.72652175023017	1.94749097960185	3.79736886459287	4.07980786052316	3.98138564737117	3.58215271352905	3.57863767216158	3.68310501054125	2.42926032420108	3.52812757523806	2.35501409913263	4.6001029575703	2.55714292102	2.17228527554053	1.7561638514118
KRT19_33154	4.88838264513853	3.75158482105702	4.57702828131654	4.21407461141305	4.72110577476301	4.70043424233612	4.4818110383949	4.84838628782525	4.26991184062024	4.80218131724962	4.46733627672307	4.15020784233453	4.39335368475278	4.12230723511076	4.43724317708836	4.28685576077944	4.26425043217195	4.25884528822667	4.25649347737958	4.34052045946583	4.16985865131959	4.46434867662507	4.48721216990878	4.91419098767399	4.76670630311293	3.84241644887757	4.26342344888544	4.64387368446529	4.81394839244376	4.54029131861223	4.59039365636695	4.49150851216387	4.19362266428765	4.75785106311996	4.32481047933568	4.19576767824979
DNAJC15_8483	9.25856790347462	8.96446378489645	9.1626190387163	9.12867422022158	9.35628547348277	9.60031480390672	9.37842574592992	9.75919766429653	9.45347189383497	9.24814315372683	9.58066044816023	9.92795231866316	9.12332185475707	9.44377726279863	9.18220947767465	9.28978400226987	9.47121876539804	9.055524993416	9.04075769130944	9.36697558703403	9.34042064369358	9.28714731265566	9.7846955798667	9.03623571875255	9.17095902134391	9.22474278943051	9.21693449211109	9.25031661161406	9.35480662599379	9.1389875129065	9.1767001807701	9.21359733630389	9.06025947765258	9.05790203485795	8.95212495320272	9.17704793735345
SYT5_33285	1.10077844420317	0.918883979340793	1.44102017248248	0.876691564155807	1.3348584011224	1.67490071474681	1.75341103065056	1.54021412077116	1.80971022873416	1.36867863073448	0.939827405409482	0.826468017622995	1.23692434260608	1.27943705663172	2.01195418552492	1.42417241062489	1.75092330107494	1.30518954252711	1.24083647136282	1.48107843327309	1.61377006460826	1.23859396057859	0.777584178527645	1.13406448421207	0.913715426631536	1.29306381253	0.342239786634069	1.4245092629902	1.10182787827436	1.74922744818732	1.69679424287624	1.50046041557189	1.43373577068008	1.23698746242793	1.1716113054458	1.89441021314442
RRM2B_33011	8.90878562537518	8.96895818342526	8.93495966457701	9.01610267499661	8.81828941389116	8.73841255397135	8.73571699893723	8.87290540343219	8.76234469313347	8.7528700528207	9.25552317490721	9.4989609050283	8.76336904419981	9.17888884824146	8.79887927635952	8.85358530524675	8.96559485465485	8.97345691182646	8.9836220701911	8.94350814140262	8.91018649034014	8.84408929223029	9.60846276938585	8.98476952418909	8.79673153891414	8.80373482235889	8.88650058623427	8.87798840321374	8.85707519644262	8.85349752282978	8.9489383040349	8.9813895404069	8.89821852230034	8.82391439271772	8.82639447913967	8.72425075934608
MAP2_32650	0.543873496231632	0.738109892824571	0.251652167340569	0	0	0.286050034309056	0	0	0.322587968447045	0.611121819321761	0.29815936535349	0.59985007070061	0	0	0.649606561909299	0	0	0.316370127911261	0	0.291540687782568	0.330630923064353	0.422148070715522	0.440557812396935	0	0.372540178963107	0	0.342239786634069	0	0	0	0.291815479720081	0	0	0	0	0
DHDDS_8467	6.38625254532924	5.9595925317415	6.01883160365704	5.95024957097846	6.22576850372376	6.16216483755178	6.41928948466508	5.88433356667165	6.34310570678451	6.1148733292233	5.74959264743925	5.43549000652031	6.28553553522276	5.81235546501065	6.29532381098394	6.08881165311784	6.09642128800747	5.89132413858637	6.1241638116762	6.40524447075696	6.3324758208419	6.28839720885734	5.23971431542226	6.27101126450839	6.02091941768852	6.51127505281851	5.99202584605236	6.104133871066	6.06826779279435	6.60726795691494	6.08333217125899	5.89575236261498	5.97313990809965	6.17212456761211	6.32040853972254	6.24937806471565
EDEM1_8524	8.71725613037268	8.62693645114509	8.34076844337256	8.53120785767595	8.53909776799451	8.33800736862389	8.44309475358088	8.46891848373184	8.55403435885567	8.70990266813157	8.55594882076032	9.08988687808558	8.65826753699964	8.82040810010497	8.57549113509432	8.58924879166251	8.49611666325155	8.90721635969236	8.59628028469847	8.9662952198235	8.86547572619736	8.56990134280232	9.2524404198291	8.83278041286143	8.67617913707256	8.4294633801811	8.59140360539589	8.48234849488645	8.55832410178104	9.0136892456906	9.08736603996593	8.72647435294219	8.80890701882368	9.24441004735662	9.09115405300817	9.04224648796407
FMO5_33281	7.20254654089424	7.382701564333	7.50206801169138	7.50802118089964	7.57404207159169	7.40632990056899	7.26274858102766	7.15749976702655	7.4232373046536	7.47753173376049	7.07512655100278	6.92342304490972	7.62015228297966	7.26208007645681	7.30698663264376	7.61896390912961	7.22009058946594	7.39842270220544	7.46974233478977	7.76375995438736	7.67759635085524	7.41177125736845	6.95663158642356	7.51445978758309	7.30143511683984	7.30059725881445	7.37432222564864	7.27320023602805	7.44997493648449	7.5304596331208	7.30923446584218	7.43044987616151	7.42860838321934	7.69349709651906	7.52068677869127	7.54026978055077
