ID	S5P1_C06	S5P1_B06	S5P1_D06	S5P1_E06	S5P1_A07	S5P1_F06	S5P1_G06	S5P1_H06	S5P1_E07	S5P1_D07	S5P1_C07	S5P1_B07	S5P1_H07	S5P1_G07	S5P1_F07	S5P1_A08	S5P1_B08	S5P1_C08	S5P1_D08	S5P1_E08	S5P1_F08	S5P1_A09	S5P1_H08	S5P1_G08	S5P1_E09	S5P1_C09	S5P1_D09	S5P1_B09	S5P1_G09	S5P1_H09	S5P1_F09	S5P1_A10	S5P1_D10	S5P1_E10	S5P1_C10	S5P1_B10
BIRC3_8147	3.67482219370385	3.33925468302469	3.50432498091709	4.23421953043192	2.80491638509642	3.79512133675029	3.95646285899638	3.7390357225023	3.49355035466764	3.32917402244869	3.94574467219663	3.80362037962767	3.51361425696592	4.21990339907638	4.0387249968284	3.79226030795027	4.08575102876337	4.28342826282518	3.959920224673	3.59878121676487	3.79047616356816	3.83591166296068	4.02201026934375	4.00860963048741	3.70623194939834	3.64272384429289	3.7969932853909	4.09612591564816	4.5515446585179	4.07269830674316	4.08714434108045	4.03107472295389	4.7087287962607	4.53516293458579	4.7085935018479	4.67937299714168
PVR_9625	2.927591774201	3.37221247016077	3.88722320514669	4.05487310020023	2.37621388321095	3.00804345842715	3.40409716866221	3.2922608716992	2.37812297191522	3.15219150639245	3.76641282976726	3.66003517909225	2.79801824093524	3.05657950817261	3.39987920072006	3.36662981195786	3.49101772038298	3.09997992383369	3.23732061640657	3.20562161229886	2.81578390275979	2.98559139023206	3.45529709677439	3.4677811047174	3.15198493494464	3.09221714292357	4.25245610841437	3.42072398186007	4.48167355551413	3.5921302412682	3.1696241975711	3.1994047902363	5.15303493642877	5.62351873134088	5.78161348611714	6.08988546883646
CNOT4_8342	3.4203580643959	3.23560776175012	3.81048495781347	3.44628002585804	3.59432514820016	3.20982677293034	3.58958631882178	3.47334193466919	3.43252276702921	3.51635724419808	3.28519541406442	3.56648235586261	3.27562514342197	3.54191609727695	3.80583350541937	3.39245384676476	3.43746055908986	3.65971939809585	3.57545925287924	3.23997456823017	3.55588512303586	4.21581906904367	3.42935615914904	3.7154337610683	3.25492279819061	3.85511869139872	4.11601199815555	4.11596445710417	4.37008078107756	4.34050893723327	3.91176422498411	4.06674861953914	4.62543075519464	4.57767025997091	4.48751277526994	4.81956293884889
ADCY2_32834	0	0.303187188009847	0	0.286885872337721	0	0	0	0.458715390856384	0	0	0	0.338644027096227	0	0	0	0	0	0	0	0.289610061985244	0	0	0	0	0	0	0	0	0.636295139256816	0	0.282339574943714	0	0	0	0.362627521534274	0
E2F7_32903	0.695581291761455	0	0	0	0	0	0	0	0	0	0	0.338644027096227	0.319754934343402	0	0	0	0	0	0.252900325627313	0	0	0	0	0	0	0.260756483875019	0.228969455728122	0	0.636295139256816	0	0	0.494968326443487	0.505040882868198	0.548142565725387	0	0.284399849894553
PSEN1_9584	1.51531407908716	1.11725369753922	1.8807759662029	1.77401486404437	0.377855499436761	1.49134067355356	1.85375085889326	1.42461523177198	1.51906083596154	1.62692623136943	1.19317826374365	1.6399451644399	1.57770586572316	1.73512507055275	2.14732767684977	1.51749733135182	0.863525412885273	1.07614876924361	1.34073427814424	1.35398324063586	0.811575568215415	0.642582889211586	1.24380820723344	1.75187663942119	1.34137602309551	1.66865220639921	1.61540200355651	1.53326363623266	1.55589647700113	0.966008281117559	1.66067997192811	1.60712862334728	1.42043081431897	1.7272712256088	2.61912623068146	1.56614864666396
C1QA_8167	0.270842602167911	3.30552635144514	2.15355418484747	1.77401486404437	2.19940753460121	1.59109491358475	2.42150908475689	1.7794967811897	2.99957895632342	2.66388803911141	3.03645611350795	2.65336954374847	2.16145537069181	2.6607505620849	2.83291330558661	2.98055131005091	2.70741067818814	2.82704695244743	3.23732061640657	1.78467503530036	2.13687131222071	2.72491558491293	1.6553853314278	3.0186148501098	1.7699661903445	2.7956013907826	2.15054323665464	2.52004417020295	3.4565413267208	1.7986368096267	1.66067997192811	2.46000542460672	3.0950710860761	1.25496029591295	3.53273121726155	3.07188614944997
GFPT2_32470	1.88153137187902	1.63450278722474	2.43492002058295	2.37297323969478	0.924652315568091	1.77202707890903	1.73287666248497	1.52184864557992	2.72205774149936	1.73144520279052	1.48603616628828	2.23387111640562	2.51456461757582	2.31982444754632	1.56561511657731	1.42042624769728	2.16439557113299	0.943858987443901	2.32872307445773	1.87488285258114	1.78833629337557	1.52125442535347	2.60454370166725	2.44358865953389	2.24039243427996	1.75586233788481	2.20537589483807	1.75189141132473	2.58231328774875	2.32319674403962	2.46974940963723	1.87199492455676	2.98480786748249	2.65885635146759	3.49666139710069	2.16557636382426
PCK2_9440	2.52350738124322	2.50521642527808	2.75461154349949	2.79495808725712	1.76352683906902	2.81523467573412	2.99488702205094	2.88037174790874	2.91287104971928	3.07483580317298	3.1242214386418	2.71279761842682	3.27562514342197	2.50033477474796	2.78243172093508	3.14148954487824	3.13505060474603	3.43173913114781	3.50416440881404	3.1343598064166	2.99727909903879	1.42404315174978	3.26307837811925	3.12033243115351	3.11597280592133	3.64272384429289	3.12761448854257	3.21536704941981	3.4565413267208	3.14046977135141	3.27002356649956	3.1336467837644	3.46726979115495	3.65019568121918	3.76274011423709	3.24765979570167
CPSF4_8372	7.02543514509978	6.72162778509345	7.10863837756252	7.13875858338364	6.32272048363674	7.15276240188542	6.96286866798723	7.2268093074707	7.19066357799441	6.99928950320564	7.12343619041992	7.06121789508987	7.11588406690167	7.16731324333458	7.01822706386361	7.15377626231541	7.04118715258607	7.02584121895791	7.0302628605466	6.98165589010376	7.06300240406997	6.43737023755361	7.28360019338157	7.09032346733914	7.13082032834117	7.16827079705686	7.36556647396207	7.2598589651552	7.1894089255737	6.94743460985012	6.99141589219199	7.06188309930426	7.05567858069464	7.17044086073934	7.07401559178647	6.91443335870848
RAB27A_9638	4.39449297158362	4.13787848647785	4.36075829793866	4.52358701653457	3.27543298223002	4.0442541569328	4.03525726621032	4.14217903620328	4.42804090671357	4.04858839086853	4.2488253970783	4.24721273200338	4.01214219793563	4.08498764340017	3.75437815806532	4.46278654923757	4.60615507968108	4.91589721860474	4.4391461374248	4.7672608994093	4.74755419896263	3.87321850027051	4.6574792793194	4.31786194393107	4.78214936292791	4.70926637814066	4.55653171896337	4.80710658452242	5.22144318697715	4.9777243269622	4.79724766212079	5.04109425104837	5.22755744452124	5.4048715611487	5.57227648381581	5.03623577650301
UGT2B15_33121	10.8479104591648	11.3685979557874	11.2784837442879	10.6564868007064	11.6526862452174	11.1500145860792	11.0691633572743	10.9370444630805	11.137534764244	11.211016827066	11.5859367775893	11.4606499766467	11.1402812620044	11.1322252341542	10.8979330249633	11.0023590299426	11.3998134743395	11.0959226818854	11.6995026399902	11.3036517034899	11.2133258339509	10.9596290780086	11.0765974690883	11.6687814163005	10.8711741672059	11.0179170775696	10.6988362288151	11.0235881140096	11.044513833282	10.974120239319	10.7488744101579	11.1383616807211	10.824365079111	11.0016920453505	11.7281180883465	11.5340973036733
LMO4_32889	6.88881006884793	6.47466457928719	6.97437999850684	7.06244997263943	5.96298449382188	6.84452750282422	7.02532670646898	6.90953478699637	6.9987709597598	6.78529416344838	7.16282881584921	6.88189494319811	6.66163390630629	6.78311872603115	6.7623092116975	6.95366132471085	6.88490922576244	7.11505785127065	7.09841296868187	7.15819251380324	6.54694196094447	6.01749478997455	6.84245614755649	7.02624703309298	6.82825335622891	6.83439478615826	6.84807605541067	6.78041407014554	6.72477084409706	6.73402084641423	6.8444763096425	6.71650064897228	6.87942463277045	7.20926049185121	7.02103804354654	6.70741672651794
CYP11B2_32978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481519613223804	0	0	0	0	0	0	0	0	0	0
ITGB2_8927	3.07629265416737	3.00288567038373	3.17762963524568	2.79495808725712	2.533698519411	2.85591304067029	2.70470838357902	3.08514434683922	2.77217873104043	2.906445811375	3.08100606581757	2.76987425020619	2.51456461757582	2.93631273709382	2.67583878520001	3.17162975824111	2.91759064927714	3.80026174000148	3.29478412717639	2.71320014256864	2.60812519824208	2.55165224710437	3.20310250052532	2.72768395657754	2.87869555486925	2.98800058237357	2.94633810550315	2.45922091074926	3.30295064498352	2.70705735657333	2.57816744720094	2.0249130941431	3.02250643264461	2.90126797063027	2.68471644227407	2.73671126349135
SPC24_9924	4.43637696273857	2.72526433504761	3.62126588113193	4.03564851178882	3.27543298223002	3.24087486635164	4.08549327826628	4.01434285962522	4.33105684550107	3.94370925957454	3.42999748484382	3.77602386434006	4.49737675112836	4.16744120175266	3.83088894682531	3.44275522421413	3.95844855114875	4.42662737259777	4.14316655817398	3.86402778023749	4.88293892993646	4.18647901692003	3.77662807689722	4.2066223736825	4.68717238658127	5.43285062028092	5.02890214153072	5.15270162586295	6.89570031087115	6.62397005908764	6.43632077431179	6.51818408363706	7.83407061632341	7.58413120133785	7.1012942878195	7.2927911028582
