ID	S5P3_C06	S5P3_E06	S5P3_B06	S5P3_D06	S5P3_F06	S5P3_A07	S5P3_H06	S5P3_G06	S5P3_E07	S5P3_C07	S5P3_B07	S5P3_D07	S5P3_H07	S5P3_F07	S5P3_A08	S5P3_G07	S5P3_C08	S5P3_E08	S5P3_B08	S5P3_D08	S5P3_F08	S5P3_G08	S5P3_A09	S5P3_H08	S5P3_C09	S5P3_D09	S5P3_B09	S5P3_E09	S5P3_G09	S5P3_F09	S5P3_H09	S5P3_A10	S5P3_E10	S5P3_B10	S5P3_D10	S5P3_C10
TNF_10048	1.39500197688722	1.77491844753645	1.15888386670764	2.33385951157857	2.35546699835191	1.86899996579168	1.87567999453718	2.37207596840847	2.65656163015094	1.75932582655781	0.765015767557591	2.51829542822823	2.55991576707466	1.55089490173382	1.96584050400889	2.67545582875272	2.55479627546443	1.69889974130758	2.16632479910692	2.12020163011443	2.24242646569029	1.02948748741666	1.73791157322844	2.10085803231223	1.89820724011393	1.61157889346719	2.25016013786891	2.33513736293745	2.34541270434489	2.43290573034888	2.19257481948917	2.10671261949634	1.96309752060323	1.05650580858675	1.75566852385934	1.45435995011451
IRF7_8913	4.98624003950026	3.41802078149441	4.00366729814758	4.28091526450753	4.94448540698736	4.57373921747752	4.64545433236874	4.87494182149652	4.51461307593073	3.77004819972898	4.64456818283122	4.5952849516405	3.26717267249759	3.91277854251967	4.6974746583075	3.55787695853085	6.07973105631937	4.81675562422512	4.19063869621939	5.17143338338324	3.97075202085697	4.30329718121117	4.85928563163506	4.30200223037911	4.69423452719046	4.35166114770017	3.37759455916125	4.2901260997943	5.15775068884103	2.9904196386365	4.48717990520188	2.92868771341065	4.3903076117597	4.19205266793997	3.98688166555073	4.58331535889628
AMER1_32424	1.78443433241843	1.66901224028161	1.89229837654335	2.01118858707024	1.77488901518697	2.15336136751893	2.21429952770342	2.09822239925801	0.710731926911432	1.13270807031318	1.83366926844239	1.40880249755697	2.01124895725366	1.55089490173382	2.66184172032632	1.63016822865855	0.947652940749701	2.05142284123131	1.83620015246303	1.47786298015475	1.31774921284206	1.29737840658494	0.830666308156798	1.17966888952166	1.43546095631606	1.49949230035187	1.63854331565085	1.41467456442291	1.89583449000034	1.72930640138384	2.19257481948917	1.96114229836242	1.55220722044615	2.08394988328215	1.98951489253206	1.03154323608375
GCLM_8700	10.6936197259416	10.8433398516269	10.1907529950815	10.8141722200532	9.8309066582961	10.9922434106847	10.9309895058875	10.4833854327103	11.0192979403304	10.4012298922219	10.2229028541404	10.4284635876853	10.6213036700858	10.7759636054096	10.5738336323637	9.9695946876041	10.4995796307935	9.69143893539826	10.5985839910739	10.4810796476247	10.8649374234986	10.2461821800649	10.7516231819277	10.6248110598293	10.4115333017601	10.4965255021434	10.7710488891084	10.7663033943365	10.3813177481294	10.7143333427084	10.466787746844	10.4718315721936	11.1701768936544	10.7004635122452	10.8599158042231	10.8467391064654
SOAT1_33217	6.69981066314218	6.70969852200835	6.6313161268509	6.85712008402184	6.79079669774506	6.78522447043516	6.8913159379651	7.03757497749193	7.29439454206972	6.80940914110247	6.6978032819606	6.79069273274774	6.95827459276632	7.14581431109263	6.82811218366126	6.922923891905	6.94129554075316	6.82434316628587	6.9437743012347	6.65792678574505	6.97892552807296	6.80738672437132	7.27746690070793	7.01170895861761	7.01717924164389	6.92341163141608	7.11492064829012	6.7907424632724	6.65511749004911	6.84753607223336	7.12208320966587	7.00363447241762	7.12419288798369	6.78932010389632	6.96453885580083	6.92813650423845
PIK3C2B_9480	1.53681748090131	2.0527089397759	1.68666775622194	1.81801268227497	1.77488901518697	1.97014398477145	2.05490184809349	1.88171207141125	2.33113672725761	2.19474844586361	1.51855336257874	1.94013998552075	2.1691765692638	1.2500902794557	2.42212623036153	1.99767483316303	1.92074947585116	1.97103490428462	1.6796232163819	1.69229239085806	1.99477450337734	1.96924705610673	1.62106372703393	1.91973867999198	2.14057300224523	2.21873898433526	1.8412415611303	1.6516807631181	1.60455946053502	2.08473007316209	1.71043093101556	1.7992181357324	1.70255286456217	2.25689224833851	0.919386116761078	1.45435995011451
STEAP4_32408	4.71497527757603	5.54030968431237	5.1605274514704	5.09127526876298	4.10669862995238	4.78282417812358	4.46697026343299	4.7202498989414	3.9477012907356	5.00045912841095	5.05188862437894	5.06151609516478	4.99002279120159	4.89113294419856	4.5708768214221	4.37555980915243	4.59802618732029	4.80520950429559	4.91626723262664	4.83035094353249	4.80063294341379	5.04753873362561	4.35492210116079	4.22600515172386	4.93835784221658	5.11182683016	4.90133409500055	4.68660916837918	4.73477735016773	4.66190229606665	4.91738199918135	4.84282085464152	4.89082174408389	5.47461417948129	5.2304998648721	5.07547154402016
XPO7_10182	7.76669621509591	7.96439036503346	7.84742941730737	7.87747258933727	7.80003209354736	7.98308097071989	7.96726743964631	7.8312665027732	8.06016033157617	7.69251035582347	7.69895386205481	7.81023433602624	7.96058768094468	7.91705642309185	7.86735397923885	7.8113349817075	8.0761101602223	7.92185441448166	8.0085264551918	7.77061359255217	7.93557136995054	7.79688426128348	7.83657696681364	7.75211988336858	7.77834465868761	7.67778067411808	7.98954717031292	7.87330522636103	7.84721751585706	7.9465790744157	7.82835609515651	7.74909115458827	7.95640405753568	7.78984100876532	7.85704405936957	7.94275623573712
EAPP_8512	8.1347819759407	8.18695696881534	7.93143052997819	8.25564124847562	8.05910764256297	8.07394146748084	8.18863606871452	8.1182446281438	7.89506108048366	8.00402243532954	8.01852019232132	8.0336622392188	8.05594989199543	7.96560243698041	7.90720063849204	8.02536948108203	7.91196190966484	8.02250775029458	8.11937136873976	7.91900264313255	7.99446392269843	8.06153868223566	7.79840616473931	7.93479205043498	8.00969241255264	7.92561219341262	7.97076283201173	8.05986004252988	7.96973676464321	7.98532695273459	7.92595608058836	8.00266036796851	7.95078027234537	8.1576019744432	8.24673306976086	8.06217292136047
SNX11_9911	3.69516093323502	3.63043776952117	3.26752429959787	3.94466397558303	3.54316351380741	3.93782286308268	3.63309336314418	3.99252736051946	3.84491975798639	3.63806394276726	3.86011980885797	3.73286882251817	3.76464318734251	3.7149438881829	3.84006135716016	3.31913744465276	3.65639959382965	3.89999757281012	4.00511779222181	3.70610715967592	4.01582626193782	3.79826903683784	3.9081517632348	3.63078174864982	3.96903967347846	3.52453183511263	3.79866365377816	3.79201909739741	3.75199424724717	3.67919711035684	3.70179723216444	3.95126211101274	3.86082209565244	3.88445836968853	3.35194020040334	3.6819413838305
