ID	S3P2_G03	S3P2_D03	S3P2_F03	S3P2_E03	S3P2_B04	S3P2_H03	S3P2_C04	S3P2_A04	S3P2_D04	S3P2_G04	S3P2_E04	S3P2_F04	S3P2_B05	S3P2_C05	S3P2_H04	S3P2_A05	S3P2_D05	S3P2_E05	S3P2_F05	S3P2_G05	S3P2_H05	S3P2_A06	S3P2_C06	S3P2_B06	S3P2_G06	S3P2_E06	S3P2_D06	S3P2_F06	S3P2_A07	S3P2_B07	S3P2_C07	S3P2_H06	S3P2_D07	S3P2_F07	S3P2_G07	S3P2_E07
HEBP1_8792	6.83808719366123	6.77939457190575	7.37244312058917	7.41547697163356	6.73397224111499	6.41705680372324	7.49756686260536	7.10087013605059	6.71956547960274	6.65147996397571	6.93052808046773	6.57084392742482	6.79710151863854	7.29406760031778	6.24457233279948	7.43925603092925	6.72413499239976	7.35952169195369	7.13564240822979	6.38776430868966	6.35088544378629	6.40984734753144	7.29478022276041	6.5300203941292	6.23106529563999	6.78372824575333	6.8757947951374	6.73789817762301	6.1487485991588	6.79334622886276	7.13200661201939	5.83650727134316	6.37378972282929	6.61125104010558	6.24635175665522	6.33256091048729
GCLC_8699	8.07750958264283	8.05899192083075	8.68913778160514	8.96341953000696	8.48092629412109	7.72983381686964	8.58256345290246	7.78062780681247	8.08598896524533	7.93987191829718	8.10200498235736	7.86913906900142	7.7006574391932	8.26432429575504	7.33628479928158	8.81456480304629	8.06011902686119	8.89694236251286	8.12280137501904	7.51107594020638	7.44662330526074	8.06172046579396	8.79804941933818	7.425094412468	7.75447975593459	8.45306084046955	8.88770229455531	7.95120388011053	7.63593643233242	7.27159184967281	8.43265026515642	7.16049429510555	8.27670043407486	7.12401613646636	8.0330917206947	7.78977238626444
ITIH1_33132	11.6808764335348	11.4326056685403	11.6973379151925	11.5505032849787	11.5056980249082	11.3331248828843	11.4431957378019	11.6081351002145	11.4830381358153	11.659547251372	11.5543695330904	11.4744091707246	11.6023397951822	11.6257236299004	11.5096973668306	11.6524545863059	11.4884778633313	11.6910725342183	11.6193699498576	11.6944844969784	11.4586757653063	11.4701034984082	11.4422383741329	11.4597436834602	11.6541857595545	11.5683649583182	11.4446034098068	11.6860321470132	11.4190826477192	11.3757699482929	11.6574843761422	11.3584067901465	11.4406988545674	11.486167123017	11.5109224515605	11.3639408778103
SMC1A_9897	6.92507191532523	7.39351837599266	6.91930085476966	6.79624405655309	7.31277796515663	7.51598512613516	6.80624880156792	6.90850131260113	7.15391977014198	7.11645740655494	7.34051110645552	7.04291382717825	7.23802252572491	7.12850539841479	7.18794998356961	6.62410280247139	7.42382116755818	6.74385333529308	7.20814511441944	7.23800110797217	7.32431978000451	7.19146263779871	6.90386465055813	7.29043636184846	7.28609865611465	7.26507773660463	7.31445839836585	7.23806960875318	7.38298312302962	7.16838805850211	7.39428533997127	7.3405184524472	7.23923413168479	7.29686975566704	7.66157719157754	7.26768388122366
NUP153_9379	2.88740638177034	2.95659318286831	3.28149025419515	2.93796942369701	3.32150433889793	3.51660767712365	3.88362351597298	2.91224615605481	2.97505647562866	3.39471168036519	3.27115801865851	3.48967441369886	3.24219238965036	3.51214254872137	2.61376667743949	3.16848288720406	3.34320832803679	3.46104620262301	3.25191893091689	3.19964862579141	2.98633547504652	3.14377375707723	3.91333355719222	3.11396958740293	2.89946024626612	3.29768933109991	2.72009840471476	3.14278421709447	3.09007148982855	3.39336842607703	3.04803384273738	2.67381131761203	2.77652716489222	3.2378199877302	3.24263326139133	3.1885606624434
ETV1_8578	0.774876317121331	1.70234524901077	1.45665877453707	1.74491874775559	1.73951824350147	1.31736191841792	2.11628632184031	1.2797545368291	1.74322404322796	1.84036278992156	1.72072261569322	1.98252225461982	1.47050100205913	2.07137541457776	0.996930599169397	2.16866323033742	2.04068761735375	2.43936974830926	1.43576933334228	1.32665000941402	1.57456319262649	1.93425179458581	2.16063372608114	1.28439730725875	1.71392428777112	1.64155267223468	2.122177890023	1.8212896254989	1.23199448999975	1.391359520702	1.69473825993992	1.28390238777486	1.90838516617622	1.22134071692944	1.4292358489538	1.97494858093844
LOC100362572_32922	0	0.975356245625152	0	0.477117712903554	0.238715045297798	0	1.41569493118078	1.01434337211948	1.05908627733091	1.19566277490422	0.613389746893492	0.478793581016218	0.669383950766593	0.678557328882485	0.361206707383123	0.32160374484444	0.830745305384742	0.551579197125218	0.713232987551476	0.516936061934729	0.41114653792274	0.70227311006429	0.449302761107563	0.780647212044736	0	0.613535039624222	0.456923701834282	0	0.824408248448113	0.549706529244527	1.69473825993992	0	0.426786292395715	0.289172067129582	0.509199326411731	0.2933380902758
CYP1A1_8415	0	0	0	0	0	0.376757111424961	0.27319988485648	0	0	0	0	0	0	0	0	0	0	0	0	0.281498322601553	0	0	0	0	0	0	0	0	0	0.30087806662874	0	0	0	0	0	0.2933380902758
AGMO_33265	4.71380792496786	4.39002220093546	5.22072338419447	5.22698150238234	4.45109150824319	4.07178490957852	5.3658904437169	4.82454143717545	4.45613730672615	4.40354503678201	3.62099175042229	4.53836107922026	4.46318923309806	4.83919211380267	3.62993865054431	5.13797492543628	3.94524935544593	5.29228530221902	4.38015402629174	4.22245197335653	3.70438387393054	4.00446481763658	5.00258187176726	4.22560146418914	3.8946393107441	4.10881242153944	4.22489401897733	4.48694350523072	4.1352380207722	4.06770657767191	4.70974785672859	3.15255987522049	3.54489478693224	3.20347318235351	3.48003785811431	4.06893506496094
RALA_9654	5.87269363922727	5.98080556145374	6.26809327075468	6.46608986231948	6.1569837460163	5.42885317479857	6.55434985204781	5.93014638725455	5.82337713299213	5.67717559442743	5.75448539883633	5.73730418555631	5.64393344216322	6.42418476714407	4.81607405879843	6.51409510025242	5.72715302353446	6.77178967106744	6.01169868347205	5.39753606969364	5.22637401775023	5.7958390140456	6.60944573864632	5.32214356746449	5.36103609646302	6.04082901654198	6.10465859734836	5.60539656067524	5.20330288582844	5.6879811645184	6.06602145805648	4.90968131181836	5.88693685706242	5.40192471486488	5.71221334401872	5.87580354366558
