ID	S1P3_G06	S1P3_A07	S1P3_H06	S1P3_F06	S1P3_D07	S1P3_C07	S1P3_E07	S1P3_B07	S1P3_H07	S1P3_F07	S1P3_A08	S1P3_G07	S1P3_B08	S1P3_D08	S1P3_E08	S1P3_C08	S1P3_A09	S1P3_F08	S1P3_H08	S1P3_C09	S1P3_B09	S1P3_E09	S1P3_D09	S1P3_A10	S1P3_H09	S1P3_F09	S1P3_G09	S1P3_D10	S1P3_C10	S1P3_E10	S1P3_B10	S1P3_G10	S1P3_H10	S1P3_A11	S1P3_F10
FABP4_8590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAP2_9955	2.14026955939544	1.20869459947406	2.94988694527873	3.38280695340185	3.20331731684682	1.93443423241538	2.88756234695835	0.507615270028829	3.41953573576934	1.71147842935898	2.92141790854202	3.62170780465621	2.84812951460542	2.03165043186216	1.20255733141916	2.14619212046959	0	2.44869278187467	2.87561026685583	3.83922827792685	1.51319409206523	0	2.42871057420178	2.68038193645405	1.65212798896161	2.82617520643235	2.96140107454749	2.89801664726668	2.83177487490494	2.34070026588048	1.70573471626236	2.10971289137672	4.19412958061882	2.9686532392752	3.45269786967433
GCAT_32974	5.58946818052085	5.52078303835891	5.60195459507543	5.39758045832927	5.003760605866	5.27867540961256	5.33326106158013	5.37444937078788	4.98479175724576	5.2822931283879	4.9490898869944	5.47816568783047	5.42880968998606	4.90311936014659	5.14045616086687	5.10145119612143	5.86477630126639	5.11946436805448	4.94457456479071	4.49069373844897	5.78525914985206	5.16169431700222	4.62208320662596	5.03071750875925	4.79634394375763	5.45948905002571	5.6131161126059	4.78309776651386	4.79198333672062	4.76209669449992	4.76758177504601	5.12885231940792	5.48018544196831	4.70244636883612	4.69331652306532
FBXL12_8618	4.87792583463593	4.00717460105009	5.13401213234246	4.03848550989739	4.07339195564791	5.0519817306763	4.73339559829901	4.43717534432414	5.38119064675218	4.3460478870024	4.37348881571675	4.88784424869152	5.00014918319978	3.88350921990077	4.12807236879945	4.27641648340836	3.47341638465656	3.93858523011743	4.22878647379837	4.86484468627841	3.72673595840853	4.43889422898242	4.71866144071016	4.37217129361275	4.26417875357608	4.4452088994189	4.83690877304041	4.4927097911902	3.53232151130503	4.66635366060532	4.32195557164711	3.65606026425035	4.64822849245772	4.52365598764399	5.04908258991584
ARHGAP1_8078	5.96236377945662	5.8589969406963	5.92079306666288	5.51042259381425	5.79552757093381	5.71054563524311	5.55988334847329	5.57919534089987	6.46944144289382	5.94639562433283	6.10541336097852	6.21940414642521	6.45993512735817	5.63975272129903	6.15541583740741	6.2727558543705	5.77885995380618	5.98707003531293	6.08486974347777	6.60310441929732	5.92391213946762	5.89009336086918	6.26205446288344	5.61233506448208	6.00489644017148	6.14726286277011	6.28951358630611	6.27374796121832	6.00944166088403	5.62073391303576	5.83532693695823	6.46019236811329	6.80217484795058	6.23553357016608	6.50765533287583
SRSF1_32864	8.74974862469482	7.94374628182661	8.42656307727292	8.99755183887316	8.63254102458352	8.73674059526463	8.6896414578258	8.53788908274409	8.83869216236993	8.53403600032444	8.54586859740253	8.49416604958877	8.90556217008882	8.71308541000814	8.52701930102098	8.31481344285093	7.50625306181996	8.76426668036979	8.62098766381792	9.12338350140097	8.32508414956115	8.59458010389692	8.36335454900951	9.01483781834144	8.64496135864458	8.70652586499888	8.62169220096039	8.61142698155894	8.500045914926	9.32161664245055	8.54600456688101	8.21411418118772	8.46704357706349	8.05407061620575	8.84407235524539
ISG20_33257	4.17330499214733	2.9789719641	2.27617931038938	4.91410497882601	4.963649798548	4.95029060982671	5.44345909366882	2.69645615436158	4.83468176253649	4.01492808858499	3.69556937410096	3.54155150168371	4.68944718733608	3.93738623834559	4.58452267751045	4.22927324787168	3.31963681399142	4.21088238657672	3.90169713568845	5.40772801286452	4.46860340158609	5.00151216881008	2.72288809445564	4.04070606166213	3.82933963438069	4.18592208339371	4.02456791068748	4.64519769823554	5.07992184358371	4.37480573099578	3.32880781026339	3.74794613260252	4.99309566133372	4.37333374781017	5.19869667764229
ANLN_32599	2.96659439634815	4.09281887374667	4.23098659254369	3.96117853379603	4.26160060119806	4.20930897839632	4.98319800374806	4.32022617718353	4.68477920276094	4.59268344882048	4.49320782026216	4.60195777581036	4.95965426798779	3.88350921990077	4.50406174638495	4.73029148240236	3.6123717644733	4.08114853429353	4.43310584544114	5.19780077496098	3.80538440288826	4.82129770749651	4.51857291647002	4.70703024023861	4.73961195007447	4.49190925148985	4.55384582742314	6.31331445782708	3.89800928077211	4.52793190368082	6.30858429035282	5.8833995019448	6.26658979438298	6.67105876081538	6.26627085709781
LIG1_8999	5.36923107339836	5.73127945326786	5.76379899491922	6.43856657020567	5.96764270701066	5.92676752095278	5.94957710863889	5.20337147735317	6.69532588918923	5.56247362716841	5.66158370611561	6.07738934225612	6.65642409009285	5.93285743369083	5.93785208480928	5.77849088658028	6.02263259929837	6.13170860903588	6.02994383566251	6.77237815602745	5.54283253218341	5.72034954748846	5.96295800215894	5.82396192150881	6.0208556317388	6.17614797248053	6.26584379845416	6.84124702952083	6.34180344888093	6.16702843047446	5.96636223841917	6.81911659592191	6.62655985085077	6.87131232991343	7.05088464737341
DHRS7_8469	13.6164813261859	13.2194168216573	13.4585348738237	13.21510413579	13.5280558070147	13.2919903967053	13.490474751359	13.5490221766963	12.34608304998	13.7223991673521	13.5879862004701	12.82086947114	12.6860337541043	13.4397918404975	13.3600647031454	13.1088670011031	12.234440265046	13.4804926476183	13.4023005975391	11.983127723927	13.009105303557	13.6119180693812	13.2308716121462	13.6272666790259	14.0722556904905	12.8812253091905	13.0449676011849	12.7365458478989	13.7097562145721	13.5209742130113	13.0547906860058	11.8422999344016	12.0862030133837	12.432721179596	12.3159544736967
