ID	S2P3_A06	S2P3_F05	S2P3_G05	S2P3_H05	S2P3_E06	S2P3_D06	S2P3_C06	S2P3_B06	S2P3_G06	S2P3_F06	S2P3_A07	S2P3_H06	S2P3_E07	S2P3_B07	S2P3_C07	S2P3_D07	S2P3_H07	S2P3_A08	S2P3_G07	S2P3_F07	S2P3_C08	S2P3_B08	S2P3_D08	S2P3_E08	S2P3_A09	S2P3_G08	S2P3_H08	S2P3_F08	S2P3_B09	S2P3_E09	S2P3_C09	S2P3_D09	S2P3_F09	S2P3_G09	S2P3_A10	S2P3_H09
NDRG2_32998	1.56031411285457	2.69192693286512	1.98193387035571	2.20159594910736	2.25405456338182	2.18707210267906	2.31343965487535	1.93848699950738	1.95190191198896	2.5655660099899	3.0215377175685	2.3717387747474	2.14743578635243	2.84429484231971	2.16183623381112	3.44826839469711	2.46765019852375	2.12841987332655	2.34294694290218	2.39277941615323	2.2534705082509	2.56859404006042	3.3976556299587	3.04537403385707	2.26181433991858	2.33499658432596	2.40503369796033	2.28059062711226	2.63780914181223	2.3636454772462	1.8893490582668	2.32227683471473	2.43537952714203	2.47452119093428	2.19916276608349	1.47867979057667
NCL_9288	9.36273532124219	9.09816312080767	9.2285665375972	8.99623929536972	9.14857261176156	9.09141818336388	9.42922785279278	9.20454151101671	9.33292206062514	9.51669932935185	9.35231365184261	9.45690757209692	9.14849046894409	9.26666837332701	9.23008241887393	8.95091173497057	9.28984409033898	8.84912888726412	9.0185064660476	9.1600074479324	8.94529641074604	9.08627988443675	9.05771744716008	9.03732467850672	9.33204241519947	9.29066914994899	8.94365746142585	9.27287705385384	9.04434710437583	9.27346256040325	9.30857395698984	9.0669492153014	9.0683712026687	9.11205312628887	9.41505577187278	8.94608632210538
SMAD5_9893	7.26916703832726	6.80713517558326	7.47823057254598	6.79053199646855	6.97636157429106	7.12775900871282	7.31587751101849	7.56094563103765	7.28168640327461	7.35871801986326	7.27383799945425	7.50251905316438	7.28181753907727	7.15702056362462	7.28733874165234	7.21936184172193	7.4851630763602	6.99395025341381	6.9414633567633	7.15078994214717	6.7246274455066	7.35186866703626	7.27101708248729	7.08783280600482	7.32091157851993	7.18111105258852	6.80828139801282	7.19791277375873	7.03538792422295	7.68497855452361	7.37310394419206	7.18869640517172	7.40200913804003	6.72948355072	7.42196303916591	6.81924873960519
PTPRB_32629	2.49295646762972	1.06512543409013	2.43971183983684	0.81382779857934	1.32658702423193	1.71571245911377	1.69309686599416	2.04136144831809	0.968113434078659	1.19830755804267	2.38617464040858	2.3717387747474	1.56570757385591	1.71785173480177	2.16183623381112	1.74878967903303	2.10285261924397	1.33203331210828	1.4571917954336	1.87077933583018	1.21344048002669	1.87643562458714	1.96463916080286	1.26951926020229	1.74410473088394	2.09995726893121	0.563047392424887	1.49969927049415	1.52636377010138	2.3636454772462	1.80596431507848	1.8184739852806	1.97796763608729	1.58209819649961	1.91195044412058	0.981627851079411
CHSY1_8317	5.05143639974532	5.61657762379739	5.72584784888065	5.38973686812526	5.72185470762732	5.70808541928178	5.80974920251981	5.57727986633644	5.81109909860514	5.8635886562752	5.86808497945259	5.94361330732365	5.98828067861787	5.61702531290367	5.49972795818639	5.83759533142616	5.85421359347994	5.38563250792526	5.88730906382439	5.6712157240321	5.45806862860258	6.12187158241957	5.53647480947448	5.97439603664563	5.65384111867131	5.83620895933952	5.60699466633221	5.6364023567383	5.92507217396603	5.66562883975272	5.80006544416794	5.88564323649193	5.72865467997278	5.79944835315014	5.71894723262448	5.12729406613929
HCST_32698	0.981553301089989	0.28507115465544	0.914615580909939	0	0.323482743622794	0.326356852015067	0.319810662518613	0.647643225588703	0.968113434078659	1.35255731639731	0.531089859777136	1.20469739002794	0.575367160281124	0.297421783303154	0.300599401987429	1.1245812559812	0.867022487889588	0.743710264072295	0.661668696844074	1.04468813225918	0.461348880111718	0.69290811385642	1.02633232419772	1.26951926020229	0.625062361078333	0.59042209823765	0.398632456290613	0.491787573226457	0.702092728189592	2.3636454772462	1.71746286225939	1.17858055700503	2.17863589335607	0.361615943031948	1.25192360442869	0.722286639672265
TP53_10062	7.48663404649081	6.77007350993273	7.21442713576072	6.77314327250426	7.07378800470808	7.14855724246928	7.26789972749572	7.64706716776161	7.25182435400737	7.24511009542489	7.15723573305155	7.63343282767005	7.27954407836317	7.30430209665244	7.3583069665543	7.27759386926449	7.18987868729131	6.86423725676114	6.82040776933471	7.18544209770615	6.85948646755821	7.0657323773807	7.32984705582975	7.09635736081404	7.25244005873074	7.19859984168954	6.77931414378379	7.06418083329014	7.13954515219862	7.68721309147484	7.48791157537685	7.09179850225673	7.59859713930181	6.90090940402295	7.49891064759529	6.74253188915415
APOM_32774	9.2792082127131	9.40801220975116	9.59060209307783	9.43696992924806	9.59411717707936	9.57512927281573	9.38707205677751	9.67604020966032	9.53736182205483	9.31211944683491	9.06765498636123	9.37875122335432	9.44831376795296	9.46477495068216	9.41230256641233	9.35155628807145	9.10523748371186	9.15077159606187	9.5280273956019	9.73133200547551	9.69569647732927	9.31062953642222	9.51891042287071	9.56605690863313	9.22193438996656	9.55932726882577	9.63432966925521	9.70896498422821	9.4122634170287	9.44898388954176	9.05288683107064	9.56979131161363	9.39370735561378	9.52903695032533	9.19602866545467	8.95508645100192
GADD45G_33229	4.79707689038922	3.86246747883727	5.76550888771897	4.7525892829292	4.2927620049062	4.60606120023159	4.67629597647207	5.09366598070872	5.06667242594171	4.74921586138196	4.82623091115545	5.25016017223607	4.84238552135375	4.88841583609011	5.31897522102685	4.70177688235428	5.69124179353936	4.58088150101803	4.51233266884436	4.01315986511272	4.3642280135333	5.34568003876328	4.56090455662641	4.58352414515501	4.80390457781285	4.31927617995916	6.18521476939179	5.05709486703427	4.3379820100647	5.91479398555749	5.53466577002586	4.7831597005454	6.36493575562913	3.95680725256287	4.76819301075571	5.3619378832809
CCNA2_8221	3.054748960103	4.39912138019802	3.42434890351028	4.41095183186759	4.07338382658545	3.97479552949245	3.92081764726968	4.69658946835899	3.78140274035131	4.2959966924633	3.99169719377148	3.44852540590322	3.78046468601738	4.14674270529216	3.94135742017671	4.26137214972483	3.94655854144267	2.85577229517718	2.76958406589273	4.03670951114062	3.45758846135413	3.86432018611231	3.42576698439713	3.14734566436632	3.27447634702377	3.62970192234514	3.28571108112937	3.45306452062639	3.09125223313475	2.81978056998776	3.31415273797955	2.74112787819697	3.53378243127993	3.21117784040658	2.82354259222974	3.23990712216457
