ID	S3P1_B10	S3P1_C10	S3P1_D10	S3P1_E10	S3P1_A11	S3P1_H10	S3P1_G10	S3P1_F10	S3P1_B11	S3P1_C11	S3P1_D11	S3P1_E11	S3P1_A12	S3P1_G11	S3P1_F11	S3P1_H11	S3P1_B12	S3P1_D12	S3P1_C12	S3P1_E12	S3P1_F12	S3P1_G12	S3P1_H12	S3P2_D01	S3P2_E01	S3P2_G01	S3P2_F01	S3P2_H01	S3P2_E02	S3P2_D02	S3P2_F02	S3P2_G02	S3P2_B03	S3P2_A03	S3P2_C03	S3P2_H02
PCSK6_9443	4.82614190308366	5.55993530284769	5.56369017690971	5.12560968476282	5.83757987575845	4.54320814974078	5.14355188025573	5.21283824387405	5.86996378885038	5.42427414720949	5.24828361734673	5.66382756484494	5.28580619057055	5.56015329448514	5.56810929833916	4.64630677776258	4.94822102622476	5.61746681305878	5.68469335644066	5.68994863489896	5.37962131933099	4.99819170999141	4.90635621003415	5.39787901095728	5.03601636593296	4.93732218140384	5.65240403211893	6.22400315916545	5.07429372028069	4.80195772448	5.30720786091845	4.75308083510299	5.46721166480101	5.43027593769849	5.16902563610426	5.36776579375718
ALAD_8017	4.30606369759969	5.18625856281881	4.49860011959664	4.69310023688078	5.19199475014388	4.15352160053683	4.31546709795198	4.92878263724513	4.67150949224102	4.7769301908017	4.31760036895855	5.15172466937554	4.1052204810274	4.6254391926641	4.91846248259575	4.47517786371953	4.39350086076952	5.20100739419082	4.81274507765707	4.97410804232427	4.82692680412742	4.36688990845381	4.29150201778552	5.21701227931663	4.83296419028235	4.65162833615088	4.72783949405621	5.28890568793642	4.47814340238184	4.06380418917796	4.22795906435897	3.99284831518373	4.85276956268601	4.43572543719543	4.55080451270981	4.73949929921655
ANKRD23_32357	0	0.359835017828677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387315592211168	0	0.425565479439106	0	0.372322363161124	0	0	0	0	0.509363269597	0	0	0	0.271291856529525	0	0	0	0.639581423715434	0	0
GHR_8706	9.80096049675435	9.53428666529664	9.45342169229641	9.79771554424036	9.58425996956583	9.70034751914506	9.80233403116472	9.54433359769856	9.6287510355504	9.53938224760641	9.68406173676887	9.45329059741796	9.68423437538613	9.87473902169943	9.83430600111576	9.71290463290828	10.0267004297924	9.63865847097319	9.58978352199957	9.66148267588762	9.75290047069604	9.82818676625629	9.83060613779925	9.61563260416881	9.70561549087427	9.70441234823548	9.74155147845675	9.53649837322528	9.58728960480662	9.68903504580801	9.61894127511898	9.76019805501019	9.38079601685271	9.51203991623571	9.30358915747692	9.12619236641795
ACLY_7965	9.29344810056239	9.28720598635682	9.2363665762921	8.72034333263963	8.41719701575457	9.18288862521624	9.26448162869702	8.60406546954124	9.16015291344493	9.6999265718686	9.05993218491301	8.84204568031758	9.00995429078009	8.77721808935551	8.99129278229156	9.098405810527	9.00923775277024	9.01842308588904	9.55269612051934	8.4345341395393	9.63283723838771	9.604360372828	10.0929837598104	8.60962838353116	9.31104533937773	9.15929775280618	9.10168163578202	8.85550602157233	9.15109756087633	9.16926110153794	8.92677167141114	9.12840955683662	8.59490065377247	8.56803062889339	8.96366286067262	8.40652563572866
CYP3A2_32374	13.5887038901541	13.2980420287371	13.1873691183732	13.4049908354623	13.1449886149502	13.4679212243654	13.7634706356333	13.1935455815093	13.1361572166922	13.267790312628	13.5224509937774	13.1060769764455	13.3364513528754	13.368102676747	13.4906804944006	13.6496341998689	13.5448785202227	13.3136499765215	13.2369752196039	13.6546666373738	13.1361039627642	13.6335530009456	13.5374205450914	13.2935182218901	13.6340137765679	13.6227740131925	13.1977806506271	12.8868017086829	14.1929264108943	14.1298648634099	13.7362154852692	14.1496540505161	13.7801622260598	13.6634147702503	14.0867199826913	13.8819040932094
MELK_9218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411401325936758	0
TRIB1_10078	7.24079343327339	7.29020547613258	7.5813586148327	5.84594987372994	7.70930274576874	6.00240658303374	7.48000962557994	6.95408098188617	7.3280202403633	6.91367669599456	7.15488346884431	7.22457464214386	7.01130967286108	7.87206799663213	7.11230180968212	7.01289118163646	6.04393541937343	7.1128111541944	7.37232046566841	7.13294790653244	6.72143246538449	6.88778289450826	6.4588850856355	6.76179804923824	6.52543174611898	6.11209363700692	6.56734050934265	7.63648314570626	5.88654206169031	5.89099208763023	7.32561817463686	6.05941226600997	6.99520777205906	5.33379350173497	6.06599025263529	6.62632876805434
PLOD3_9507	0.619749103719885	1.09296279382406	2.03086430924524	1.43057961056602	1.34273954487296	1.13733955352176	0.825266671464144	0.796155485792955	1.04580205785788	1.11008467058248	0.903662243299054	1.21958422824073	1.42059150803156	2.18663776027978	0.796749863950105	1.51973248696701	1.79229710368926	1.94961781067542	2.14762855414891	1.58053209424434	0.913266334480279	1.32782519154247	0.580663196635463	1.27464154685203	0.733515663855166	0.885061747961032	0.422211653328717	2.0009185822233	0.46480265288243	0.271291856529525	1.13656525373749	0.661141247986676	1.45599892661948	0.639581423715434	0.411401325936758	1.38942946880939
CLPX_8334	7.03777454835821	6.78958615016115	6.90315639195121	6.8369245571644	6.90371274323258	6.98292340078294	7.38660726717814	6.66048932069677	6.96903517126435	6.73691307524045	7.12594371486312	6.85889766393275	7.01754731296042	7.28288631101491	7.09165722731251	7.08906946700989	7.00556143116279	7.13060437379839	6.84864690146641	7.11825686792952	7.09523316578117	7.52743115278004	7.20147008399483	7.04759614141482	6.89832246896825	6.47002137517093	6.90680716123672	6.36862457087498	6.81951310749945	6.63631590596342	6.88825408797213	6.81278272335007	7.03026722511594	6.7748805455599	6.64375675724609	6.4302748147569
