ID	S4P2_G03	S4P2_F03	S4P2_D03	S4P2_E03	S4P2_A04	S4P2_B04	S4P2_H03	S4P2_C04	S4P2_F04	S4P2_G04	S4P2_D04	S4P2_E04	S4P2_C05	S4P2_A05	S4P2_H04	S4P2_B05	S4P2_D05	S4P2_F05	S4P2_G05	S4P2_E05	S4P2_C06	S4P2_H05	S4P2_A06	S4P2_B06	S4P2_F06	S4P2_G06	S4P2_D06	S4P2_E06	S4P2_C07	S4P2_H06	S4P2_A07	S4P2_B07	S4P2_D07	S4P2_G07	S4P2_E07	S4P2_F07
COL12A1_32305	0.447385123274367	0.420585864337048	0.765877938431597	0.411032202110996	0.817525268454635	0	0.467838352267578	0.761626494377394	0.227513702310138	0.730947282290457	0.638029325807152	0.41405424911168	0	0	0.876785484489281	0.653631925321321	0.443574246687691	0.604086360980629	1.12787411063824	0	0.23271987168789	0.761503818214407	0.868832741620281	0.904715817725231	0.248022554268138	0.389509929038041	1.06744689978375	0	0.54041575340882	0.583460168109404	0.559137197054937	0.326608386687122	0.5397573809274	0.508089142140229	0	0.923480912696947
SH3BP5_9823	5.1364890399386	5.16440461623603	4.59175999799345	4.92303857233266	4.72315859516971	5.45435930508184	5.41788243596235	5.2600200309002	4.66826727538657	4.69514484984868	5.30609223637113	5.33601031512268	4.58083156369322	5.95517990220269	4.88756186949506	5.375064688007	4.825667522445	5.58940705630984	5.02723047322397	4.66465798586409	4.72148101142856	5.92168075661008	5.55431109617632	5.70105764497672	5.43312978769523	4.87579352900781	5.96255816167527	5.10262995919461	5.50154038983901	4.59062186110171	3.88051372909477	5.04490904051993	4.64659961580565	4.39594370394238	5.45036647127454	5.70971184690601
SMAD3_9891	2.51761969782621	2.52069725384421	2.37918473072402	1.40500332933721	2.26660710112313	2.12103710453104	2.4845062708496	1.7303152525858	1.76188795343451	1.9886949915166	2.71413995988984	2.62119300435871	1.79870083052003	1.81656220868636	1.81099325877687	1.71918079148637	1.17625452100028	1.35617059532781	1.6659242483366	1.47238058145787	1.71177060505702	2.552573194151	2.01054503454361	2.23473019236176	2.19029449422239	2.0889752408845	2.30585288993889	1.96688956550205	0.749823740045589	1.58195626943125	0.961086590379565	1.92397793972409	1.60491396271794	1.90460907652515	1.66391427225513	2.51288470669963
BAI3_32984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285868857962505	0	0	0	0	0	0	0	0	0
RT1-CE5_32445	2.42298610253271	2.89354641032776	2.47317098325908	2.57156803859389	3.23053862376462	3.83024949513684	3.11448582473892	0.300768401307464	3.76980813595493	2.04743734706495	2.90477755286316	1.31956716770933	3.62788630195352	1.00645126528398	0.739004193040179	0	3.53842627757956	2.2670711594008	2.7074590342618	2.9887447423963	3.36142473683372	3.71885408359721	3.61955291252851	3.34452240439963	2.88316328093509	3.74393864588317	2.10002361305453	2.72781985140263	3.1621862922584	3.60072171609701	2.25915265480013	0.326608386687122	3.45707107753504	3.63208933357504	2.68299511429128	2.62198032248155
CKS2_8325	6.18955138250112	6.61180241123608	6.77561277638201	6.57404277117808	6.68159973702157	6.5533641312063	5.59980639084679	6.41965879696183	6.63005702631588	6.54985176451851	6.60322490919329	6.84158730451392	6.75781915173041	6.29811170583706	6.60990094965092	6.64602384772207	5.72834465225776	6.23577043136127	6.64638618167196	6.42945032617546	6.08094208165501	6.48335510221711	6.14312634948207	6.34024390059058	6.16801159392005	6.46606315746688	6.61267341884305	5.63463236856237	6.40272304493881	6.59048163504032	6.16057297085195	6.06181923830784	6.21924480906872	6.82931847223925	6.85458075009731	6.81841073790295
HSPA1L_33069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR2K_9525	2.91536755188821	3.01932663551432	2.79772642949481	3.10125440464951	3.02068876571108	2.80629393410723	3.23676574142921	2.81286951389515	3.20149932838182	2.65026554240618	3.30731656972675	3.45585294674687	3.27452074222035	3.01127085303383	3.00445569951769	3.04606566075076	2.8317720139999	3.04966941402607	3.38996848062596	2.95911829749603	2.60321595603549	3.19680644210482	3.16775175235945	2.58856717028997	3.1194736308273	2.90860452878902	3.52593416144746	2.54812577957783	2.68990272327151	2.9960530353163	2.51951119608559	3.26874868832065	2.58279881896377	2.38450653681099	3.20808856869147	2.26631155215684
GPX7_33289	5.6356940036176	5.47002548660016	5.77032534429305	5.24486119074478	5.77137714793636	5.28201847253681	4.9662374236324	5.66780890847339	5.3980262650809	5.50356318606246	5.68450963708549	5.70579655097393	5.1747311161819	6.06796350364538	5.48610401227602	5.65763032199017	4.84386568491722	5.09933787690715	5.42896139861533	5.42457521983064	4.51607935900426	5.3132663792197	5.44910614726264	5.42170913802408	5.18049431097165	5.3624106701214	5.60152734465805	5.03596397371639	6.11183962036017	5.71895035618561	4.28259726263512	4.89282705234414	5.61750920414829	5.69685395341161	5.43598333817436	5.88411978886952
FXYD5_32701	1.06398583751844	1.42886860701289	0.765877938431597	1.72572262047921	1.01185845542999	0.435776288022295	1.10373729450899	0.946507239610066	0.890701398011174	1.21378712758062	1.51298868098537	1.49995407909233	0.695786274293934	0.324512063786845	0.876785484489281	0.818985215554337	0.925941430526847	0.429404107475405	0.480390865551033	0.569524807038899	0.433062309425151	0.4304227289838	0.350944043577016	0.726074155189162	1.08778148285003	0.948485016573617	1.21092843845444	0.978011024160203	0.54041575340882	0.735162607208578	0	0.592754573014827	0.5397573809274	0.2762973137007	0.90110853495636	0.742018765352082
FASLG_8610	0	0	0	0	0.326683180129279	0.234279637062662	0.467838352267578	0	0.227513702310138	0.41127899746872	0.638029325807152	0	0.498943175775716	0.324512063786845	0	0	0.443574246687691	0	0.260098898286924	0	0.23271987168789	0.231204061277076	0	0	0.248022554268138	0.389509929038041	0	0	0.295365439280456	0	0	0.326608386687122	0	0	0.283181090954083	0
CLEC4A3_8330	0	0	0	0	0	1.46633598720346	0	0	0	0	0	0	0	0.324512063786845	0	0	0	0	0	0	1.786878206819	0	0	0	0	1.35035113203745	1.674208736148	0	0	0	0	0	0	0	0	2.39485950346405
