ID	S4P1_F01	S4P1_G01	S4P1_D01	S4P1_E01	S4P1_H01	S4P1_D02	S4P1_E02	S4P1_F02	S4P1_G02	S4P1_H02	S4P1_B03	S4P1_C03	S4P1_D03	S4P1_E03	S4P1_F03	S4P1_H03	S4P1_A04	S4P1_B04	S4P1_G03	S4P1_E04	S4P1_F04	S4P1_D04	S4P1_C04	S4P1_A05	S4P1_B05	S4P1_G04	S4P1_H04	S4P1_D05	S4P1_F05	S4P1_C05	S4P1_E05	S4P1_H05	S4P1_G05
SULT1B1_32942	11.5040165997203	10.8460584198533	11.4864041599466	11.638609389321	11.6181687218255	11.3113662161674	11.2289414498072	11.6837901833176	11.4976641988712	11.7057711737816	11.4074217283153	11.4519339375407	11.1481537124966	11.3942185032678	11.4180834920393	11.569575308503	11.7074644183682	11.3018538343403	11.309590971152	11.8222041020894	11.7143717352342	11.6757885277236	11.4964894887294	11.8384537619036	11.1247938035383	11.7089743786185	11.6940167648304	12.5089498496988	12.2804782615388	11.9027163380578	12.0253032492753	12.2419195379719	12.4456119119194
MSN_9253	7.22236990779397	6.91267073691708	6.77323802655885	7.07529981736733	6.61904748575826	6.46919371360601	6.73488073292782	6.81224577187495	6.75905102543367	7.21510090658795	6.59279968440625	6.99828050759961	6.86788143638713	6.75938806854217	6.75527771395336	6.6084778158517	6.71783014061182	6.89733525539286	6.52427527248143	7.01571469831452	7.00457294899188	6.79642939323682	6.85918972304389	6.89566952292132	7.11437480773937	6.51983674418283	6.82647376880278	7.17099361650667	6.93356837759152	6.75318146324959	6.76715432606482	6.6232694173678	7.08082267932029
TSTA3_10098	6.57687624118235	6.677559120137	6.5037988588364	6.56699782980817	6.50267562536652	6.44952030099036	6.58861380178424	6.7240574735085	6.87001107082057	6.77885704444422	6.74178607907115	6.77270286213223	6.57985761363731	6.69650790762006	6.78466590977206	6.88834633502152	6.66567059319345	6.54206055882423	6.78337802387151	6.80414993653903	6.71874888220363	6.84675504479898	6.81694262015579	6.71541643565868	6.72318249075262	6.74349731823133	6.79066234309037	7.21466718017922	7.01268454884556	6.87571403860659	6.71331746742458	7.02025527010192	7.22213238164391
ST3GAL2_9946	0.475442652561052	0.985032972050023	1.53677268990837	0	0.759148811625857	0.485414956144093	0.852350429293751	0.561677404552072	0.694669598668275	1.29814751503281	1.01163968451916	0.418422707858569	0	0.438742072087311	0.709456708654111	1.14470173471248	0.478649378207666	0.455988919151055	1.32713628834618	0.661641624716313	0.817960777989315	0.410146754159738	0.989445304125437	0	0.2683138077477	0.833851500060021	0.482854199436561	0.20505288714142	0.640350699358165	0.459421905244263	0.48436816368383	0.615672247204598	0.367625836450503
PPCS_9540	8.59200815565317	7.89781187294796	7.873430084065	8.02956608867216	8.20099794132683	8.42538430642585	8.08227541985554	8.20999078824437	7.9990284136635	7.74168848603919	8.61184110277544	7.86934212659697	7.82707804967417	7.72632194914891	8.29091741862366	7.76866400294702	8.1320528421966	8.43755301501448	8.03100447307106	8.75352560500145	7.89064192506092	7.824867126003	8.25221118959577	8.06781228535656	7.66495590303163	7.78190064465198	8.56616042907889	8.92772587022437	8.76154694653068	8.22637669561457	8.39376301280598	8.12148710676826	8.32305750173079
SELL_32554	3.71157057289952	3.55740323325686	3.49413588214066	3.13533246585119	2.45974542383241	2.63223336801623	2.38641358296306	3.57865371727888	2.90581184534941	3.19052540856703	3.48052532313262	2.95034001714192	3.51295545750113	3.40550141441894	2.81440442299257	3.09908913057096	3.35696155364983	3.25544382711045	3.1776341536837	3.68162833754327	2.86671557902634	2.85750305145251	3.54133541545058	3.24530078268563	3.02750379297663	3.18351630867052	2.3147131449402	2.73356223126025	3.11030914771036	2.50776528633862	3.19832871974642	2.57721618149623	2.42046013943286
TIMP1_10022	5.48280348537632	5.61437324255912	6.18734623857716	6.15139013479433	5.63867249562563	5.50457975857419	5.8374244823684	5.88435586140178	5.77638549618808	5.81882265989794	5.85567264438093	5.57799428168466	6.19569510095496	5.67566068044759	5.77276731312871	5.80213990093208	5.73147130189346	5.79813464352253	5.77669561847694	5.85858772306661	5.85392013993106	5.89952718527595	5.68519954453171	5.93231683621751	5.58531848237086	5.6892327774676	6.05288737013091	6.41715914067581	6.71057853958204	6.27259462956484	6.27432387489936	6.45549665575845	7.38879890309453
STAT5B_9960	4.63290968966972	4.77834951815488	5.32803983761373	4.90314810999822	4.99167527520873	5.12097504589651	5.23448282430461	4.6042630465564	4.61491719500826	3.82091033831891	4.9920783042695	4.91993627621103	4.8821625696511	4.80797671768907	4.79066285505139	4.99460714283593	4.77401650091552	4.99335682901077	4.76323722814389	5.07806882185211	4.94268260416099	4.7797896646442	4.74513204234569	5.12643091514455	4.92758850573946	4.80031431394921	4.76740999854602	4.82468741889017	4.97923446990972	4.88260864060728	4.95060736969088	5.02597940095459	5.0154531982062
DDX39A_32661	4.95682545138466	4.92508588852274	5.1385708105522	5.08750785493858	5.4686072679422	4.75484749201848	4.85743555143578	4.16168163649454	4.52087712538751	4.14370049793195	4.66612207179988	5.10056120598096	4.65542814252437	5.01244058826528	4.75716820462753	5.06153260691746	4.90292896350982	5.01009552563641	5.31223180470471	5.09454228877254	5.17368592289361	4.8958762676003	5.08376979867459	5.22700034004793	4.89822311769237	5.17830384227623	5.12873633821831	5.15042418890933	4.9183410408267	5.38150818945977	5.0407979192332	4.96171915003635	5.26451351982903
SMN1_9902	5.1436520850881	5.41355137886569	5.67802137775649	5.19363968386043	5.3139546399396	5.42622417195307	5.03627815041133	4.97558420020333	5.30950755821694	4.85458922454484	5.34453916908018	5.26106746954797	5.16685370756412	5.32540144775772	4.97677762187583	5.31296036445119	5.36214483406207	5.33637665288459	5.45141467787233	5.48030132645818	5.3186252979099	5.55566086377155	5.53385571875177	5.43243607608713	5.52255335023197	5.40834462437446	5.43743950451725	5.81865842997472	5.58290137629508	5.88107894889101	5.82924643581459	5.97546865803467	5.60280614051818
