ID	S5P2_C04	S5P2_B04	S5P2_H03	S5P2_A04	S5P2_E04	S5P2_F04	S5P2_D04	S5P2_G04	S5P2_B05	S5P2_H04	S5P2_A05	S5P2_C05	S5P2_G05	S5P2_E05	S5P2_F05	S5P2_D05	S5P2_B06	S5P2_C06	S5P2_H05	S5P2_A06	S5P2_D06	S5P2_G06	S5P2_E06	S5P2_F06	S5P2_H06	S5P2_C07	S5P2_A07	S5P2_B07	S5P2_E07	S5P2_F07	S5P2_D07	S5P2_G07	S5P2_B08	S5P2_C08	S5P2_A08	S5P2_H07
ENO3_33181	3.38692249540347	3.54232098073321	3.16926411577344	2.91068155346538	3.8466705879077	3.08138327794354	3.84252120949412	3.54242204821828	2.98868069906225	3.76678413045327	3.70244794026934	3.46484866175493	3.47244668394898	3.42030142573977	3.41433202758028	3.57873675352809	3.26558462717309	3.57704222907825	3.66250057465073	3.71938324684118	3.12784699005279	3.48983796649838	3.46793122232285	3.18975678528236	3.72607165031416	3.3357383287368	3.71132428688293	3.5802467296816	3.9369714042762	3.50755746513359	2.53580196192098	3.35678079912819	3.54523069842495	3.48687125486923	3.42706837231934	2.79625888823881
RAB1A_33291	8.38413319169122	8.27384090957463	8.49511356935389	8.29936297495079	8.46755634496679	8.49250392642837	8.58678500387046	8.46480317648089	8.39959382011484	8.45924911032535	8.59433931971931	8.27973401997668	8.64908536466587	8.44416067179663	8.53874148165736	8.5904175944823	8.42200832414911	8.43824802577506	8.81381229012563	8.34032460532898	8.49130920928108	8.33860939444459	8.56391088965731	8.59082296506845	8.70833308016814	8.58363256919779	8.53263306153954	8.53854488189642	8.43350297520719	8.54188583382558	8.32792383969972	8.65236581254062	8.38996649345604	8.61550947351133	8.53304470700809	8.7602152498459
HIST1H2BF_33070	7.17874584661188	6.41174848891086	7.0867247920223	7.07699454744109	6.95767292161968	6.73305238806729	7.10015855862776	6.76476867967175	7.17828683894169	6.87178673222044	7.44191391202551	7.02827970928051	6.93305568881149	6.64016553119781	6.75954823992069	6.87825688375897	6.81355341793277	6.7477306782897	6.94786706131382	7.26916718457536	7.17758799685033	6.98345780868919	6.83227786276954	6.82514837607232	6.86460938646536	6.79917854934983	6.76304682142389	7.18909960745709	6.9150678039454	7.02971929915955	6.53575294543513	6.71425754210964	7.07447512478279	6.92623698360124	6.89932882292322	6.79451739785089
PIK3C3_9481	0.479437912011934	0.438310887425759	0.999628289063894	1.49110250072618	0.769405070128764	1.67598274085918	1.56684730240814	0.863409348347233	0.548435181850709	0.520939199670416	1.72734313676739	0	0.589748335247325	0.882815317966341	1.65397228737223	1.42457711154442	1.05458671288028	0	1.45911075011666	0	1.07443641941811	1.24157965561435	1.6945085490065	1.23517267911445	1.23831342897601	0.683842243531063	1.18492841851128	0	1.10116809770547	1.44829574975365	0	0	0	0.712112548902157	1.2021347189069	0.801817572827406
TOR1A_10061	6.54900813521629	6.65477578113266	6.56150677647086	6.65258746809732	6.59724919055082	6.77992055256156	6.48083818720844	6.91924749795296	6.82511327178083	6.37840814628522	6.5743426693138	6.57575065479102	6.78896715088594	6.7796819597756	6.74518316094724	6.46214278881374	6.62962183629078	7.00852589415506	6.67898076590108	6.32403391460662	6.85814916355928	6.85329867983179	6.81088185111132	7.14797724244759	6.524629787275	7.05084420511651	6.75456387094091	6.23438891062248	6.92869454324925	6.9910276357825	6.93986599734986	6.79654441471446	6.8876997863708	6.9487716995233	6.40771833032702	6.50682436798969
NOSIP_9346	2.05436330691506	1.27504744152101	1.80682387711212	2.3173855930031	2.06023773711811	2.17395605810998	1.90596405797808	1.15639594867989	1.72791726941214	2.2968983150445	1.91586873382362	2.00447052766846	1.81759091211987	2.38400858536642	1.38418356656112	2.49364339209891	1.65729526315502	2.15475730681844	2.34536979427073	2.43992038390257	2.43924998702125	3.08833689424408	2.59275571356755	1.59986183761109	1.89470189792942	1.14588913302114	2.60740951816298	1.78062173760479	2.14921043127935	2.15630277852457	1.76532071347527	1.72732389774405	0	2.06729657251275	1.84863686058833	1.99029564651153
CEBPB_8280	7.10630148795692	7.24680898507371	6.47499826955803	6.78642178487505	7.2084993220567	8.33664148906879	7.72909117084306	6.93864921769878	6.95448262127659	7.00475412440948	7.41090064011785	7.24432299604347	6.97998050229302	6.7907215086861	7.03224253180612	7.00663600740698	6.74276919803812	7.24582138187206	6.75104448574392	7.74151365005621	6.86500907590569	6.39641555517389	7.06696782386427	6.19857458569336	6.87299856564271	7.20109834135314	8.62627409591869	7.25384695975305	6.74064015451094	7.21739654319707	7.19149835267774	6.98380794893549	7.15591909495386	7.0633502935474	8.42252752558541	7.03426860003539
DPYS_8494	8.64075962327803	8.72974039895469	8.90163315106822	8.68686964340094	8.78579311577495	8.60089104826213	8.72969464779265	8.81244888322339	8.66750620538593	8.89714551502702	8.82651748512335	8.54121698174945	8.90302334498608	8.64912626086317	8.79381965479853	8.76255181639985	8.8021621840519	8.61169587445605	9.02878393820893	8.78774585056581	8.9730524545672	8.78933589760853	8.95704604820807	8.88126109996751	8.8637377290083	8.69969747719418	8.67203634202178	8.8497342730519	8.78394356382524	9.00694297877877	8.77382561434156	8.7329395264136	8.76983916071884	8.78997445420862	8.69123112046361	8.9693526341655
PNKP_9513	2.30509608065296	1.6462095037933	3.16926411577344	2.09080832075027	2.80504829482649	2.02627500498544	2.18034484258194	2.34955302716389	2.71149104070247	2.16321290086466	2.71079416271184	3.17522188653726	2.81962942391843	2.49616471386681	2.07740845350793	2.49364339209891	1.88471814746519	2.15475730681844	1.9692508594094	2.57999652444269	2.57931210947684	2.34871933749416	2.12267244467348	2.13265516394654	2.96275784815724	1.77637746378594	2.88119585275474	2.69608724648696	2.48055795410682	2.62913861212448	1.76532071347527	2.02910207716694	2.39769667210453	3.64242680405691	1.56130068612297	2.23771059179726
GINS1_8707	1.75069319219626	1.80120774308485	2.458823314504	0.4459463983004	1.04043664195226	1.67598274085918	0.477691006593886	0.863409348347233	1.72791726941214	1.20455842792841	2.23200972221889	2.17456083846657	1.00717281142934	1.42650111800181	2.07740845350793	1.17840776648145	1.38718861037262	1.95510734907351	1.9692508594094	1.91315698402523	2.57931210947684	0.750423404666448	0.640775025120522	1.89071534089988	2.13686866082343	0.683842243531063	1.18492841851128	2.82565441523708	0.653189913378643	1.44829574975365	2.37826671761766	0	1.64837610590874	1.18675559502562	2.08814043079977	1.69148417530295
