ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
RGD1561778_33259	3.63248641925021	3.76295280115723	3.34692042195979	3.3385742739179	3.53110401195673	3.34904396715046	3.46564121914518	3.82180110631142	2.92176463746424	3.40742434660901	3.40802450073184	3.42223613708591	3.57707851995655	3.6228406592646	3.03529987988603	3.64627780256916	2.41354718942128	2.83753813185039	3.25188224127132	2.58924195772886	2.88669091136799	2.88160079914278	2.63300993297335	2.91525468764089	2.760573774026	1.81445779460073	2.53628625980029	2.65105113016091	2.15588375771146	2.19912551707484	2.79561625980357
L1CAM_33172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100911750_32851	3.2781976236254	2.69521588391608	3.46578224503734	3.89374990388994	3.50278756044019	3.4627277357118	3.46564121914518	3.64827481941181	3.415910588123	3.5551580636992	3.99891729093657	3.60281773413954	3.64015780254128	3.17779553805458	4.01382113451434	3.64627780256916	3.06303789138833	3.11852430315594	3.71095878304083	3.21572801347408	3.54343846459396	3.13143147155805	2.67714716581133	3.19841712304545	2.98768259092459	3.00869621102806	3.46716321156241	2.80434560045888	3.1050266647157	3.51721031898666	2.59998175604697
IDE_8862	7.51908587754296	7.32577493898099	7.36678676800761	7.50622166631875	7.38408001812285	7.53412044808387	7.35467223676579	7.69855638924557	7.49612019393627	7.6914715796739	7.82623781508703	7.78127057454676	7.78806916447148	7.65266340939167	8.02100690396093	7.91543165117647	7.9523692657796	7.75352090282505	7.87390458945269	8.00388815654973	7.95062914186009	7.70191950209058	7.71751541580104	8.13308690447962	7.94774234209922	8.17229103174802	8.00974962555879	8.18108428114787	8.233700519615	8.42710390361541	8.21248611405099
CROT_8384	9.93981631549743	9.46279645614081	9.43269164650922	9.67600297265661	9.39502575994869	9.76508003441323	9.20157432126339	9.58371894407136	9.4487753446992	9.83207190593054	10.2288664791547	10.0528367834166	10.5081600463927	11.0722422993167	10.7754493488854	10.7601411115232	11.8983284256018	11.4397162442017	11.3931170444844	11.8670284955143	11.9628708004909	12.0870288803424	12.1305177438418	12.1898145325011	12.0854754202953	12.1768012958528	11.9757102417719	12.5508240116588	12.1539468318763	12.5635622440244	12.0873624703985
ARNT2_8085	0	0	0	0	0	0.354425841883103	0	0.401094716879497	0	0	0	0	0	0	0.813689588762671	0.382041008749072	0	0	0	0	0	0	0	0	0	0	0	0.233939075284409	0	0	0
NOP56_9343	7.1160596092364	6.27553346089431	6.03213712845685	6.52904669808229	6.75423127936231	6.35819778230492	6.84387176878028	6.41978353523412	6.29606186726238	6.31677549586112	6.95436722876527	6.68734411289229	6.25188425870756	6.19855501527055	7.23138513381743	6.68467693621147	6.63287409113745	6.97371428560831	7.13534739105751	7.41560114354525	7.53338964093935	6.99545365658295	6.99995872606468	6.90913877017536	6.56055126479082	7.05151826519446	7.82719234179893	8.25277808939541	7.40465324548841	8.56036290423465	7.46300659072989
C5AR1_33023	1.88769847073023	1.94098239637653	1.67104991608977	1.21997330315124	2.26893572063358	1.69055718550787	1.76224228166227	1.95776077690516	0.826883943936987	1.50109590732001	2.13537355956825	2.14750093194105	1.37861461775564	1.46507057027553	1.33078886064663	1.64260423865193	1.33040889581113	1.54658468009111	1.13072347011144	1.06407669251866	2.12106178811441	1.13376990162811	1.80951274988687	1.39829671821242	1.10790972687576	1.46576132953887	1.24591948891028	0.910892213798671	1.10577092984732	1.39656035807104	1.07080588657345
PTPLAD1_9615	7.22712957215881	6.9859195936191	6.95402460623206	6.91011298740855	6.78100643328645	7.08811178380222	7.25651859656824	7.34462262803364	7.24146215902719	7.20180337523917	6.99970449747955	6.73845338421684	6.78239965116988	7.02280353752963	7.05354533320839	7.04080901686012	6.75929041700266	6.6732402010077	6.43724994429568	6.59330634426159	6.98274226130813	6.79798544184612	6.93555083735485	6.65520898753137	6.50963014743721	6.67517263446803	6.18557832433303	6.45306415441539	6.61824585169944	6.65711352636324	6.76632258409866
NCAM2_32618	0.92611184898695	1.27490873598618	1.20831594506302	1.79449089908455	1.48413497974501	1.69055718550787	1.86055542726217	1.37992458701309	2.03400423949278	0.297276021639686	0.886259184597635	1.83711465308918	1.64781220700023	1.0044324589307	1.53319065746555	1.33108659925271	1.20059728687063	1.44843736795105	1.25578232982488	0.726394251052768	0.686268637209777	1.25904114524558	0.65821791855102	0	1.34507946719208	0.323920426702002	0	0.611762329462401	0.546813385671206	0.407675015627573	0.526311818848718
