ID	S2P1_G05	S2P1_F05	S2P1_H05	S2P1_A06	S2P1_D06	S2P1_C06	S2P1_E06	S2P1_B06	S2P1_F06	S2P1_A07	S2P1_G06	S2P1_H06	S2P1_B07	S2P1_D07	S2P1_E07	S2P1_C07	S2P1_F07	S2P1_H07	S2P1_G07	S2P1_A08	S2P1_E08	S2P1_D08	S2P1_B08	S2P1_C08	S2P1_A09	S2P1_H08	S2P1_F08	S2P1_G08	S2P1_B09	S2P1_C09	S2P1_E09	S2P1_D09	S2P1_F09	S2P1_G09	S2P1_A10	S2P1_H09
CEBPD_8283	5.87547964650768	4.96825959595468	4.57391226104386	5.8619826825133	5.47048403247375	5.41472748898584	5.28086947437792	5.14999628757321	5.10007076508573	5.61779989691285	5.52200190405983	5.09764190910331	5.72131343190436	6.00948523333625	6.06906840449633	5.49557210610651	5.72888646926212	5.07850698420875	5.81220539340778	5.74030756676457	5.34551147612249	4.89127730925446	5.70125969512035	6.11325155426849	5.28177864053138	5.42455841990272	5.30780945006178	5.13913827945506	5.35003973914089	5.03797378063252	5.20950319800393	6.077666372755	5.20082275580811	5.70581291193879	4.74910477021183	4.51827656855946
CYP4A2_32530	10.5645414483401	9.78480162873821	10.4453908069518	11.1297009218036	10.3549188359977	10.4492972355208	10.2828083654083	9.96170582694951	10.136439857658	10.6923071609964	10.5855140708373	10.8040618615063	10.9634611777922	10.5147231331736	11.0095680743779	10.7882189266383	9.93943094660736	11.3600725118448	10.2753321639502	10.2851565450918	10.9042704865935	11.148781156689	10.7527685214805	10.6386851408263	11.7617465417352	11.2762233086917	11.0348881001199	11.4092862490304	11.869202069776	11.5909470551125	12.4531564527343	11.7192190022479	12.3020027220135	12.3644859455288	11.6895854687394	12.3400595891774
CISD1_8322	8.48752504252111	8.16052657260352	7.88190685279923	8.58031539056354	8.50605964289818	8.21063467774289	8.01310920625395	8.49850654823803	8.15448369247236	8.25886852869368	8.3913406910248	8.935838919569	8.25098979755343	7.93107548946115	8.38712444728628	8.41980852148017	8.45242976200631	8.38870225503326	8.63148774160858	8.0469271024511	8.32211832163612	8.34949428706431	8.18905633492485	8.24971025035769	8.3914690791668	8.49515503794029	8.40615475444191	8.44619476336812	8.47932248991542	8.25445036898025	8.33096793564277	8.47827076424086	8.57595123070048	8.61200897208248	8.16724050835442	8.33669639137932
SCP2_9788	9.40048248230876	9.54429561167633	10.1720918785951	9.19897477561178	9.97513601650471	9.17678408147229	9.16801238378427	10.1049859394476	8.74515068104839	9.95341628328184	9.04084938730048	10.0562361825021	9.68822358549912	9.00321752178083	9.81885452167336	9.66938558860268	9.482689867229	10.1799797054506	9.27274239932895	9.04795034098425	8.93006612336956	9.16313337654952	9.06601355841091	8.99605207573181	8.89510004098653	8.91361645039008	9.02637904754311	10.2047678497673	9.33514949552526	8.97403906948353	9.32342763985447	9.03711786819365	8.93811676788953	9.314509956454	8.5253091547153	8.57967180798232
SERPINA9_32303	0	0	0	0	0	0	0	0	0	0	0.514094936201063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPA_32954	11.2680093262235	10.621934826732	11.0987859460792	10.3902383956919	10.9863075654555	10.6401690079136	10.5020181719143	10.9472356172849	9.87764246106193	11.1353406241975	10.4830854380482	11.1780864800023	10.9049507226417	10.4661965316525	10.8752647014308	10.9333733415628	10.6059205467955	11.1841627615177	10.685968679986	10.5420792390815	10.3752516142342	10.1249783329024	10.1305899502599	10.4962084908557	9.85351003125116	9.9334198487173	10.140027645194	11.108105020227	10.2214416711808	9.92192019936478	10.2898230773967	10.0140024046308	9.85740945932399	10.4876746910784	9.41633637901568	9.56113969469916
TICAM1_10015	1.73768530325565	3.10029074829455	3.57641228935312	2.09013752813347	3.82913103577158	2.93984504082315	2.41606594098741	3.23288987314675	1.8448249416406	3.22371886788491	2.89170483620448	3.033367791926	2.91762123439944	2.33131058182202	3.41213087201559	2.45585673221834	2.92204579999506	2.2278099785774	1.77273814822395	2.18155690580906	2.33391209722276	2.16707621728145	1.86208615867703	1.86772690593379	0.839660131065425	2.13330055491922	2.23338886162985	3.40843360172176	2.61493140189531	2.29077874994996	1.65211161717445	2.08398477415846	1.49308000926731	3.06411111963816	2.35943711363818	1.61479097812263
AQP9_32709	8.91590930315634	8.90724907194648	8.03845112463687	9.62841229032791	8.81285355872385	8.52209671287888	8.78582494700601	8.69722329817223	9.08254662244541	8.42564750453712	9.21826790004587	8.60735428170463	8.42763535978264	8.53916398204304	8.45384029609841	8.51822292364715	8.99517350763874	8.28516397551096	9.24905979734262	8.90626865739873	9.28348237501187	8.89796507203979	8.9734704162733	8.54063775197038	8.81389468835945	9.26290242789837	9.12738797529073	8.20231922857523	8.51441450677437	8.30698792777532	8.171763988394	8.36397031929247	8.71328927362642	8.53908667488846	8.76247410066789	8.62560071551362
MTA1_9257	6.29256937243466	6.43680824046529	6.91691286793447	5.35695910279444	6.61056086739965	6.28625559161636	6.05821548027081	6.81531713008758	5.51297796016582	6.61536213666364	5.67489731517	6.7294522357322	6.51961637305478	5.99297141949497	6.43918041277896	6.62503032286684	6.13096406088055	7.19864402381148	6.21560549462372	5.44085725925304	5.96309063667183	6.20095712780448	5.77885166118296	6.20246486041072	5.262122990958	5.73799297112747	6.1673978729403	7.19400263747052	6.28786385114509	6.10013958309556	6.501034759192	6.05080103119733	6.17591101454138	6.20130681469571	5.33588633711284	5.5192626312251
VKORC1L1_10156	7.84860298392019	7.55008064017252	6.98400464622462	8.00002067978627	7.52044227617065	7.71490749467513	7.98209840530346	7.31947528690952	7.84612466914552	7.42167104204452	8.02473720778617	7.75899333837287	7.57314478981906	7.8959785075246	7.61195664518937	7.31758494169484	7.64076734697229	7.36586708306496	7.99542686209376	7.81487254828186	7.90059793710959	7.9226473187581	7.88571243391694	7.79740201118403	8.07681616664727	8.13089866620683	7.92467295174489	7.31396347140513	7.91983646215805	7.97284593517655	7.87261595450699	7.93357797690911	8.06075773656396	8.2055017693305	8.38970590453389	7.93914816094871
PRUNE_9582	1.73768530325565	1.61643244889033	1.4465982288489	0.671151151284	1.37047140020829	1.38833667291972	1.1087383876111	2.00019229653879	0.846045753611518	1.4159661399014	1.19174825418002	0.924782740662094	1.91089296743366	1.07025626687383	1.44485615062066	1.16749857506734	1.13502152493148	1.68281337920705	0.852536573637392	0.25878211037636	1.17825777542944	0.805785879732264	1.4206321770249	0.287824015837075	1.03761977485424	1.03013508176039	0.842669597306304	2.38733464135454	1.30132687635603	0.77218536849932	0.893108434732368	0.321019255980547	0.830102140169934	1.78848038573936	0.35100264866116	0.330941571556419
ALDH4A1_8025	1.58564794608941	2.3596104877109	2.62689188717106	1.31083889670759	3.02413819250847	1.00798794233055	1.29025464750111	2.45964139540872	1.37580932366798	2.65150296717847	1.65098956578223	2.67590398315921	1.4463944760831	2.22219282520768	1.77032141860143	2.24447821170674	2.19807139914586	1.83953904844985	1.14307294419095	1.66044982399672	1.33092541626575	0.998169284634884	1.95416093261388	1.77769258747797	1.96173610009759	1.03013508176039	1.86574143176974	2.6749245368662	2.06115454260887	1.46969697207681	2.21505307644349	2.08398477415846	2.12780338969705	2.5629180606964	1.79868122129589	1.83929059068544
CD74_8252	7.38760295767064	8.1834934006908	8.59249743327165	7.02053116540159	8.3881146416047	7.86135306152509	7.03467901446897	7.35163580044943	7.86968414970035	7.35217012065684	7.27719683933247	8.42328303791841	7.9665210711104	8.66697642811078	7.52828400440415	8.38903296485448	8.6251788072403	8.46288406896108	6.90006878172639	6.24516100617954	7.30719116871242	7.36704581549532	7.48963332194058	7.28131166532271	6.54514262340914	7.01337852483038	7.59439119904581	7.85453260925944	7.24417371190399	7.3115361036537	7.56338343055491	7.29468702145687	7.19937042332472	7.22904680406218	6.19312207140252	6.23867289176502
ECI1_8520	8.09730020179393	7.70731306069262	8.56792452579966	8.41490110290511	8.30376250021484	7.98511127806005	8.02756907719558	8.5979358716426	7.23404007065634	8.99316192404601	7.77977222734083	9.02561752805513	9.85822246190753	8.39420941338391	9.4574478245745	9.39277578804336	8.30061056677995	11.3651188713639	9.46756066548264	9.0088694974348	9.88723873932555	10.2445633490541	10.0943737395802	10.1023001402283	10.3851232016312	10.0847370377719	10.4111104681675	11.6309321833754	11.2320072962012	10.7197331140826	11.243820227425	10.8777134127715	10.9272912681491	11.1982079389379	9.897497973319	10.7268241831875
PDE1B_32328	0.415294579457322	0.75592981747612	1.22784527163607	1.31083889670759	1.51086510004923	0.684067004388882	0.366411680089704	0.378570794149506	0.997804767292718	0	0.514094936201063	0	0	0.450593257338574	0	0	1.31919766117496	1.07400329219898	0.488346823922561	0	2.09892023132754	0.998169284634884	0	0.287824015837075	0.610151029980014	0.833223339397346	0	0	0	0.437150409316848	0.716227075487575	0.583447450980891	0.332588111673887	1.46112001424059	1.07161642473011	1.02242897601123
PBK_32309	0	0.298157633851027	0.655549076003004	1.47354227223035	0	0	0.366411680089704	1.13764337832003	1.13510855869843	1.078784564891	0.892348981745619	0.924782740662094	0.757112412728876	1.83439358418699	0	0	1.13502152493148	0.452513594829017	0.488346823922561	0	0.589967938333618	0.583742281969213	1.54428918166878	0.287824015837075	0.337093923495103	1.35801538710212	1.04111731679873	0	1.30132687635603	0.77218536849932	0.280116957545395	0.583447450980891	0.602685686195719	0.766627463236236	1.4074508672236	1.61479097812263
PRPF4_9578	5.93174853622187	6.0784439640699	5.07840809472066	6.23532591438938	5.89882175432601	5.98837223518888	6.16089509787665	5.79726475660282	6.33194403776006	5.50748489705939	6.34841683521012	6.33909197664081	5.5827698289627	5.95936566273804	5.79250333084542	5.55796454902403	5.98873946560586	5.57862602914294	6.06749197344604	5.97470133258006	6.11803576451195	6.3843973298463	6.33590147219991	5.84609666582295	6.2876271137417	6.52659865113363	6.62714598698281	5.52393872454447	5.89088651222894	5.95129677767545	6.18138027556965	6.2809107115136	6.13391690053265	6.31368603486537	6.62619949969292	6.08276673495069
F12_8587	9.7856617263539	9.70093310442857	9.22695151319381	9.83993776217544	9.44074987984945	9.64089001353805	9.69490597045998	9.46071192210016	10.1607682670924	9.43923546954686	9.91065472273444	9.62533211994614	9.55691572781038	9.74564463072179	9.60959914542335	9.52360106015503	9.88935941086167	9.37378613985829	10.0770812087933	10.003608212147	9.96914581608961	9.85081904002696	10.1370502385772	9.89645228897351	9.87145829349397	9.85522164925306	10.0279215510686	9.44093436110068	9.84320405559247	9.81203909699491	9.70716373607148	9.82953101546395	9.77057292269928	9.82171077168653	9.96266719101937	9.66330313832187
CYP1B1_32710	0.415294579457322	0.545124654419077	0.468298556103346	0.3742566282088	1.04056533647755	0.855099480693451	0.366411680089704	0.378570794149506	0.846045753611518	0.875144552189739	0.514094936201063	0.924782740662094	0	0	0	0	0.67636598971573	0.79646879642452	0	0.25878211037636	0	0	0.969603016778069	0.527666086838295	0.337093923495103	0.334057767125182	1.04111731679873	0	0.573553716587874	1.27244709744826	0	0.583447450980891	0.602685686195719	0	1.24928371767653	0.330941571556419
ATF5_8097	5.79108640394695	5.68022679739546	6.18027602475732	4.96391305983746	6.64525344036973	6.20158078832786	4.98409251281448	6.73631761261661	4.51935945901007	6.482595607251	5.03030290066019	6.62826935929174	6.08619211734052	4.85108738396802	5.39204573367383	6.64313157796838	5.65374819466022	6.89354616186062	5.05428049552706	4.65338077129365	4.64371950583831	4.56634630277207	4.78622367243399	4.73403322955513	4.04695899246168	4.14367482224739	4.12070208406145	6.78978990096757	4.81220339225806	4.64772118170326	4.45948050723329	4.40505544188422	4.17886176471091	4.97755615960481	3.93764854374692	3.28782051394264
PAFAH1B3_9414	0.415294579457322	0.545124654419077	0.82126431980991	0.3742566282088	1.37047140020829	0.489996779859021	0.366411680089704	0	0.484172817527344	1.078784564891	0	1.48377537267213	0.757112412728876	0.450593257338574	0.756120392378616	0.997816399986994	0.377462067902237	1.68281337920705	0	0.478129485887931	0	0.321196087489209	0.781339773432018	0.73326127737955	0	0.334057767125182	0	0	0	0.437150409316848	0.280116957545395	0	0.830102140169934	0	0	0.330941571556419
LOC689064_32448	11.3854516821689	11.1006291194219	10.3858540056722	10.4928404820369	10.4501048547533	10.3892201515392	10.5611942074892	10.511316998805	10.5085471442289	11.5252103293622	10.9883073410494	10.3222878555527	10.9489286142956	10.815182773424	10.7145012789399	11.1150589685016	11.3355207851488	10.4350722298474	10.8902314797285	10.5439789996479	10.4741293733701	10.760173152449	10.6730865588326	10.9114924802132	10.3453960525858	10.7864758320351	10.2224939124609	10.8247929628077	10.0964227765703	10.2708779682811	11.0293877242551	10.4443439592553	10.164270572512	10.0720324729615	9.93978673585821	10.3474043535684
SLC2A1_9862	3.22331035455455	2.93689663760096	2.02425414131609	3.6152417596801	2.82333014610079	2.59825127227467	3.43707363157683	2.53626508806158	3.0317666464989	2.58620055543167	3.6989677139882	2.19962314453679	2.54367681015883	3.75108571652784	3.88546251822545	2.95039048166365	2.74028805225246	3.24393020120672	3.04457879636755	2.90370394865613	3.37106337920211	3.24464985371435	2.75484688316513	3.16168023152471	3.23614111283301	3.18224254531617	3.53334000778613	2.15784010144554	3.39500851369616	3.4936339325936	3.12342775486788	2.99601959599961	2.79975447729796	3.06411111963816	2.6400396455431	2.7381946739237
NDUFB8_33155	9.50352696965722	9.51018304462266	8.90100341828294	9.65144126206413	9.2277248514753	8.65034009230912	9.80158897146574	9.24366799903279	9.77598691549193	9.41828089350541	10.0032291974925	9.3944668853113	9.81907988352698	9.62490716562383	9.44038191026053	9.58762492926907	9.90564413117502	9.41874548304155	9.99972066451399	9.88691306685535	10.1767132600348	10.1156049245849	10.1318227137615	9.7722737500441	10.2147295794653	10.2540527652236	10.0950393787932	9.14504270246621	9.73248238292615	9.85733101801061	9.80958963284803	10.0405314346432	10.0703320320563	10.0193884066267	10.1970350425901	10.0588414478158
ASB12_32919	0	0	0	0.3742566282088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334057767125182	0	0	0	0.437150409316848	0	0	0	0	0.35100264866116	0
EIF4E_32598	7.76478897088094	7.56589874576319	7.41845988360673	7.74709081210483	7.95005321336706	7.43369175574052	7.58588758452706	7.83567410771765	7.05525403242532	7.77846004172414	7.71657872560516	7.95454264504683	7.80673480806433	7.48221924444973	7.83293192226982	7.57685292881702	7.52372985092036	7.57265550542822	7.60856657956201	7.08926671837373	7.36360133201665	7.47209028310199	7.44669129205686	7.2689725851418	7.40922541975413	7.63866391007597	7.21752590832427	7.60372418975613	7.58955786189783	7.60435531355469	7.54197724851749	7.63390885445067	7.60492377670189	7.82537075019858	7.36295514365683	7.34573288223135
HBA2_32600	7.69218497786713	7.40715138690771	5.94011063605582	6.95316250954829	6.51374922657846	6.75725080194742	6.92567190315944	6.53163507866917	6.8904609310821	7.49243955320984	7.42826955348767	6.66704926982704	6.96432642090674	7.17334158504331	6.77489874126257	7.14286529384554	7.30381420658987	6.27171383591065	7.29737984424774	6.63846574853895	7.00920118302372	6.90925602239068	6.97520359583928	7.22067028086217	6.76707069089431	7.13336128541522	6.51481146102017	6.92382373940564	6.68350749926433	6.61435817899195	7.27883218973697	6.85967533028262	6.29502229442775	6.3880516465092	6.50016768086567	6.82547574930119
IKBIP_32492	1.22297996587423	1.10290401462963	1.54467554211199	0.671151151284	1.75630834919572	0.684067004388882	0.65835763695198	2.10453342806111	0.676425793815516	1.078784564891	1.19174825418002	0.924782740662094	1.61838590759607	1.30241172684297	2.03570913101345	0.997816399986994	1.482501164596	1.83953904844985	1.38479351954356	0.836629480641927	0.589967938333618	1.45710121381787	0.564769172256943	0.527666086838295	0	0.605122332395885	0	1.34418783167457	0.315093656524211	0.77218536849932	0.280116957545395	0	0.830102140169934	1.03698301741268	0.35100264866116	0
TGIF1_10009	2.58581925655839	3.02090563155175	3.32361609407226	2.44428875779195	3.46490593803401	2.73599528065471	2.69904215330715	4.20187631780786	2.13410948199072	2.51780156560875	2.27884165295678	2.67590398315921	2.70505685514953	2.43275241816779	2.5416632580292	2.58132132909012	3.03162639869655	3.40312885299819	2.33008923856298	1.90710427748678	2.33391209722276	2.69734022220541	2.04071024804949	2.37716655872854	1.36695552412593	2.57301657797202	2.71227857691877	2.83905040237655	2.55626957273253	1.79804718974612	2.40213997067003	2.64003521296644	2.039575311518	2.5629180606964	0.86895552705603	2.121626303972
KCNK3_33037	1.00051411455487	0.298157633851027	0.25306764369323	0.3742566282088	1.04056533647755	0.265701970495954	0.366411680089704	0.67816805658593	0.484172817527344	0	1.43956559292618	0	0	0	0	0.805483467323549	0.67636598971573	0	0	0	0.589967938333618	0	0	0	0	0	0.61250383646389	0	0.573553716587874	0.437150409316848	0.280116957545395	0	0	0.433647510691064	0.35100264866116	0.330941571556419
NR2F2_32621	4.77357995133338	4.73942685318018	5.74244648361661	4.20743366528479	5.2070784239132	4.84319292073728	4.40870988293106	5.53319114096965	3.97773732878614	5.01886676717251	3.99850498386103	5.9563142789966	5.10727215715215	3.9352223166173	4.72742388021038	5.24367218661687	5.07025841704196	5.86060201781179	4.31710962469162	4.17733880712743	4.67258628435656	5.0625349343843	4.22716966748196	4.18762617768149	3.90208355515349	4.58067253162095	4.1639118332427	6.00211209742891	4.37653249539737	4.80211484451461	4.92401363844497	4.20514974434119	4.52594261230908	4.26554869183816	4.10863796638349	4.25159655601052
GSTA3_33275	5.95520778077819	5.95039608965276	5.56683661116833	5.96817542028037	6.20302605170436	6.37329066935405	6.16671339803106	6.07920393866961	6.11668481445736	5.73541448460885	5.92916875605536	6.20496751639806	6.49774849909403	5.82587516795965	6.36273707914184	6.53095205866019	6.16743701146706	6.39683518113529	6.29916103139911	6.09568413830143	6.19466824813152	6.06248018507094	6.34017392396516	6.26178601699786	6.44845029007346	5.9835038137068	6.1567420316007	6.06149088683892	6.2605648425232	6.33962910015389	6.12047352044802	6.29012886942726	6.18107536231221	6.16651656227379	5.74443900446736	6.16282480702855
LOC102549726_32764	7.42168409629597	6.85818217333173	6.47896674523288	7.9175954762055	7.0566831862779	6.8461494120413	7.05364304915765	6.82298427290706	7.13927561976518	7.11521698383266	7.19528168093364	7.14108675287359	6.96432642090674	7.38747763412249	7.1832234574353	7.09105852071227	7.32280288283074	6.93757253198366	7.97709161438794	7.2280772586578	7.33454344052247	7.47613705843705	6.97520359583928	7.55809273241306	7.45971288345644	7.81092642207596	7.53185559944543	6.96438962190151	7.43533816016619	7.58320978580476	7.40458428678667	7.41964289129209	7.84671294149267	7.40947944621844	7.63895459696794	7.59887025818291
ST7_9952	5.48213172776382	5.84486288186789	6.04856475547103	5.3776615971851	5.82676508327731	5.6880465371555	5.21501087102806	5.82043081463031	5.25875518704175	5.95824110429215	5.42470712269635	5.84797424236911	5.85632884701022	5.60461324230207	5.67096342075414	6.06178400934008	5.509668457253	6.25788913634357	5.38150770849157	5.06252157751999	5.51448136433832	5.91526011414502	5.39940940452217	5.67584562795216	5.2219895959204	5.25773490138555	5.44550441125151	6.24830758648247	5.93759925081609	5.95952546923616	6.00487280246522	5.72345650457363	5.62129866400997	5.88769369421045	5.15810627098132	5.0984780809682
SYT5_33285	0	0	0.25306764369323	0	0	0.489996779859021	0.366411680089704	0.67816805658593	0	0.875144552189739	0	0	0	0.450593257338574	0	0	0.377462067902237	0.452513594829017	0.488346823922561	0.478129485887931	0	0.583742281969213	0	0.527666086838295	0	0	0.61250383646389	0.469592276949187	0	0	0	0.583447450980891	0.830102140169934	0	0	0
FASTKD5_8612	4.48210871945743	4.49696600904772	3.68793230580828	4.31867668193896	4.18402597284842	4.33706756488333	4.36888607793335	4.66131173638163	4.7182388899531	4.71720040598721	4.78356524731665	3.66438935352088	4.57127919435217	4.15895877824729	4.01406419218486	4.50361651894795	4.5685276876293	4.35940771209803	4.76470545602097	4.39504642812228	4.58419315691088	4.53565282689913	4.78622367243399	4.60907790394974	4.59469399366581	4.86491993054335	4.32486628261523	4.7219955927662	4.41004732453372	4.70757157390134	4.61895896486722	4.01809829280542	4.42508073719166	4.86054192407703	4.65760070946799	4.17129058100431
GCAT_32974	4.48210871945743	4.32585957449659	5.61278337280099	3.38922100529314	4.83202275725426	4.03287543624287	4.34855420989978	5.38568129369051	3.34653479417016	4.62266309465868	3.60057267316803	5.37253166007744	5.07809578194876	3.86436227865078	5.1615494107901	4.42209781805682	3.96842952308212	5.48678715497643	4.22687870384425	4.06328374293	3.89659790948661	4.40589980022344	3.94246992345057	3.83267285727907	3.06520451434638	3.22307089510605	3.56592158140984	5.12330161075815	4.37653249539737	3.92192156477431	3.81474447428467	3.72371441593634	4.1155356756426	4.41530941960134	3.07674066877932	3.43265121301232
